   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850214E+003   5.51500779E-002   2.84782942E+003   2.84777427E+003  -6.56191044E-002  -1.66701068E+002  -1.66635449E+002   2.84779165E+003  -4.82427422E-002   2.84783989E+003   3.77737157E-002  -1.66683692E+002  -1.66645918E+002
       2       1     1.19999997E+001   7.18828730E+003   5.51453573E-002   2.84771284E+003   2.84765769E+003  -6.56170350E-002  -1.66754086E+002  -1.66688469E+002   2.84767506E+003  -4.82540989E-002   2.84772331E+003   3.77824213E-002  -1.66736723E+002  -1.66698941E+002
       3       1     1.19999997E+001   7.18806931E+003   5.51406316E-002   2.84759454E+003   2.84753940E+003  -6.56154207E-002  -1.66807884E+002  -1.66742269E+002   2.84755675E+003  -4.82654471E-002   2.84760501E+003   3.77906580E-002  -1.66790534E+002  -1.66752743E+002
       4       1     1.19999997E+001   7.18784974E+003   5.51356781E-002   2.84747538E+003   2.84742025E+003  -6.56139304E-002  -1.66862071E+002  -1.66796458E+002   2.84743758E+003  -4.82770215E-002   2.84748586E+003   3.77987692E-002  -1.66844735E+002  -1.66806936E+002
       5       1     1.19999997E+001   7.18762860E+003   5.51304936E-002   2.84735537E+003   2.84730024E+003  -6.56125680E-002  -1.66916648E+002  -1.66851036E+002   2.84731756E+003  -4.82888314E-002   2.84736585E+003   3.78067571E-002  -1.66899324E+002  -1.66861518E+002
       6       1     1.19999997E+001   7.18740588E+003   5.51250766E-002   2.84723450E+003   2.84717937E+003  -6.56113387E-002  -1.66971615E+002  -1.66906003E+002   2.84719668E+003  -4.83008843E-002   2.84724499E+003   3.78146222E-002  -1.66954304E+002  -1.66916490E+002
       7       1     1.19999997E+001   7.18718158E+003   5.51194260E-002   2.84711277E+003   2.84705765E+003  -6.56102477E-002  -1.67026971E+002  -1.66961361E+002   2.84707495E+003  -4.83131857E-002   2.84712326E+003   3.78223640E-002  -1.67009674E+002  -1.66971852E+002
       8       1     1.19999997E+001   7.18695571E+003   5.51135406E-002   2.84699019E+003   2.84693507E+003  -6.56092999E-002  -1.67082717E+002  -1.67017108E+002   2.84695236E+003  -4.83257454E-002   2.84700068E+003   3.78299861E-002  -1.67065434E+002  -1.67027604E+002
       9       1     1.19999997E+001   7.18672825E+003   5.51074163E-002   2.84686674E+003   2.84681164E+003  -6.56084984E-002  -1.67138854E+002  -1.67073245E+002   2.84682891E+003  -4.83385717E-002   2.84687724E+003   3.78374896E-002  -1.67121584E+002  -1.67083746E+002
      10       1     1.19999997E+001   7.18649922E+003   5.51010534E-002   2.84674244E+003   2.84668734E+003  -6.56078491E-002  -1.67195380E+002  -1.67129772E+002   2.84670460E+003  -4.83516745E-002   2.84675295E+003   3.78448787E-002  -1.67178124E+002  -1.67140279E+002
