   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996258E+001   1.00002270E+000   4.31806205E-004   1.19999997E+001   0.00000000E+000   1.52433774E-020  -5.54120021E-021  -1.19999997E+001  -2.97522908E-021  -1.97967482E-020   7.67425085E-021   1.24627068E-004   1.24676359E-004  -2.49303427E-004   1.24651713E-004   3.56025484E-009   1.77674938E-008
       2       1     1.19992462E+001   1.00002270E+000   8.70055382E-004   1.19999997E+001   0.00000000E+000   1.69783319E-020  -6.55230443E-022  -1.19999997E+001   1.40906081E-020   8.77208496E-021  -5.14109294E-021   2.51115302E-004   2.51211403E-004  -5.02326705E-004   2.51163353E-004   6.21205318E-009   3.43689630E-008
       3       1     1.19988611E+001   1.00002270E+000   1.31474911E-003   1.19999997E+001   0.00000000E+000  -3.26311378E-021  -4.86826810E-021  -1.19999997E+001   2.21331818E-021  -2.04055531E-020  -2.41272041E-021   3.79463911E-004   3.79606834E-004  -7.59070745E-004   3.79535372E-004   7.91373554E-009   5.00493454E-008
       4       1     1.19984733E+001   1.00002270E+000   1.76266190E-003   1.19999997E+001   0.00000000E+000  -1.62494668E-020  -8.61504472E-021  -1.19999997E+001   1.03006087E-021   2.46433648E-021   9.58470719E-021   5.08741140E-004   5.08932176E-004  -1.01767332E-003   5.08836658E-004   9.34774612E-009   6.54849313E-008
       5       1     1.19980826E+001   1.00002270E+000   2.21379375E-003   1.19999997E+001   0.00000000E+000   1.04635116E-020   2.03415914E-020  -1.19999997E+001  -2.95195234E-021   1.64430271E-020   3.40679298E-020   6.38946969E-004   6.39187441E-004  -1.27813441E-003   6.39067204E-004   1.05072957E-008   8.06786337E-008
       6       1     1.19976891E+001   1.00002270E+000   2.66814714E-003   1.19999997E+001   0.00000000E+000   4.84308045E-021   6.25253417E-021  -1.19999997E+001  -2.28183459E-021  -7.41153829E-022   4.01625966E-020   7.70082100E-004   7.70373358E-004  -1.54045546E-003   7.70227729E-004   1.13832448E-008   9.56305292E-008
       7       1     1.19972929E+001   1.00002270E+000   3.12572382E-003   1.19999997E+001   0.00000000E+000   9.10270388E-021   1.16176276E-020  -1.19999997E+001   7.22213461E-021  -1.17578761E-020   4.05861131E-020   9.02147034E-004   9.02490447E-004  -1.80463748E-003   9.02318739E-004   1.19663078E-008   1.10338525E-007
       8       1     1.19968938E+001   1.00002270E+000   3.58652402E-003   1.19999997E+001   0.00000000E+000   2.96616111E-021  -1.36170886E-020  -1.19999997E+001   7.59938325E-021   6.85567292E-021   2.75073950E-020   1.03514181E-003   1.03553878E-003  -2.07068060E-003   1.03534030E-003   1.22484749E-008   1.24808142E-007
       9       1     1.19964920E+001   1.00002270E+000   4.05054718E-003   1.19999997E+001   0.00000000E+000   9.19477942E-021  -1.02242832E-020  -1.19999997E+001   2.10531890E-020   2.64909554E-020  -8.38297920E-021   1.16906627E-003   1.16951822E-003  -2.33858449E-003   1.16929224E-003   1.22241749E-008   1.39040573E-007
      10       1     1.19960874E+001   1.00002270E+000   4.51779304E-003   1.19999997E+001   0.00000000E+000  -4.07179657E-021   4.25694027E-021  -1.19999997E+001   1.67706837E-020  -1.33884145E-020  -2.69647645E-020   1.30392030E-003   1.30442871E-003  -2.60834901E-003   1.30417451E-003   1.18841325E-008   1.53042375E-007
