   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850090E+003   4.98019106E-002   2.84782447E+003   2.84777467E+003  -6.54145940E-002  -1.66700308E+002  -1.66634893E+002   2.84779333E+003  -4.67487912E-002   2.84784008E+003   3.11361079E-002  -1.66681642E+002  -1.66650506E+002
       2       1     1.19999997E+001   7.18828492E+003   4.43702917E-002   2.84770292E+003   2.84765855E+003  -6.52034285E-002  -1.66752527E+002  -1.66687324E+002   2.84767851E+003  -4.52433722E-002   2.84772375E+003   2.44102354E-002  -1.66732567E+002  -1.66708157E+002
       3       1     1.19999997E+001   7.18806585E+003   3.88603764E-002   2.84757963E+003   2.84754077E+003  -6.49904314E-002  -1.66805492E+002  -1.66740501E+002   2.84756204E+003  -4.37187642E-002   2.84760576E+003   1.75887093E-002  -1.66784220E+002  -1.66766631E+002
       4       1     1.19999997E+001   7.18784518E+003   3.33097717E-002   2.84745543E+003   2.84742212E+003  -6.47758777E-002  -1.66858845E+002  -1.66794069E+002   2.84744472E+003  -4.21830365E-002   2.84748690E+003   1.07169306E-002  -1.66836252E+002  -1.66825535E+002
       5       1     1.19999997E+001   7.18762290E+003   2.77193333E-002   2.84733033E+003   2.84730261E+003  -6.45600243E-002  -1.66912590E+002  -1.66848030E+002   2.84732653E+003  -4.06363802E-002   2.84736717E+003   3.79568922E-003  -1.66888667E+002  -1.66884871E+002
       6       1     1.19999997E+001   7.18739897E+003   2.20871948E-002   2.84720430E+003   2.84718221E+003  -6.43419498E-002  -1.66966733E+002  -1.66902391E+002   2.84720747E+003  -3.90778034E-002   2.84724655E+003  -3.17695163E-003  -1.66941468E+002  -1.66944645E+002
       7       1     1.19999997E+001   7.18717344E+003   1.64150888E-002   2.84707737E+003   2.84706095E+003  -6.41228004E-002  -1.67021263E+002  -1.66957140E+002   2.84708756E+003  -3.75085475E-002   2.84712507E+003  -1.01991641E-002  -1.66994648E+002  -1.67004848E+002
       8       1     1.19999997E+001   7.18694626E+003   1.07033303E-002   2.84694951E+003   2.84693880E+003  -6.39042364E-002  -1.67076193E+002  -1.67012289E+002   2.84696678E+003  -3.59294865E-002   2.84700271E+003  -1.72714195E-002  -1.67048218E+002  -1.67065490E+002
       9       1     1.19999997E+001   7.18671748E+003   4.95126822E-003   2.84682074E+003   2.84681579E+003  -6.36840319E-002  -1.67131511E+002  -1.67067827E+002   2.84684514E+003  -3.43390076E-002   2.84687948E+003  -2.43937560E-002  -1.67102166E+002  -1.67126560E+002
      10       1     1.19999997E+001   7.18648709E+003  -8.41733798E-004   2.84669107E+003   2.84669191E+003  -6.34622403E-002  -1.67187219E+002  -1.67123756E+002   2.84672264E+003  -3.27374677E-002   2.84675538E+003  -3.15665064E-002  -1.67156494E+002  -1.67188060E+002
      11       1     1.19999997E+001   7.18625510E+003  -6.67513236E-003   2.84656050E+003   2.84656717E+003  -6.32392525E-002  -1.67243315E+002  -1.67180076E+002   2.84659929E+003  -3.11249847E-002   2.84663041E+003  -3.87894002E-002  -1.67211201E+002  -1.67249990E+002
      12       1     1.19999997E+001   7.18602152E+003  -1.25479199E-002   2.84642903E+003   2.84644158E+003  -6.30156469E-002  -1.67299796E+002  -1.67236780E+002   2.84647509E+003  -2.95021869E-002   2.84650459E+003  -4.60613799E-002  -1.67266283E+002  -1.67312344E+002
      13       1     1.19999997E+001   7.18578635E+003  -1.84614386E-002   2.84629666E+003   2.84631512E+003  -6.27907759E-002  -1.67356663E+002  -1.67293872E+002   2.84635004E+003  -2.78687924E-002   2.84637791E+003  -5.33834221E-002  -1.67321741E+002  -1.67375125E+002
      14       1     1.19999997E+001   7.18554957E+003  -2.44155076E-002   2.84616339E+003   2.84618780E+003  -6.25642643E-002  -1.67413919E+002  -1.67351355E+002   2.84622414E+003  -2.62239962E-002   2.84625037E+003  -6.07557758E-002  -1.67377579E+002  -1.67438335E+002
      15       1     1.19999997E+001   7.18531117E+003  -3.04109557E-002   2.84602920E+003   2.84605961E+003  -6.23354350E-002  -1.67471568E+002  -1.67409232E+002   2.84609738E+003  -2.45674422E-002   2.84612194E+003  -6.81789486E-002  -1.67433800E+002  -1.67501979E+002
      16       1     1.19999997E+001   7.18507115E+003  -3.64470171E-002   2.84589410E+003   2.84593054E+003  -6.21052321E-002  -1.67529608E+002  -1.67467502E+002   2.84596975E+003  -2.28998572E-002   2.84599265E+003  -7.56523920E-002  -1.67490402E+002  -1.67566055E+002
      17       1     1.19999997E+001   7.18482953E+003  -4.25237572E-002   2.84575810E+003   2.84580062E+003  -6.18733866E-002  -1.67588034E+002  -1.67526161E+002   2.84584127E+003  -2.12211481E-002   2.84586249E+003  -8.31759957E-002  -1.67547382E+002  -1.67630558E+002
      18       1     1.19999997E+001   7.18458631E+003  -4.86412838E-002   2.84562119E+003   2.84566983E+003  -6.16399174E-002  -1.67646850E+002  -1.67585210E+002   2.84571194E+003  -1.95311775E-002   2.84573147E+003  -9.07500238E-002  -1.67604742E+002  -1.67695492E+002
      19       1     1.19999997E+001   7.18434143E+003  -5.48013015E-002   2.84548335E+003   2.84553815E+003  -6.14039912E-002  -1.67706067E+002  -1.67644663E+002   2.84558173E+003  -1.78290989E-002   2.84559955E+003  -9.83761938E-002  -1.67662492E+002  -1.67760868E+002
      20       1     1.19999997E+001   7.18409494E+003  -6.10032639E-002   2.84534460E+003   2.84540560E+003  -6.11660190E-002  -1.67765674E+002  -1.67704508E+002   2.84545065E+003  -1.61154443E-002   2.84546677E+003  -1.06053839E-001  -1.67720623E+002  -1.67826677E+002
      21       1     1.19999997E+001   7.18384683E+003  -6.72461899E-002   2.84520493E+003   2.84527218E+003  -6.09262124E-002  -1.67825673E+002  -1.67764747E+002   2.84531871E+003  -1.43903799E-002   2.84533310E+003  -1.13782022E-001  -1.67779137E+002  -1.67892919E+002
