   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.80381015E+003   2.80379654E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.80582032E+003   0.00000000E+000   2.80302110E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.82443187E+003   2.82434260E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.82620616E+003   0.00000000E+000   2.82366069E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.85570377E+003   2.85543420E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85752510E+003   0.00000000E+000   2.85457912E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.85664384E+003   2.85634163E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85842976E+003   0.00000000E+000   2.85548090E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.85766266E+003   2.85746384E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85955686E+003   0.00000000E+000   2.85661317E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.85898977E+003   2.85875696E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86085951E+003   0.00000000E+000   2.85799074E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.85978658E+003   2.85958331E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86167360E+003   0.00000000E+000   2.85876604E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.86112854E+003   2.86110287E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86309751E+003   0.00000000E+000   2.86003542E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.86187958E+003   2.86186137E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86381029E+003   0.00000000E+000   2.86080684E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.86277976E+003   2.86271063E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86468139E+003   0.00000000E+000   2.86165757E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.86357996E+003   2.86350885E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86544698E+003   0.00000000E+000   2.86240748E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.86413047E+003   2.86410963E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86600871E+003   0.00000000E+000   2.86290402E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.86480334E+003   2.86469899E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86662834E+003   0.00000000E+000   2.86344451E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.86556817E+003   2.86546147E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86735761E+003   0.00000000E+000   2.86421961E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.86651443E+003   2.86636078E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86829591E+003   0.00000000E+000   2.86522051E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.86734730E+003   2.86719575E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86912547E+003   0.00000000E+000   2.86604213E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.86798655E+003   2.86778792E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86972315E+003   0.00000000E+000   2.86664065E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.86873643E+003   2.86851347E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87043981E+003   0.00000000E+000   2.86737282E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
