   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850188E+003   5.51671984E-002   2.84782928E+003   2.84777412E+003  -6.56284483E-002  -1.66701147E+002  -1.66635518E+002   2.84779153E+003  -4.82205358E-002   2.84783975E+003   3.77592859E-002  -1.66683739E+002  -1.66645979E+002
       2       1     1.19999997E+001   7.18828681E+003   5.51784703E-002   2.84771257E+003   2.84765740E+003  -6.56347032E-002  -1.66754236E+002  -1.66688601E+002   2.84767482E+003  -4.82108151E-002   2.84772303E+003   3.77545823E-002  -1.66736812E+002  -1.66699058E+002
       3       1     1.19999997E+001   7.18806858E+003   5.51899198E-002   2.84759415E+003   2.84753896E+003  -6.56407945E-002  -1.66808105E+002  -1.66742464E+002   2.84755640E+003  -4.82008914E-002   2.84760460E+003   3.77500167E-002  -1.66790665E+002  -1.66752915E+002
       4       1     1.19999997E+001   7.18784878E+003   5.52015862E-002   2.84747487E+003   2.84741967E+003  -6.56468750E-002  -1.66862364E+002  -1.66796717E+002   2.84743712E+003  -4.81907566E-002   2.84748531E+003   3.77454677E-002  -1.66844908E+002  -1.66807163E+002
       5       1     1.19999997E+001   7.18762740E+003   5.52134805E-002   2.84735473E+003   2.84729952E+003  -6.56529479E-002  -1.66917014E+002  -1.66851361E+002   2.84731699E+003  -4.81804116E-002   2.84736517E+003   3.77409442E-002  -1.66899541E+002  -1.66861800E+002
       6       1     1.19999997E+001   7.18740444E+003   5.52256116E-002   2.84723373E+003   2.84717851E+003  -6.56590149E-002  -1.66972053E+002  -1.66906394E+002   2.84719600E+003  -4.81698587E-002   2.84724417E+003   3.77364554E-002  -1.66954564E+002  -1.66916827E+002
       7       1     1.19999997E+001   7.18717989E+003   5.52379896E-002   2.84711188E+003   2.84705664E+003  -6.56650790E-002  -1.67027483E+002  -1.66961818E+002   2.84707415E+003  -4.81591010E-002   2.84712231E+003   3.77320116E-002  -1.67009977E+002  -1.66972245E+002
       8       1     1.19999997E+001   7.18695377E+003   5.52506265E-002   2.84698917E+003   2.84693391E+003  -6.56711441E-002  -1.67083304E+002  -1.67017632E+002   2.84695144E+003  -4.81481397E-002   2.84699959E+003   3.77276220E-002  -1.67065781E+002  -1.67028053E+002
       9       1     1.19999997E+001   7.18672608E+003   5.52635348E-002   2.84686559E+003   2.84681033E+003  -6.56772134E-002  -1.67139515E+002  -1.67073838E+002   2.84682787E+003  -4.81369751E-002   2.84687601E+003   3.77232965E-002  -1.67121975E+002  -1.67084251E+002
      10       1     1.19999997E+001   7.18649680E+003   5.52767261E-002   2.84674116E+003   2.84668589E+003  -6.56832904E-002  -1.67196116E+002  -1.67130433E+002   2.84670345E+003  -4.81256072E-002   2.84675157E+003   3.77190429E-002  -1.67178559E+002  -1.67140840E+002
