    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850159E+003   1.21640011E-020  -1.08139389E-020  -1.19999997E+001   1.92150075E-020   6.50521303E-020   1.30104261E-019  -6.98629289E+003  -6.98629210E+003  -1.41660944E+004  -2.04124147E+002  -1.14578724E-002  -5.09322596E-003   4.33983115E-004   1.19996248E+001   0.00000000E+000   7.67583211E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828624E+003  -2.74296710E-021   1.90043712E-020  -1.19999997E+001   1.01445017E-020  -2.16840434E-020   2.16840434E-020  -6.98636321E+003  -6.98636923E+003  -1.41659469E+004  -2.04189241E+002  -1.87816534E-002  -1.24123104E-002   8.74348570E-004   1.19992444E+001   0.00000000E+000   7.72965631E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806773E+003  -1.84825236E-021   6.53780809E-021  -1.19999997E+001  -3.29106990E-021   0.00000000E+000   8.67361738E-020  -6.98643455E+003  -6.98644749E+003  -1.41657973E+004  -2.04255294E+002  -2.62136716E-002  -1.98384063E-002   1.32119268E-003   1.19988583E+001   0.00000000E+000   7.78347911E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784763E+003   1.09448506E-020  -8.38657744E-021  -1.19999997E+001  -2.53410400E-021   8.67361738E-020   8.67361738E-020  -6.98650642E+003  -6.98652632E+003  -1.41656466E+004  -2.04321826E+002  -3.37001547E-002  -2.73180364E-002   1.77128274E-003   1.19984695E+001   0.00000000E+000   7.83731862E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762594E+003   3.91488040E-021   6.01194869E-021  -1.19999997E+001   4.20036111E-021   4.33680869E-020  -1.51788304E-019  -6.98657881E+003  -6.98660572E+003  -1.41654948E+004  -2.04388838E+002  -4.12411262E-002  -3.48512038E-002   2.22461889E-003   1.19980779E+001   0.00000000E+000   7.89117452E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740267E+003  -4.93935393E-021  -1.05839827E-020  -1.19999997E+001   1.11668349E-021   1.08420217E-019  -6.50521303E-020  -6.98665171E+003  -6.98668569E+003  -1.41653420E+004  -2.04456330E+002  -4.88366435E-002  -4.24379456E-002   2.68120347E-003   1.19976835E+001   0.00000000E+000   7.94504673E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18717782E+003   4.67790023E-021  -1.09817119E-020  -1.19999997E+001   3.31335466E-021   2.16840434E-020  -2.16840434E-020  -6.98672513E+003  -6.98676622E+003  -1.41651880E+004  -2.04524303E+002  -5.64867509E-002  -5.00782871E-002   3.14103819E-003   1.19972862E+001   0.00000000E+000   7.99893513E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695137E+003  -1.03204016E-020   3.37184253E-020  -1.19999997E+001  -1.01936750E-020  -8.67361738E-020   1.30104261E-019  -6.98679908E+003  -6.98684733E+003  -1.41650330E+004  -2.04592756E+002  -6.41914663E-002  -5.77722288E-002   3.60412307E-003   1.19968862E+001   0.00000000E+000   8.05283936E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672334E+003  -1.37622850E-020  -1.58550464E-020  -1.19999997E+001   8.58981571E-021  -6.50521303E-020  -8.67361738E-020  -6.98687354E+003  -6.98692900E+003  -1.41648768E+004  -2.04661689E+002  -7.19507949E-002  -6.55197553E-002   4.07045744E-003   1.19964834E+001   0.00000000E+000   8.10675906E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649373E+003  -5.26996251E-021   1.60689036E-020  -1.19999997E+001   3.55803469E-021   2.16840434E-020   6.50521303E-020  -6.98694852E+003  -6.98701125E+003  -1.41647196E+004  -2.04731103E+002  -7.97647508E-002  -7.33208615E-002   4.54004091E-003   1.19960777E+001   0.00000000E+000   8.16069391E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
