   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996248E+001   1.00002270E+000   4.33983115E-004   1.19999997E+001   0.00000000E+000   1.21640011E-020  -1.08139389E-020  -1.19999997E+001   1.92150075E-020   6.50521303E-020   1.30104261E-019   1.19528367E-004   1.30423188E-004  -2.49951555E-004   1.24975718E-004   1.17303977E-005   1.17220510E-005
       2       1     1.19992444E+001   1.00002270E+000   8.74348570E-004   1.19999997E+001   0.00000000E+000  -2.74296710E-021   1.90043712E-020  -1.19999997E+001   1.01445017E-020  -2.16840434E-020   2.16840434E-020   2.40806517E-004   2.62772349E-004  -5.03578866E-004   2.51789312E-004   2.36330992E-005   2.36159495E-005
       3       1     1.19988583E+001   1.00002270E+000   1.32119268E-003   1.19999997E+001   0.00000000E+000  -1.84825236E-021   6.53780809E-021  -1.19999997E+001  -3.29106990E-021   0.00000000E+000   8.67361738E-020   3.63869099E-004   3.97068461E-004  -7.60937560E-004   3.80468597E-004   3.57118259E-005   3.56836305E-005
       4       1     1.19984695E+001   1.00002270E+000   1.77128274E-003   1.19999997E+001   0.00000000E+000   1.09448506E-020  -8.38657744E-021  -1.19999997E+001  -2.53410400E-021   8.67361738E-020   8.67361738E-020   4.87825738E-004   5.32340008E-004  -1.02016575E-003   5.10082627E-004   4.78791602E-005   4.78382168E-005
       5       1     1.19980779E+001   1.00002270E+000   2.22461889E-003   1.19999997E+001   0.00000000E+000   3.91488040E-021   6.01194869E-021  -1.19999997E+001   4.20036111E-021   4.33680869E-020  -1.51788304E-019   6.12676465E-004   6.68587037E-004  -1.28126350E-003   6.40631442E-004   6.01351422E-005   6.00797113E-005
       6       1     1.19976835E+001   1.00002270E+000   2.68120347E-003   1.19999997E+001   0.00000000E+000  -4.93935393E-021  -1.05839827E-020  -1.19999997E+001   1.11668349E-021   1.08420217E-019  -6.50521303E-020   7.38421904E-004   8.05810271E-004  -1.54423218E-003   7.72115715E-004   7.24798672E-005   7.24081727E-005
       7       1     1.19972862E+001   1.00002270E+000   3.14103819E-003   1.19999997E+001   0.00000000E+000   4.67790023E-021  -1.09817119E-020  -1.19999997E+001   3.31335466E-021   2.16840434E-020  -2.16840434E-020   8.65062520E-004   9.44010238E-004  -1.80907276E-003   9.04535943E-004   8.49134093E-005   8.48236397E-005
       8       1     1.19968862E+001   1.00002270E+000   3.60412307E-003   1.19999997E+001   0.00000000E+000  -1.03204016E-020   3.37184253E-020  -1.19999997E+001  -1.01936750E-020  -8.67361738E-020   1.30104261E-019   9.92598304E-004   1.08318694E-003  -2.07578525E-003   1.03789212E-003   9.74357991E-005   9.73261116E-005
       9       1     1.19964834E+001   1.00002270E+000   4.07045744E-003   1.19999997E+001   0.00000000E+000  -1.37622850E-020  -1.58550464E-020  -1.19999997E+001   8.58981571E-021  -6.50521303E-020  -8.67361738E-020   1.12102907E-003   1.22334019E-003  -2.34436926E-003   1.17218407E-003   1.10047047E-004   1.09915561E-004
      10       1     1.19960777E+001   1.00002270E+000   4.54004091E-003   1.19999997E+001   0.00000000E+000  -5.26996251E-021   1.60689036E-020  -1.19999997E+001   3.55803469E-021   2.16840434E-020   6.50521303E-020   1.25035470E-003   1.36446988E-003  -2.61482458E-003   1.30741166E-003   1.22747179E-004   1.22591978E-004
