    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850236E+003  -8.78052220E-023   6.21626230E-021  -1.19999997E+001  -8.46267288E-021   1.98311589E-020   7.96674192E-021  -6.98630604E+003  -6.98627842E+003  -1.41660949E+004  -2.04123913E+002  -1.20772189E-003  -8.70411124E-004   4.32490516E-004   1.19996262E+001   0.00000000E+000   7.67563827E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828773E+003   8.54518932E-021  -1.06059857E-020  -1.19999997E+001   6.86582139E-021  -2.00270352E-020   2.41616148E-020  -6.98638974E+003  -6.98634168E+003  -1.41659480E+004  -2.04188792E+002   1.86941051E-003  -3.90839154E-003   8.71485011E-004   1.19992470E+001   0.00000000E+000   7.72928580E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806994E+003   8.46015515E-021   9.89059858E-022  -1.19999997E+001   5.07233355E-021   2.87316223E-020   2.54070180E-020  -6.98647467E+003  -6.98640586E+003  -1.41657988E+004  -2.04254625E+002   4.99225710E-003  -6.99113969E-003   1.31693646E-003   1.19988623E+001   0.00000000E+000   7.78293360E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18785058E+003  -1.47549583E-020  -2.02888793E-020  -1.19999997E+001  -2.52782259E-020   1.67846527E-020   1.58051054E-020  -6.98656021E+003  -6.98647051E+003  -1.41656487E+004  -2.04320934E+002   8.13811714E-003  -1.00963560E-002   1.76561365E-003   1.19984747E+001   0.00000000E+000   7.83659799E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762964E+003   4.74272276E-021   6.57798839E-021  -1.19999997E+001   7.74583299E-021   7.73711658E-021  -1.15249420E-020  -6.98664637E+003  -6.98653562E+003  -1.41654974E+004  -2.04387721E+002   1.13069847E-002  -1.32240391E-002   2.21751665E-003   1.19980844E+001   0.00000000E+000   7.89027867E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740713E+003  -8.20993302E-021  -9.53449733E-021  -1.19999997E+001   1.55483847E-021   1.50692455E-020   9.93146131E-021  -6.98673315E+003  -6.98660120E+003  -1.41653450E+004  -2.04454984E+002   1.44988672E-002  -1.63742087E-002   2.67264805E-003   1.19976913E+001   0.00000000E+000   7.94397561E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718304E+003  -4.14264458E-021  -1.64670567E-020  -1.19999997E+001  -6.49309380E-021   2.69462356E-021  -9.98440087E-021  -6.98682054E+003  -6.98666724E+003  -1.41651916E+004  -2.04522725E+002   1.77137663E-002  -1.95468771E-002   3.13100970E-003   1.19972955E+001   0.00000000E+000   7.99768867E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695737E+003  -1.28473557E-020   1.54110779E-020  -1.19999997E+001  -8.22069670E-021  -5.32042570E-022  -1.88358952E-020  -6.98690855E+003  -6.98673374E+003  -1.41650371E+004  -2.04590943E+002   2.09516760E-002  -2.27420456E-002   3.59260190E-003   1.19968968E+001   0.00000000E+000   8.05141757E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18673013E+003  -5.21165145E-021   2.52889793E-021  -1.19999997E+001   3.44184683E-021  -3.00167301E-020  -1.22872717E-020  -6.98699718E+003  -6.98680072E+003  -1.41648815E+004  -2.04659639E+002   2.42125815E-002  -2.59597076E-002   4.05742416E-003   1.19964953E+001   0.00000000E+000   8.10516196E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18650131E+003  -1.04200769E-020   3.57664625E-021  -1.19999997E+001  -4.43244731E-021   1.51857126E-020  -2.46751285E-020  -6.98708642E+003  -6.98686815E+003  -1.41647248E+004  -2.04728812E+002   2.74964767E-002  -2.91998603E-002   4.52547628E-003   1.19960911E+001   0.00000000E+000   8.15892154E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18627091E+003   1.57464583E-020  -1.37745011E-020  -1.19999997E+001  -1.16308315E-020   8.63973606E-021   2.78462081E-020  -6.98717627E+003  -6.98693606E+003  -1.41645670E+004  -2.04798463E+002   3.08033486E-002  -3.24625086E-002   4.99675957E-003   1.19956841E+001   0.00000000E+000   8.21269616E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
