   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850214E+003   3.43391502E-002   2.84782048E+003   2.84778614E+003  -4.86889967E-002  -1.66689200E+002  -1.66640511E+002   2.84779379E+003  -4.10412404E-002   2.84783483E+003   2.66913939E-002  -1.66681552E+002  -1.66654861E+002
       2       1     1.19999997E+001   7.18828731E+003   1.32159349E-002   2.84769483E+003   2.84768161E+003  -3.15093931E-002  -1.66730173E+002  -1.66698663E+002   2.84767937E+003  -3.37531360E-002   2.84771312E+003   1.54596779E-002  -1.66732416E+002  -1.66716957E+002
       3       1     1.19999997E+001   7.18806933E+003  -8.21936575E-003   2.84756732E+003   2.84757554E+003  -1.40762810E-002  -1.66771746E+002  -1.66757670E+002   2.84756326E+003  -2.63561087E-002   2.84758962E+003   4.06046190E-003  -1.66784026E+002  -1.66779965E+002
       4       1     1.19999997E+001   7.18784978E+003  -2.98101766E-002   2.84743890E+003   2.84746871E+003   3.48346025E-003  -1.66813620E+002  -1.66817104E+002   2.84744632E+003  -1.89046651E-002   2.84746522E+003  -7.42205130E-003  -1.66836008E+002  -1.66843430E+002
       5       1     1.19999997E+001   7.18762865E+003  -5.15565122E-002   2.84730955E+003   2.84736111E+003   2.11698490E-002  -1.66855795E+002  -1.66876965E+002   2.84732854E+003  -1.13987777E-002   2.84733994E+003  -1.89878855E-002  -1.66888364E+002  -1.66907352E+002
       6       1     1.19999997E+001   7.18740595E+003  -7.34585007E-002   2.84717928E+003   2.84725274E+003   3.89829855E-002  -1.66898271E+002  -1.66937254E+002   2.84720992E+003  -3.83840402E-003   2.84721375E+003  -3.06371112E-002  -1.66941093E+002  -1.66971730E+002
       7       1     1.19999997E+001   7.18718166E+003  -9.55162349E-002   2.84704808E+003   2.84714360E+003   5.69229403E-002  -1.66941048E+002  -1.66997971E+002   2.84709045E+003   3.77648533E-003   2.84708668E+003  -4.23697800E-002  -1.66994195E+002  -1.67036565E+002
       8       1     1.19999997E+001   7.18695580E+003  -1.17729730E-001   2.84691596E+003   2.84703369E+003   7.49897273E-002  -1.66984127E+002  -1.67059117E+002   2.84697015E+003   1.14459024E-002   2.84695870E+003  -5.41859053E-002  -1.67047671E+002  -1.67101857E+002
       9       1     1.19999997E+001   7.18672836E+003  -1.40098970E-001   2.84678292E+003   2.84692302E+003   9.31833339E-002  -1.67027506E+002  -1.67120690E+002   2.84684900E+003   1.91698493E-002   2.84682983E+003  -6.60854851E-002  -1.67101520E+002  -1.67167605E+002
      10       1     1.19999997E+001   7.18649935E+003  -1.62623944E-001   2.84664895E+003   2.84681157E+003   1.11503757E-001  -1.67071187E+002  -1.67182691E+002   2.84672702E+003   2.69483347E-002   2.84670007E+003  -7.80685214E-002  -1.67155743E+002  -1.67233811E+002
      11       1     1.19999997E+001   7.18626876E+003  -1.85304714E-001   2.84651405E+003   2.84669936E+003   1.29951040E-001  -1.67115170E+002  -1.67245121E+002   2.84660419E+003   3.47813679E-002   2.84656941E+003  -9.01350414E-002  -1.67210339E+002  -1.67300474E+002
      12       1     1.19999997E+001   7.18603659E+003  -2.08141266E-001   2.84637823E+003   2.84658637E+003   1.48525163E-001  -1.67159453E+002  -1.67307978E+002   2.84648052E+003   4.26689340E-002   2.84643785E+003  -1.02285037E-001  -1.67265309E+002  -1.67367594E+002
      13       1     1.19999997E+001   7.18580284E+003  -2.31133643E-001   2.84624149E+003   2.84647262E+003   1.67226152E-001  -1.67204038E+002  -1.67371264E+002   2.84635601E+003   5.06110346E-002   2.84630540E+003  -1.14518526E-001  -1.67320653E+002  -1.67435172E+002
      14       1     1.19999997E+001   7.18556751E+003  -2.54281903E-001   2.84610382E+003   2.84635810E+003   1.86054046E-001  -1.67248924E+002  -1.67434978E+002   2.84623066E+003   5.86076774E-002   2.84617205E+003  -1.26835534E-001  -1.67376371E+002  -1.67503206E+002
      15       1     1.19999997E+001   7.18533061E+003  -2.77586115E-001   2.84596523E+003   2.84624281E+003   2.05008896E-001  -1.67294112E+002  -1.67499121E+002   2.84610446E+003   6.66588837E-002   2.84603780E+003  -1.39236103E-001  -1.67432462E+002  -1.67571699E+002
      16       1     1.19999997E+001   7.18509212E+003  -3.01046341E-001   2.84582570E+003   2.84612675E+003   2.24090739E-001  -1.67339602E+002  -1.67563693E+002   2.84597743E+003   7.47646671E-002   2.84590266E+003  -1.51720269E-001  -1.67488928E+002  -1.67640649E+002
      17       1     1.19999997E+001   7.18485206E+003  -3.24662600E-001   2.84568526E+003   2.84600992E+003   2.43299576E-001  -1.67385394E+002  -1.67628694E+002   2.84584955E+003   8.29250074E-002   2.84576662E+003  -1.64288031E-001  -1.67545769E+002  -1.67710057E+002
      18       1     1.19999997E+001   7.18461041E+003  -3.48434697E-001   2.84554389E+003   2.84589232E+003   2.62635237E-001  -1.67431487E+002  -1.67694123E+002   2.84572082E+003   9.11398302E-002   2.84562968E+003  -1.76939290E-001  -1.67602983E+002  -1.67779922E+002
      19       1     1.19999997E+001   7.18436719E+003  -3.72362590E-001   2.84540159E+003   2.84577395E+003   2.82097723E-001  -1.67477882E+002  -1.67759980E+002   2.84559126E+003   9.94092232E-002   2.84549185E+003  -1.89674090E-001  -1.67660571E+002  -1.67850245E+002
      20       1     1.19999997E+001   7.18412240E+003  -3.96446451E-001   2.84525837E+003   2.84565481E+003   3.01687178E-001  -1.67524578E+002  -1.67826265E+002   2.84546086E+003   1.07733290E-001   2.84535312E+003  -2.02492563E-001  -1.67718532E+002  -1.67921025E+002
      21       1     1.19999997E+001   7.18387602E+003  -4.20686415E-001   2.84511422E+003   2.84553490E+003   3.21403710E-001  -1.67571576E+002  -1.67892980E+002   2.84532961E+003   1.16112113E-001   2.84521350E+003  -2.15394818E-001  -1.67776868E+002  -1.67992263E+002
      22       1     1.19999997E+001   7.18362806E+003  -4.45082572E-001   2.84496914E+003   2.84541422E+003   3.41247392E-001  -1.67618876E+002  -1.67960123E+002   2.84519752E+003   1.24545757E-001   2.84507298E+003  -2.28380938E-001  -1.67835578E+002  -1.68063959E+002
      23       1     1.19999997E+001   7.18337852E+003  -4.69634958E-001   2.84482314E+003   2.84529277E+003   3.61218251E-001  -1.67666478E+002  -1.68027696E+002   2.84506459E+003   1.33034257E-001   2.84493156E+003  -2.41450964E-001  -1.67894662E+002  -1.68136113E+002
