    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
        16     1.19999997E+001   7.18509583E+003   9.88435337E-021  -2.34383901E-020  -1.19999997E+001   8.75730945E-021   3.43154223E-020   4.49920079E-021  -6.98746248E+003  -6.98745448E+003  -1.41637624E+004  -2.05153704E+002  -4.53681144E-003   2.45235457E-003   7.38095174E-003   1.19936082E+001   0.00000000E+000   8.48165614E+014   0.00000000E+000   1.00000000E-014   1.60000000E-013
        17     1.19999997E+001   7.18485603E+003   7.85172245E-021  -6.38451084E-021  -1.19999997E+001   2.50806332E-021  -3.01384911E-020   1.09220928E-020  -6.98754460E+003  -6.98753658E+003  -1.41635982E+004  -2.05226203E+002  -4.55501227E-003   2.47469899E-003   7.87022007E-003   1.19931846E+001   0.00000000E+000   8.53550443E+014   0.00000000E+000   1.00000000E-014   1.70000000E-013
        18     1.19999997E+001   7.18461464E+003   2.14207105E-020  -2.23228750E-020  -1.19999997E+001   1.62728554E-020   2.64486038E-020   1.93944075E-020  -6.98762726E+003  -6.98761921E+003  -1.41634329E+004  -2.05299180E+002  -4.57313039E-003   2.49725370E-003   8.36270706E-003   1.19927581E+001   0.00000000E+000   8.58936570E+014   0.00000000E+000   1.00000000E-014   1.80000000E-013
        19     1.19999997E+001   7.18437169E+003   3.01933331E-021  -4.24959077E-020  -1.19999997E+001  -2.09342973E-020   3.71212189E-020  -2.26806307E-020  -6.98771046E+003  -6.98770238E+003  -1.41632665E+004  -2.05372633E+002  -4.59115474E-003   2.52000990E-003   8.85841048E-003   1.19923289E+001   0.00000000E+000   8.64323953E+014   0.00000000E+000   1.00000000E-014   1.90000000E-013
        20     1.19999997E+001   7.18412716E+003   1.68934683E-020  -1.80757162E-020  -1.19999997E+001   1.55023676E-020  -3.79259002E-020   3.23513646E-020  -6.98779421E+003  -6.98778609E+003  -1.41630991E+004  -2.05446563E+002  -4.60906069E-003   2.54294413E-003   9.35733305E-003   1.19918970E+001   0.00000000E+000   8.69712591E+014   0.00000000E+000   1.00000000E-014   2.00000000E-013
        21     1.19999997E+001   7.18388105E+003  -1.87452362E-020   3.74214441E-020  -1.19999997E+001  -1.17547121E-020   1.80153320E-020  -1.41878019E-021  -6.98787849E+003  -6.98787035E+003  -1.41629305E+004  -2.05520971E+002  -4.62682656E-003   2.56603392E-003   9.85947680E-003   1.19914622E+001   0.00000000E+000   8.75102483E+014   0.00000000E+000   1.00000000E-014   2.10000000E-013
        22     1.19999997E+001   7.18363337E+003  -1.57972058E-020   1.70170904E-020  -1.19999997E+001   1.66725594E-020  -4.38657188E-020   5.85008599E-020  -6.98796331E+003  -6.98795514E+003  -1.41627609E+004  -2.05595856E+002  -4.64443857E-003   2.58926917E-003   1.03648429E-002   1.19910246E+001   0.00000000E+000   8.80493617E+014   0.00000000E+000   1.00000000E-014   2.20000000E-013
        23     1.19999997E+001   7.18338411E+003  -1.29518286E-020   2.26045300E-020  -1.19999997E+001  -1.01392284E-020  -2.45904252E-020  -5.54012487E-021  -6.98804867E+003  -6.98804048E+003  -1.41625902E+004  -2.05671219E+002  -4.66188311E-003   2.61264100E-003   1.08734317E-002   1.19905843E+001   0.00000000E+000   8.85885979E+014   0.00000000E+000   1.00000000E-014   2.30000000E-013
        24     1.19999997E+001   7.18313327E+003   1.39525517E-020   3.45696562E-020  -1.19999997E+001   1.84673862E-020  -1.04767388E-020  -1.63212661E-020  -6.98813458E+003  -6.98812635E+003  -1.41624184E+004  -2.05747059E+002  -4.67915085E-003   2.63614245E-003   1.13852448E-002   1.19901412E+001   0.00000000E+000   8.91279565E+014   0.00000000E+000   1.00000000E-014   2.40000000E-013
        25     1.19999997E+001   7.18288085E+003  -1.18228511E-020  -1.25580493E-020  -1.19999997E+001   3.06433194E-021  -9.28030473E-021   1.90132427E-020  -6.98822102E+003  -6.98821277E+003  -1.41622456E+004  -2.05823377E+002  -4.69623315E-003   2.65977119E-003   1.19002840E-002   1.19896953E+001   0.00000000E+000   8.96674373E+014   0.00000000E+000   1.00000000E-014   2.50000000E-013
        26     1.19999997E+001   7.18262686E+003  -2.44018281E-024  -4.81477019E-021  -1.19999997E+001  -1.62484328E-020   2.20122687E-020  -2.71090248E-020  -6.98830801E+003  -6.98829973E+003  -1.41620716E+004  -2.05900174E+002  -4.71312177E-003   2.68352410E-003   1.24185513E-002   1.19892466E+001   0.00000000E+000   9.02070406E+014   0.00000000E+000   1.00000000E-014   2.60000000E-013
        27     1.19999997E+001   7.18237128E+003  -2.99583725E-020   8.48229878E-020  -1.19999997E+001  -1.44897021E-020   2.71579939E-020   2.05696657E-020  -6.98839554E+003  -6.98838723E+003  -1.41618966E+004  -2.05977450E+002  -4.72980527E-003   2.70740032E-003   1.29400489E-002   1.19887951E+001   0.00000000E+000   9.07467661E+014   0.00000000E+000   1.00000000E-014   2.70000000E-013
        28     1.19999997E+001   7.18211413E+003   3.17546779E-020   1.51355027E-020  -1.19999997E+001   4.17581453E-022  -3.09537603E-020  -2.79335584E-020  -6.98848361E+003  -6.98847528E+003  -1.41617205E+004  -2.06055204E+002  -4.74627391E-003   2.73139430E-003   1.34647779E-002   1.19883408E+001   0.00000000E+000   9.12866133E+014   0.00000000E+000   1.00000000E-014   2.80000000E-013
        29     1.19999997E+001   7.18185539E+003  -8.36225833E-021   2.39845155E-021  -1.19999997E+001  -4.06757794E-021   1.74065271E-020   2.81347287E-020  -6.98857222E+003  -6.98856386E+003  -1.41615433E+004  -2.06133437E+002  -4.76251928E-003   2.75550378E-003   1.39927392E-002   1.19878837E+001   0.00000000E+000   9.18265812E+014   0.00000000E+000   1.00000000E-014   2.90000000E-013
        30     1.19999997E+001   7.18159507E+003  -1.22404946E-020  -1.86231443E-020  -1.19999997E+001  -2.99027963E-020  -3.11019910E-020  -7.14419351E-021  -6.98866138E+003  -6.98865299E+003  -1.41613650E+004  -2.06212149E+002  -4.77853223E-003   2.77971682E-003   1.45239334E-002   1.19874238E+001   0.00000000E+000   9.23666683E+014   0.00000000E+000   1.00000000E-014   3.00000000E-013
        31     1.19999997E+001   7.18133317E+003  -1.81575243E-020  -2.43093493E-020  -1.19999997E+001  -1.17853385E-020   1.65383183E-020   2.25496052E-020  -6.98875107E+003  -6.98874267E+003  -1.41611856E+004  -2.06291341E+002  -4.79430284E-003   2.80402467E-003   1.50583620E-002   1.19869612E+001   0.00000000E+000   9.29068742E+014   0.00000000E+000   1.00000000E-014   3.10000000E-013
        32     1.19999997E+001   7.18106969E+003   1.07065709E-020  -3.57831716E-020  -1.19999997E+001  -1.57491570E-020   2.51727604E-020   4.54883162E-020  -6.98884131E+003  -6.98883288E+003  -1.41610052E+004  -2.06371012E+002  -4.80981910E-003   2.82842027E-003   1.55960271E-002   1.19864957E+001   0.00000000E+000   9.34471989E+014   0.00000000E+000   1.00000000E-014   3.20000000E-013
        33     1.19999997E+001   7.18080462E+003  -1.86791444E-020   4.81609782E-020  -1.19999997E+001   1.12327405E-020   2.18110984E-020  -4.88499783E-020  -6.98893210E+003  -6.98892365E+003  -1.41608236E+004  -2.06451163E+002  -4.82507346E-003   2.85289280E-003   1.61369314E-002   1.19860275E+001   0.00000000E+000   9.39876430E+014   0.00000000E+000   1.00000000E-014   3.30000000E-013
        34     1.19999997E+001   7.18053797E+003   1.07567394E-020   1.32179740E-020  -1.19999997E+001  -3.39229871E-021   1.62100930E-020  -3.01517259E-020  -6.98902342E+003  -6.98901495E+003  -1.41606410E+004  -2.06531795E+002  -4.84005723E-003   2.87742476E-003   1.66810778E-002   1.19855564E+001   0.00000000E+000   9.45282076E+014   0.00000000E+000   1.00000000E-014   3.40000000E-013
        35     1.19999997E+001   7.18026973E+003  -6.50159826E-021  -3.77999206E-020  -1.19999997E+001   7.68849904E-021   5.56712405E-020  -1.81423869E-020  -6.98911530E+003  -6.98910680E+003  -1.41604573E+004  -2.06612907E+002  -4.85476564E-003   2.90199567E-003   1.72284687E-002   1.19850825E+001   0.00000000E+000   9.50688930E+014   0.00000000E+000   1.00000000E-014   3.50000000E-013
        36     1.19999997E+001   7.17999990E+003  -1.09889704E-020   6.41074901E-020  -1.19999997E+001   1.29026941E-020   3.91699799E-020   3.98211364E-020  -6.98920771E+003  -6.98919919E+003  -1.41602725E+004  -2.06694500E+002  -4.86919246E-003   2.92658097E-003   1.77791062E-002   1.19846059E+001   0.00000000E+000   9.56096997E+014   0.00000000E+000   1.00000000E-014   3.60000000E-013
        37     1.19999997E+001   7.17972849E+003  -7.78748412E-021  -1.29828479E-020  -1.19999997E+001  -2.91630797E-021  -1.17922868E-020  -3.38919058E-020  -6.98930068E+003  -6.98929213E+003  -1.41600866E+004  -2.06776575E+002  -4.88332939E-003   2.95116216E-003   1.83329934E-002   1.19841264E+001   0.00000000E+000   9.61506287E+014   0.00000000E+000   1.00000000E-014   3.70000000E-013
        38     1.19999997E+001   7.17945548E+003   2.51600942E-020  -2.08779559E-020  -1.19999997E+001  -3.86431899E-021   2.65359541E-020  -1.38595766E-020  -6.98939418E+003  -6.98938562E+003  -1.41598996E+004  -2.06859132E+002  -4.89717399E-003   2.97572383E-003   1.88901344E-002   1.19836441E+001   0.00000000E+000   9.66916825E+014   0.00000000E+000   1.00000000E-014   3.80000000E-013
        39     1.19999997E+001   7.17918088E+003   4.31734513E-021  -5.30442803E-020  -1.19999997E+001  -5.89281400E-021  -5.09807955E-021  -1.78829831E-020  -6.98948824E+003  -6.98947965E+003  -1.41597115E+004  -2.06942172E+002  -4.91069977E-003   3.00022077E-003   1.94505358E-002   1.19831590E+001   0.00000000E+000   9.72328641E+014   0.00000000E+000   1.00000000E-014   3.90000000E-013
        40     1.19999997E+001   7.17890467E+003   1.04153620E-020   4.72051296E-020  -1.19999997E+001   3.36962362E-021  -4.64279934E-021   1.11543651E-020  -6.98958285E+003  -6.98957423E+003  -1.41595223E+004  -2.07025699E+002  -4.92373408E-003   3.02441849E-003   2.00142189E-002   1.19826711E+001   0.00000000E+000   9.77741865E+014   0.00000000E+000   1.00000000E-014   4.00000000E-013
        41     1.19999997E+001   7.17862685E+003   8.96473532E-021   9.89733597E-020  -1.19999997E+001  -5.82875921E-021   7.25721947E-020   1.65171425E-021  -6.98967801E+003  -6.98966937E+003  -1.41593320E+004  -2.07109716E+002  -4.93609599E-003   3.04795980E-003   2.05812125E-002   1.19821803E+001   0.00000000E+000   9.83156696E+014   0.00000000E+000   1.00000000E-014   4.10000000E-013
        42     1.19999997E+001   7.17834740E+003  -2.40961848E-021   3.32816119E-021  -1.19999997E+001   1.58024171E-020   9.94204922E-021  -2.58768565E-020  -6.98977373E+003  -6.98976507E+003  -1.41591406E+004  -2.07194226E+002  -4.94762788E-003   3.07066100E-003   2.11515359E-002   1.19816866E+001   0.00000000E+000   9.88573272E+014   0.00000000E+000   1.00000000E-014   4.20000000E-013
        43     1.19999997E+001   7.17806631E+003   1.40111574E-020  -6.62174624E-021  -1.19999997E+001  -8.10017649E-021   3.21819580E-020  -6.99596275E-020  -6.98987001E+003  -6.98986133E+003  -1.41589480E+004  -2.07279232E+002  -4.95824395E-003   3.09241460E-003   2.17251995E-002   1.19811901E+001   0.00000000E+000   9.93991662E+014   0.00000000E+000   1.00000000E-014   4.30000000E-013
        44     1.19999997E+001   7.17778359E+003  -5.70829069E-021   2.05715682E-020  -1.19999997E+001  -1.34201783E-021   5.13037268E-020  -8.67149980E-021  -6.98996685E+003  -6.98995815E+003  -1.41587544E+004  -2.07364732E+002  -4.96793639E-003   3.11326455E-003   2.23022029E-002   1.19806906E+001   0.00000000E+000   9.99411834E+014   0.00000000E+000   1.00000000E-014   4.40000000E-013
        45     1.19999997E+001   7.17749925E+003   1.74392007E-020  -6.44575116E-020  -1.19999997E+001  -1.76385719E-020  -4.78097159E-020   1.11755409E-020  -6.99006424E+003  -6.99005553E+003  -1.41585596E+004  -2.07450726E+002  -4.97680717E-003   3.13326188E-003   2.28825387E-002   1.19801883E+001   0.00000000E+000   1.00483369E+015   0.00000000E+000   1.00000000E-014   4.50000000E-013
        46     1.19999997E+001   7.17716618E+003   5.59078968E-021   2.36269666E-020  -1.19999997E+001  -5.75141782E-021  -4.33475728E-020   7.40200917E-020  -6.99017902E+003  -6.99016892E+003  -1.41583314E+004  -2.07551455E+002  -4.96475385E-003   3.16454133E-003   2.35623119E-002   1.19796000E+001   0.00000000E+000   1.01230886E+015   0.00000000E+000   1.00000000E-014   4.60000000E-013
        47     1.19999997E+001   7.17681610E+003   3.91454953E-021  -9.71279611E-021  -1.19999997E+001  -6.73463571E-021  -6.36862897E-020   1.85288457E-021  -6.99029934E+003  -6.99028841E+003  -1.41580916E+004  -2.07657333E+002  -3.21879672E-003   1.51613024E-003   2.42768366E-002   1.19789815E+001   0.00000000E+000   1.02068850E+015   2.91615386E+011   1.00000000E-014   4.70000000E-013
        48     1.19999997E+001   7.17648017E+003  -9.62722428E-021   5.23434515E-020  -1.19999997E+001  -1.99627633E-020   5.30877900E-020   1.80418018E-020  -6.99041363E+003  -6.99040424E+003  -1.41578615E+004  -2.07758932E+002  -3.27588205E-003   1.89866525E-003   2.49624806E-002   1.19783881E+001   0.00000000E+000   1.02814720E+015   6.08666567E+011   1.00000000E-014   4.80000000E-013
        49     1.19999997E+001   7.17621184E+003   1.81023514E-020  -1.12219499E-019  -1.19999997E+001  -1.69954803E-020  -3.84341200E-020  -7.19978005E-022  -6.99050547E+003  -6.99049622E+003  -1.41576777E+004  -2.07840087E+002  -3.58083595E-003   2.28167096E-003   2.55101605E-002   1.19779141E+001   0.00000000E+000   1.03299115E+015   1.00280825E+012   1.00000000E-014   4.90000000E-013
        50     1.19999997E+001   7.17594165E+003   2.70488060E-022  -3.21965578E-020  -1.19999997E+001  -2.63902255E-020  -3.60200761E-020  -2.83332521E-020  -6.99059794E+003  -6.99058884E+003  -1.41574926E+004  -2.07921804E+002  -3.81203202E-003   2.56543994E-003   2.60616325E-002   1.19774368E+001   0.00000000E+000   1.03762619E+015   1.19826733E+012   1.00000000E-014   5.00000000E-013
        51     1.19999997E+001   7.17567029E+003  -2.05297956E-021  -4.36710004E-022  -1.19999997E+001   2.31155622E-020  -2.94132191E-020   1.64959666E-020  -6.99069082E+003  -6.99068186E+003  -1.41573067E+004  -2.08003876E+002  -4.04829586E-003   2.85200314E-003   2.66155031E-002   1.19769574E+001   0.00000000E+000   1.04236840E+015   1.41189680E+012   1.00000000E-014   5.10000000E-013
        52     1.19999997E+001   7.17539776E+003  -9.54765984E-021  -3.60897247E-020  -1.19999997E+001  -1.82513473E-020  -4.72220868E-021  -3.56812629E-020  -6.99078409E+003  -6.99077529E+003  -1.41571200E+004  -2.08086305E+002  -4.29490889E-003   3.14547082E-003   2.71717788E-002   1.19764760E+001   0.00000000E+000   1.04721702E+015   1.64382442E+012   1.00000000E-014   5.20000000E-013
        53     1.19999997E+001   7.17512408E+003  -1.71321099E-020  -5.75495195E-020  -1.19999997E+001   5.09454335E-021  -1.52889447E-020   3.44954168E-020  -6.99087774E+003  -6.99086913E+003  -1.41569325E+004  -2.08169082E+002  -4.54850944E-003   3.44484381E-003   2.77304011E-002   1.19759925E+001   0.00000000E+000   1.05217020E+015   1.89413163E+012   1.00000000E-014   5.30000000E-013
        54     1.19999997E+001   7.17484928E+003   1.02490573E-020   7.13496631E-020  -1.19999997E+001   7.49766847E-021   4.98690648E-020   5.37865922E-020  -6.99097178E+003  -6.99096335E+003  -1.41567442E+004  -2.08252200E+002  -4.80709176E-003   3.75143412E-003   2.82913328E-002   1.19755071E+001   0.00000000E+000   1.05722597E+015   2.16182848E+012   1.00000000E-014   5.40000000E-013
        55     1.19999997E+001   7.17457338E+003  -3.10871018E-020   9.30269237E-020  -1.19999997E+001  -4.56150817E-021  -1.66865491E-020  -5.45489218E-020  -6.99106620E+003  -6.99105795E+003  -1.41565552E+004  -2.08335650E+002  -5.07162480E-003   4.06919439E-003   2.88544978E-002   1.19750197E+001   0.00000000E+000   1.06238148E+015   2.44646807E+012   1.00000000E-014   5.50000000E-013
