   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.78356359E+003   2.78587604E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78702256E+003   0.00000000E+000   2.78557840E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.80589097E+003   2.80804657E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.80903620E+003   0.00000000E+000   2.80770102E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.83811353E+003   2.84029078E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84126165E+003   0.00000000E+000   2.83987809E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.83888163E+003   2.84104733E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84199701E+003   0.00000000E+000   2.84059778E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.83963437E+003   2.84178849E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84271756E+003   0.00000000E+000   2.84130138E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.84038901E+003   2.84253092E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84343984E+003   0.00000000E+000   2.84200573E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.84114072E+003   2.84326986E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84415923E+003   0.00000000E+000   2.84270612E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.84187971E+003   2.84399555E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84486594E+003   0.00000000E+000   2.84339275E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.84260181E+003   2.84470373E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84555593E+003   0.00000000E+000   2.84406151E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.84330882E+003   2.84539642E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84623109E+003   0.00000000E+000   2.84471434E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.84401176E+003   2.84608371E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84690130E+003   0.00000000E+000   2.84536188E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.84469956E+003   2.84675457E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84755595E+003   0.00000000E+000   2.84599364E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.84538042E+003   2.84741710E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84820310E+003   0.00000000E+000   2.84661757E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.84605691E+003   2.84807406E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84884551E+003   0.00000000E+000   2.84723615E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.84672958E+003   2.84872587E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84948381E+003   0.00000000E+000   2.84784981E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.84739636E+003   2.84937043E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85011665E+003   0.00000000E+000   2.84845680E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.84805491E+003   2.85000534E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85074091E+003   0.00000000E+000   2.84905474E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.84867771E+003   2.85060305E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85132944E+003   0.00000000E+000   2.84961601E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.84927556E+003   2.85117851E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85189538E+003   0.00000000E+000   2.85015334E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.84987450E+003   2.85175788E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85246497E+003   0.00000000E+000   2.85069372E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.85047194E+003   2.85233743E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85303498E+003   0.00000000E+000   2.85123374E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      22   0.00000000E+000   2.85106356E+003   2.85291261E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85360099E+003   0.00000000E+000   2.85176858E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      23   0.00000000E+000   2.85164612E+003   2.85347932E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85415894E+003   0.00000000E+000   2.85229400E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
