   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850151E+003   5.32382566E-002   2.84783108E+003   2.84777784E+003  -5.97225684E-002  -1.66697316E+002  -1.66637594E+002   2.84778740E+003  -5.01629440E-002   2.84783756E+003   4.36786322E-002  -1.66687757E+002  -1.66644078E+002
       2       1     1.19999997E+001   7.18828610E+003   5.12890570E-002   2.84771620E+003   2.84766491E+003  -5.37378587E-002  -1.66746512E+002  -1.66692774E+002   2.84766652E+003  -5.21266411E-002   2.84771865E+003   4.96778394E-002  -1.66744901E+002  -1.66695223E+002
       3       1     1.19999997E+001   7.18806751E+003   4.93116770E-002   2.84759963E+003   2.84755032E+003  -4.76652218E-002  -1.66796432E+002  -1.66748767E+002   2.84754386E+003  -5.41189200E-002   2.84759798E+003   5.57653752E-002  -1.66802886E+002  -1.66747121E+002
       4       1     1.19999997E+001   7.18784734E+003   4.73200502E-002   2.84748221E+003   2.84743489E+003  -4.15483785E-002  -1.66846715E+002  -1.66805166E+002   2.84742032E+003  -5.61255038E-002   2.84747644E+003   6.18971755E-002  -1.66861292E+002  -1.66799395E+002
       5       1     1.19999997E+001   7.18762559E+003   4.53141783E-002   2.84736395E+003   2.84731864E+003  -3.53873328E-002  -1.66897360E+002  -1.66861973E+002   2.84729588E+003  -5.81463903E-002   2.84735402E+003   6.80732357E-002  -1.66920119E+002  -1.66852046E+002
       6       1     1.19999997E+001   7.18740225E+003   4.32940500E-002   2.84724484E+003   2.84720155E+003  -2.91820645E-002  -1.66948368E+002  -1.66919186E+002   2.84717055E+003  -6.01815943E-002   2.84723073E+003   7.42935798E-002  -1.66979367E+002  -1.66905074E+002
       7       1     1.19999997E+001   7.18717732E+003   4.12596617E-002   2.84712488E+003   2.84708362E+003  -2.29325665E-002  -1.66999739E+002  -1.66976806E+002   2.84704433E+003  -6.22311296E-002   2.84710656E+003   8.05582248E-002  -1.67039038E+002  -1.66958479E+002
       8       1     1.19999997E+001   7.18695081E+003   3.92110195E-002   2.84700408E+003   2.84696487E+003  -1.66388536E-002  -1.67051473E+002  -1.67034834E+002   2.84691721E+003  -6.42949984E-002   2.84698151E+003   8.68671643E-002  -1.67099129E+002  -1.67012262E+002
       9       1     1.19999997E+001   7.18672271E+003   3.71481346E-002   2.84688243E+003   2.84684528E+003  -1.03009501E-002  -1.67103570E+002  -1.67093269E+002   2.84678921E+003  -6.63731996E-002   2.84685558E+003   9.32203840E-002  -1.67159643E+002  -1.67066422E+002
      10       1     1.19999997E+001   7.18649302E+003   3.50710158E-002   2.84675993E+003   2.84672486E+003  -3.91887355E-003  -1.67156030E+002  -1.67152112E+002   2.84666031E+003  -6.84657318E-002   2.84672877E+003   9.96178740E-002  -1.67220577E+002  -1.67120959E+002
      11       1     1.19999997E+001   7.18626175E+003   3.29796571E-002   2.84663658E+003   2.84660360E+003   2.50737204E-003  -1.67208854E+002  -1.67211361E+002   2.84653052E+003  -7.05726043E-002   2.84660109E+003   1.06059633E-001  -1.67281934E+002  -1.67175874E+002
      12       1     1.19999997E+001   7.18602888E+003   3.08740661E-002   2.84651238E+003   2.84648151E+003   8.97775732E-003  -1.67262040E+002  -1.67271017E+002   2.84639984E+003  -7.26938144E-002   2.84647253E+003   1.12545638E-001  -1.67343711E+002  -1.67231166E+002
      13       1     1.19999997E+001   7.18579444E+003   2.87542449E-002   2.84638734E+003   2.84635859E+003   1.54922707E-002  -1.67315589E+002  -1.67331081E+002   2.84626827E+003  -7.48293704E-002   2.84634310E+003   1.19075886E-001  -1.67405910E+002  -1.67286835E+002
      14       1     1.19999997E+001   7.18555840E+003   2.66201874E-002   2.84626145E+003   2.84623483E+003   2.20509112E-002  -1.67369501E+002  -1.67391552E+002   2.84613580E+003  -7.69792800E-002   2.84621278E+003   1.25650379E-001  -1.67468531E+002  -1.67342881E+002
      15       1     1.19999997E+001   7.18532078E+003   2.44718907E-002   2.84613472E+003   2.84611024E+003   2.86536766E-002  -1.67423776E+002  -1.67452430E+002   2.84600245E+003  -7.91435609E-002   2.84608159E+003   1.32269128E-001  -1.67531574E+002  -1.67399305E+002
      16       1     1.19999997E+001   7.18508157E+003   2.23093570E-002   2.84600713E+003   2.84598482E+003   3.53005553E-002  -1.67478415E+002  -1.67513716E+002   2.84586820E+003  -8.13222312E-002   2.84594952E+003   1.38932143E-001  -1.67595038E+002  -1.67456106E+002
      17       1     1.19999997E+001   7.18484078E+003   2.01325913E-002   2.84587870E+003   2.84585856E+003   4.19915208E-002  -1.67533417E+002  -1.67575409E+002   2.84573306E+003  -8.35153078E-002   2.84581657E+003   1.45639420E-001  -1.67658924E+002  -1.67513285E+002
      18       1     1.19999997E+001   7.18459840E+003   1.79416213E-002   2.84574942E+003   2.84573147E+003   4.87264999E-002  -1.67588782E+002  -1.67637509E+002   2.84559703E+003  -8.57227749E-002   2.84568275E+003   1.52390896E-001  -1.67723231E+002  -1.67570840E+002
      19       1     1.19999997E+001   7.18435443E+003   1.57364200E-002   2.84561929E+003   2.84560355E+003   5.55055036E-002  -1.67644509E+002  -1.67700015E+002   2.84546010E+003  -8.79445662E-002   2.84554805E+003   1.59186490E-001  -1.67787959E+002  -1.67628773E+002
      20       1     1.19999997E+001   7.18410888E+003   1.35169194E-002   2.84548832E+003   2.84547480E+003   6.23285767E-002  -1.67700599E+002  -1.67762928E+002   2.84532229E+003  -9.01806559E-002   2.84541247E+003   1.66026152E-001  -1.67853109E+002  -1.67687082E+002
      21       1     1.19999997E+001   7.18386175E+003   1.12830733E-002   2.84535650E+003   2.84534521E+003   6.91957452E-002  -1.67757052E+002  -1.67826248E+002   2.84518359E+003  -9.24310375E-002   2.84527602E+003   1.72909856E-001  -1.67918679E+002  -1.67745769E+002
      22       1     1.19999997E+001   7.18361303E+003   9.03484116E-003   2.84522383E+003   2.84521479E+003   7.61070373E-002  -1.67813867E+002  -1.67889974E+002   2.84504399E+003  -9.46956912E-002   2.84513869E+003   1.79837570E-001  -1.67984670E+002  -1.67804832E+002
      23       1     1.19999997E+001   7.18336273E+003   6.77219065E-003   2.84509032E+003   2.84508354E+003   8.30624743E-002  -1.67871045E+002  -1.67954107E+002   2.84490351E+003  -9.69745917E-002   2.84500048E+003   1.86809257E-001  -1.68051082E+002  -1.67864273E+002
      24       1     1.19999997E+001   7.18311084E+003   4.49508526E-003   2.84495596E+003   2.84495146E+003   9.00620931E-002  -1.67928585E+002  -1.68018647E+002   2.84476213E+003  -9.92677238E-002   2.84486140E+003   1.93824902E-001  -1.68117915E+002  -1.67924090E+002
      25       1     1.19999997E+001   7.18285737E+003   2.20348954E-003   2.84482075E+003   2.84481855E+003   9.71059255E-002  -1.67986488E+002  -1.68083594E+002   2.84461986E+003  -1.01575079E-001   2.84472144E+003   2.00884494E-001  -1.68185169E+002  -1.67984285E+002
      26       1     1.19999997E+001   7.18260231E+003  -1.02617937E-004   2.84468469E+003   2.84468480E+003   1.04193990E-001  -1.68044754E+002  -1.68148948E+002   2.84447671E+003  -1.03896669E-001   2.84458060E+003   2.07988041E-001  -1.68252845E+002  -1.68044857E+002
      27       1     1.19999997E+001   7.18234567E+003  -2.42325500E-003   2.84454779E+003   2.84455022E+003   1.11326293E-001  -1.68103383E+002  -1.68214709E+002   2.84433266E+003  -1.06232504E-001   2.84443889E+003   2.15135541E-001  -1.68320942E+002  -1.68105806E+002
      28       1     1.19999997E+001   7.18208744E+003  -4.75843100E-003   2.84441004E+003   2.84441480E+003   1.18502831E-001  -1.68162374E+002  -1.68280877E+002   2.84418772E+003  -1.08582596E-001   2.84429630E+003   2.22326996E-001  -1.68389460E+002  -1.68167133E+002
      29       1     1.19999997E+001   7.18182763E+003  -7.10814766E-003   2.84427144E+003   2.84427855E+003   1.25723593E-001  -1.68221729E+002  -1.68347453E+002   2.84404188E+003  -1.10946965E-001   2.84415283E+003   2.29562410E-001  -1.68458399E+002  -1.68228837E+002
      30       1     1.19999997E+001   7.18156623E+003  -9.47239994E-003   2.84413200E+003   2.84414147E+003   1.32988564E-001  -1.68281446E+002  -1.68414435E+002   2.84389516E+003  -1.13325631E-001   2.84400848E+003   2.36841796E-001  -1.68527761E+002  -1.68290919E+002
      31       1     1.19999997E+001   7.18130325E+003  -1.18511906E-002   2.84399171E+003   2.84400356E+003   1.40297736E-001  -1.68341527E+002  -1.68481824E+002   2.84374754E+003  -1.15718624E-001   2.84386326E+003   2.44165169E-001  -1.68597543E+002  -1.68353378E+002
      32       1     1.19999997E+001   7.18103868E+003  -1.42445147E-002   2.84385057E+003   2.84386481E+003   1.47651092E-001  -1.68401970E+002  -1.68549621E+002   2.84359903E+003  -1.18125987E-001   2.84371716E+003   2.51532564E-001  -1.68667747E+002  -1.68416215E+002
      33       1     1.19999997E+001   7.18077252E+003  -1.66523781E-002   2.84370858E+003   2.84372523E+003   1.55048636E-001  -1.68462777E+002  -1.68617825E+002   2.84344963E+003  -1.20547766E-001   2.84357018E+003   2.58944023E-001  -1.68738373E+002  -1.68479429E+002
      34       1     1.19999997E+001   7.18050478E+003  -1.90747102E-002   2.84356574E+003   2.84358482E+003   1.62490345E-001  -1.68523946E+002  -1.68686437E+002   2.84329934E+003  -1.22984032E-001   2.84342233E+003   2.66399667E-001  -1.68809421E+002  -1.68543021E+002
      35       1     1.19999997E+001   7.18023545E+003  -2.15116140E-002   2.84342206E+003   2.84344357E+003   1.69976236E-001  -1.68585479E+002  -1.68755455E+002   2.84314816E+003  -1.25434803E-001   2.84327359E+003   2.73899425E-001  -1.68880890E+002  -1.68606991E+002
      36       1     1.19999997E+001   7.17996453E+003  -2.39630202E-002   2.84327752E+003   2.84330149E+003   1.77506269E-001  -1.68647375E+002  -1.68824881E+002   2.84299608E+003  -1.27900137E-001   2.84312398E+003   2.81443385E-001  -1.68952781E+002  -1.68671338E+002
      37       1     1.19999997E+001   7.17969203E+003  -2.64290633E-002   2.84313214E+003   2.84315857E+003   1.85080465E-001  -1.68709634E+002  -1.68894714E+002   2.84284311E+003  -1.30380048E-001   2.84297349E+003   2.89031450E-001  -1.69025094E+002  -1.68736063E+002
      38       1     1.19999997E+001   7.17941795E+003  -2.89098149E-002   2.84298591E+003   2.84301482E+003   1.92698838E-001  -1.68772256E+002  -1.68964954E+002   2.84268925E+003  -1.32874581E-001   2.84282212E+003   2.96663604E-001  -1.69097829E+002  -1.68801165E+002
      39       1     1.19999997E+001   7.17914228E+003  -3.14054731E-002   2.84283884E+003   2.84287024E+003   2.00361526E-001  -1.68835240E+002  -1.69035602E+002   2.84253450E+003  -1.35383680E-001   2.84266988E+003   3.04339733E-001  -1.69170986E+002  -1.68866646E+002
