    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850151E+003  -1.95512927E-021   1.65577157E-020  -1.19999997E+001  -3.99462061E-021   0.00000000E+000   1.30104261E-019  -6.98629294E+003  -6.98629211E+003  -1.41660943E+004  -2.04124169E+002  -1.14658818E-002  -5.12091793E-003   4.34139458E-004   1.19996247E+001   0.00000000E+000   7.67585093E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828610E+003   8.12442322E-021   2.84300322E-020  -1.19999997E+001   4.98841608E-021   4.33680869E-020   2.16840434E-019  -6.98636329E+003  -6.98636924E+003  -1.41659468E+004  -2.04189285E+002  -1.87964575E-002  -1.24661395E-002   8.74649008E-004   1.19992441E+001   0.00000000E+000   7.72969222E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806751E+003  -9.70644750E-023  -3.61891518E-023  -1.19999997E+001   8.37470739E-021  -1.73472348E-019   0.00000000E+000  -6.98643468E+003  -6.98644751E+003  -1.41657972E+004  -2.04255358E+002  -2.62347675E-002  -1.99194739E-002   1.32163747E-003   1.19988580E+001   0.00000000E+000   7.78353162E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784734E+003  -7.68249164E-021  -1.91891426E-020  -1.19999997E+001  -7.43468901E-021  -8.67361738E-020  -4.33680869E-020  -6.98650659E+003  -6.98652634E+003  -1.41656464E+004  -2.04321911E+002  -3.37272165E-002  -2.74270128E-002   1.77187271E-003   1.19984690E+001   0.00000000E+000   7.83738759E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762559E+003   1.35496579E-021   2.31991075E-021  -1.19999997E+001   1.25410300E-020  -1.30104261E-019  -2.16840434E-019  -6.98657902E+003  -6.98660575E+003  -1.41654946E+004  -2.04388945E+002  -4.12737994E-002  -3.49887510E-002   2.22535479E-003   1.19980773E+001   0.00000000E+000   7.89125981E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740225E+003  -1.42242288E-020  -7.83033983E-021  -1.19999997E+001   2.32098608E-021  -4.33680869E-020   4.33680869E-020  -6.98665197E+003  -6.98668572E+003  -1.41653417E+004  -2.04456458E+002  -4.88745417E-002  -4.26047171E-002   2.68208593E-003   1.19976827E+001   0.00000000E+000   7.94514820E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18717732E+003   1.10530820E-020  -1.99240099E-020  -1.19999997E+001   1.51946875E-021   0.00000000E+000   4.33680869E-020  -6.98672543E+003  -6.98676626E+003  -1.41651877E+004  -2.04524452E+002  -5.65294539E-002  -5.02749300E-002   3.14206770E-003   1.19972854E+001   0.00000000E+000   7.99905261E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695081E+003   9.83861028E-021   2.45445167E-021  -1.19999997E+001  -3.29787604E-021   0.00000000E+000   1.30104261E-019  -6.98679942E+003  -6.98684737E+003  -1.41650326E+004  -2.04592927E+002  -6.42385191E-002  -5.79993805E-002   3.60529997E-003   1.19968852E+001   0.00000000E+000   8.05297268E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672271E+003   5.21629917E-021  -6.82299928E-022  -1.19999997E+001   1.18701142E-020   8.67361738E-020  -3.46944695E-019  -6.98687392E+003  -6.98692905E+003  -1.41648764E+004  -2.04661881E+002  -7.20017097E-002  -6.57780493E-002   4.07178198E-003   1.19964822E+001   0.00000000E+000   8.10690804E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649302E+003   4.21758715E-023   1.13414734E-021  -1.19999997E+001   9.89675074E-021  -8.67361738E-020   4.33680869E-020  -6.98694895E+003  -6.98701130E+003  -1.41647191E+004  -2.04731316E+002  -7.98190054E-002  -7.36109229E-002   4.54151327E-003   1.19960765E+001   0.00000000E+000   8.16085836E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
