   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.81987016E+003   2.80604353E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.82725667E+003   0.00000000E+000   2.82976100E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.83899521E+003   2.82657839E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84559952E+003   0.00000000E+000   2.84779406E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.87109194E+003   2.85854007E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87796822E+003   0.00000000E+000   2.87991012E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.87165622E+003   2.85910601E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87850281E+003   0.00000000E+000   2.88043912E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.87220674E+003   2.85965830E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87902425E+003   0.00000000E+000   2.88095496E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.87275469E+003   2.86021022E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87954236E+003   0.00000000E+000   2.88146741E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.87329642E+003   2.86075751E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88005435E+003   0.00000000E+000   2.88197366E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.87382317E+003   2.86128926E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88055281E+003   0.00000000E+000   2.88246538E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.87433281E+003   2.86180417E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88103564E+003   0.00000000E+000   2.88294097E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.87482931E+003   2.86230719E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88150539E+003   0.00000000E+000   2.88340287E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.87532044E+003   2.86280833E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88196969E+003   0.00000000E+000   2.88385807E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.87579803E+003   2.86329912E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88242164E+003   0.00000000E+000   2.88429997E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.87627002E+003   2.86378787E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88286911E+003   0.00000000E+000   2.88473630E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.87673543E+003   2.86427500E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88331179E+003   0.00000000E+000   2.88516570E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.87719837E+003   2.86476561E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88375328E+003   0.00000000E+000   2.88559157E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.87765744E+003   2.86525897E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88419285E+003   0.00000000E+000   2.88601327E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.87810632E+003   2.86574874E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88462355E+003   0.00000000E+000   2.88642381E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.87852264E+003   2.86620811E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88502587E+003   0.00000000E+000   2.88680444E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.87892445E+003   2.86665049E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88541154E+003   0.00000000E+000   2.88717280E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.87933276E+003   2.86710284E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88579761E+003   0.00000000E+000   2.88754243E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.87974246E+003   2.86756428E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88617937E+003   0.00000000E+000   2.88790844E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      22   0.00000000E+000   2.88015078E+003   2.86802911E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88655565E+003   0.00000000E+000   2.88826910E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      23   0.00000000E+000   2.88055339E+003   2.86849180E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88692355E+003   0.00000000E+000   2.88862127E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      24   0.00000000E+000   2.88095503E+003   2.86895836E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88728860E+003   0.00000000E+000   2.88896903E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      25   0.00000000E+000   2.88135920E+003   2.86943447E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88765385E+003   0.00000000E+000   2.88931719E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      26   0.00000000E+000   2.88176726E+003   2.86992229E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88802129E+003   0.00000000E+000   2.88966624E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      27   0.00000000E+000   2.88217501E+003   2.87041896E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88838648E+003   0.00000000E+000   2.89001295E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      28   0.00000000E+000   2.88258103E+003   2.87092426E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88874805E+003   0.00000000E+000   2.89035478E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      29   0.00000000E+000   2.88298347E+003   2.87143849E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88910382E+003   0.00000000E+000   2.89069024E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      30   0.00000000E+000   2.88338279E+003   2.87196044E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88945734E+003   0.00000000E+000   2.89101937E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      31   0.00000000E+000   2.88378425E+003   2.87250200E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88981176E+003   0.00000000E+000   2.89134667E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      32   0.00000000E+000   2.88419111E+003   2.87306749E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89017214E+003   0.00000000E+000   2.89167537E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      33   0.00000000E+000   2.88460471E+003   2.87366265E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89053868E+003   0.00000000E+000   2.89200656E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      34   0.00000000E+000   2.88502561E+003   2.87428747E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89091091E+003   0.00000000E+000   2.89233913E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      35   0.00000000E+000   2.88544955E+003   2.87494182E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89128576E+003   0.00000000E+000   2.89266909E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      36   0.00000000E+000   2.88587822E+003   2.87562613E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89166555E+003   0.00000000E+000   2.89299979E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      37   0.00000000E+000   2.88631446E+003   2.87634386E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89205363E+003   0.00000000E+000   2.89333345E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      38   0.00000000E+000   2.88676163E+003   2.87710203E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89245231E+003   0.00000000E+000   2.89367102E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      39   0.00000000E+000   2.88725495E+003   2.87794836E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89285864E+003   0.00000000E+000   2.89403493E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      40   0.00000000E+000   2.88788644E+003   2.87901859E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89331163E+003   0.00000000E+000   2.89445600E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      41   0.00000000E+000   2.88863891E+003   2.88027629E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89381267E+003   0.00000000E+000   2.89492150E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      42   0.00000000E+000   2.88946280E+003   2.88163527E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89433865E+003   0.00000000E+000   2.89541284E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      43   0.00000000E+000   2.89031886E+003   2.88303414E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89487671E+003   0.00000000E+000   2.89591455E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
