   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18849930E+003   3.70690889E-002   2.84782482E+003   2.84778775E+003  -3.95333928E-002  -1.66686753E+002  -1.66647219E+002   2.84778923E+003  -3.80518699E-002   2.84782728E+003   3.55875660E-002  -1.66685271E+002  -1.66649683E+002
       2       1     1.19999997E+001   7.18828185E+003   1.87358624E-002   2.84770370E+003   2.84768497E+003  -1.30960702E-002  -1.66725198E+002  -1.66712102E+002   2.84767033E+003  -2.77373756E-002   2.84769806E+003   3.33771679E-002  -1.66739839E+002  -1.66706462E+002
       3       1     1.19999997E+001   7.18806123E+003   1.35839484E-004   2.84758082E+003   2.84758069E+003   1.37261553E-002  -1.66764205E+002  -1.66777931E+002   2.84754968E+003  -1.72750615E-002   2.84756696E+003   3.11370563E-002  -1.66795206E+002  -1.66764069E+002
       4       1     1.19999997E+001   7.18783901E+003  -1.85991572E-002   2.84745705E+003   2.84747565E+003   4.07431425E-002  -1.66803494E+002  -1.66844237E+002   2.84742817E+003  -6.73676351E-003   2.84743490E+003   2.88807488E-002  -1.66850974E+002  -1.66822093E+002
       5       1     1.19999997E+001   7.18761519E+003  -3.74691153E-002   2.84733238E+003   2.84736985E+003   6.79548735E-002  -1.66843066E+002  -1.66911021E+002   2.84730577E+003   3.87751106E-003   2.84730190E+003   2.66082471E-002  -1.66907144E+002  -1.66880536E+002
       6       1     1.19999997E+001   7.18738977E+003  -5.64740891E-002   2.84720683E+003   2.84726330E+003   9.53614161E-002  -1.66882921E+002  -1.66978283E+002   2.84718251E+003   1.45677904E-002   2.84716794E+003   2.43195366E-002  -1.66963715E+002  -1.66939395E+002
       7       1     1.19999997E+001   7.18716276E+003  -7.56141095E-002   2.84708038E+003   2.84715599E+003   1.22962811E-001  -1.66923059E+002  -1.67046022E+002   2.84705837E+003   2.53340907E-002   2.84703303E+003   2.20146109E-002  -1.67020688E+002  -1.66998673E+002
       8       1     1.19999997E+001   7.18693415E+003  -9.48891491E-002   2.84695304E+003   2.84704793E+003   1.50759018E-001  -1.66963479E+002  -1.67114238E+002   2.84693335E+003   3.61763868E-002   2.84689717E+003   1.96934822E-002  -1.67078062E+002  -1.67058368E+002
       9       1     1.19999997E+001   7.18670395E+003  -1.14299163E-001   2.84682481E+003   2.84693911E+003   1.78749977E-001  -1.67004182E+002  -1.67182932E+002   2.84680746E+003   4.70946498E-002   2.84676036E+003   1.73561640E-002  -1.67135838E+002  -1.67118481E+002
      10       1     1.19999997E+001   7.18647214E+003  -1.33844129E-001   2.84669569E+003   2.84682954E+003   2.06935646E-001  -1.67045168E+002  -1.67252103E+002   2.84668069E+003   5.80888588E-002   2.84662260E+003   1.50026586E-002  -1.67194015E+002  -1.67179012E+002
