   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.80157889E+003   2.80060830E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.80229069E+003   0.00000000E+000   2.80152073E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.82238059E+003   2.82149284E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.82301437E+003   0.00000000E+000   2.82234458E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.85516365E+003   2.85410959E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85573226E+003   0.00000000E+000   2.85506879E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.85572784E+003   2.85464645E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85629820E+003   0.00000000E+000   2.85564199E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.85643165E+003   2.85533465E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85700015E+003   0.00000000E+000   2.85635067E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.85711222E+003   2.85600085E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85767679E+003   0.00000000E+000   2.85703448E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.85778721E+003   2.85666198E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85834707E+003   0.00000000E+000   2.85771344E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.85844832E+003   2.85730894E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85900297E+003   0.00000000E+000   2.85837890E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.85909246E+003   2.85793856E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85964140E+003   0.00000000E+000   2.85902771E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.85972137E+003   2.85855275E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86026430E+003   0.00000000E+000   2.85966164E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.86034441E+003   2.85916091E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86088076E+003   0.00000000E+000   2.86029009E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
