    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850220E+003   1.39414261E-020   1.60404383E-020  -1.19999997E+001  -5.61526389E-021   2.16840434E-020   0.00000000E+000  -6.98628918E+003  -6.98629539E+003  -1.41660948E+004  -2.04123963E+002  -3.59649606E-003  -3.28316206E-003   4.32435978E-004   1.19996259E+001   0.00000000E+000   7.67567985E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828742E+003  -1.50445128E-020   2.42235706E-020  -1.19999997E+001  -3.17968744E-021   4.33680869E-020   4.33680869E-020  -6.98635576E+003  -6.98637587E+003  -1.41659477E+004  -2.04188886E+002  -2.94531723E-003  -8.76832325E-003   8.71327456E-004   1.19992464E+001   0.00000000E+000   7.72936355E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806949E+003   3.79076195E-021  -1.27178606E-020  -1.19999997E+001   1.89019610E-020   2.16840434E-020   0.00000000E+000  -6.98642332E+003  -6.98645752E+003  -1.41657985E+004  -2.04254761E+002  -2.28439785E-003  -1.43346395E-002   1.31666040E-003   1.19988615E+001   0.00000000E+000   7.78304527E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784998E+003  -9.38221338E-021  -2.99034270E-020  -1.19999997E+001  -1.25267405E-020  -2.16840434E-020   0.00000000E+000  -6.98649136E+003  -6.98653977E+003  -1.41656482E+004  -2.04321114E+002  -1.61860387E-003  -1.99413454E-002   1.76521556E-003   1.19984737E+001   0.00000000E+000   7.83674309E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762891E+003   1.61812244E-020   2.84106762E-020  -1.19999997E+001  -1.05631998E-021   0.00000000E+000   0.00000000E+000  -6.98655989E+003  -6.98662260E+003  -1.41654969E+004  -2.04387943E+002  -9.47927968E-004  -2.55884537E-002   2.21699307E-003   1.19980831E+001   0.00000000E+000   7.89045670E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740625E+003  -1.49852453E-020  -1.13626285E-020  -1.19999997E+001   8.79590259E-021   4.33680869E-020  -2.16840434E-020  -6.98662891E+003  -6.98670603E+003  -1.41653444E+004  -2.04455249E+002  -2.72365429E-004  -3.12760072E-002   2.67199559E-003   1.19976898E+001   0.00000000E+000   7.94418611E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718202E+003  -6.62315245E-021   1.08984561E-020  -1.19999997E+001  -5.68041470E-021   4.33680869E-020   8.67361738E-020  -6.98669842E+003  -6.98679005E+003  -1.41651909E+004  -2.04523032E+002   4.08088888E-004  -3.70040398E-002   3.13022506E-003   1.19972937E+001   0.00000000E+000   7.99793121E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695621E+003  -8.45945205E-021   8.79638339E-021  -1.19999997E+001  -1.36247090E-020  -8.67361738E-020   0.00000000E+000  -6.98676842E+003  -6.98687466E+003  -1.41650363E+004  -2.04591293E+002   1.09343724E-003  -4.27725650E-002   3.59168184E-003   1.19968947E+001   0.00000000E+000   8.05169173E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672883E+003  -9.15109912E-021   4.43540242E-020  -1.19999997E+001  -4.16917123E-021   2.16840434E-020  -2.16840434E-020  -6.98683891E+003  -6.98695987E+003  -1.41648806E+004  -2.04660031E+002   1.78368221E-003  -4.85815873E-002   4.05636556E-003   1.19964930E+001   0.00000000E+000   8.10546734E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649987E+003  -1.71716078E-020   1.34310143E-020  -1.19999997E+001   2.09999909E-020  -4.33680869E-020   4.33680869E-020  -6.98690989E+003  -6.98704566E+003  -1.41647238E+004  -2.04729246E+002   2.47882663E-003  -5.44311136E-002   4.52427605E-003   1.19960886E+001   0.00000000E+000   8.15925775E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18626933E+003   1.69391700E-020   2.86569899E-020  -1.19999997E+001  -2.93539516E-020   6.50521303E-020  -4.33680869E-020  -6.98698136E+003  -6.98713205E+003  -1.41645660E+004  -2.04798939E+002   3.17886727E-003  -6.03211650E-002   4.99541480E-003   1.19956813E+001   0.00000000E+000   8.21306284E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18603722E+003   3.53359150E-021  -1.98282637E-020  -1.19999997E+001  -1.16168108E-020   4.33680869E-020   2.16840434E-020  -6.98705332E+003  -6.98721903E+003  -1.41644070E+004  -2.04869109E+002   3.88379924E-003  -6.62517358E-002   5.46978151E-003   1.19952712E+001   0.00000000E+000   8.26688230E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
        13     1.19999997E+001   7.18580352E+003  -1.54179435E-020   4.32845830E-020  -1.19999997E+001  -2.02536931E-020   2.16840434E-020  -2.16840434E-020  -6.98712577E+003  -6.98730660E+003  -1.41642470E+004  -2.04939757E+002   4.59361893E-003  -7.22228384E-002   5.94737721E-003   1.19948584E+001   0.00000000E+000   8.32071597E+014   0.00000000E+000   1.00000000E-014   1.30000000E-013
        14     1.19999997E+001   7.18556825E+003   1.51457597E-020  -2.39515109E-020  -1.19999997E+001  -3.31930002E-021  -2.16840434E-020   0.00000000E+000  -6.98719871E+003  -6.98739477E+003  -1.41640859E+004  -2.05010883E+002   5.30832409E-003  -7.82344938E-002   6.42820332E-003   1.19944428E+001   0.00000000E+000   8.37456376E+014   0.00000000E+000   1.00000000E-014   1.40000000E-013
        15     1.19999997E+001   7.18533140E+003   2.77543911E-021   4.93163013E-021  -1.19999997E+001   2.62629741E-020   6.50521303E-020  -4.33680869E-020  -6.98727213E+003  -6.98748352E+003  -1.41639237E+004  -2.05082487E+002   6.02791636E-003  -8.42867271E-002   6.91226127E-003   1.19940244E+001   0.00000000E+000   8.42842555E+014   0.00000000E+000   1.00000000E-014   1.50000000E-013
        16     1.19999997E+001   7.18509298E+003  -7.86384065E-021  -1.19000684E-020  -1.19999997E+001   1.35166896E-020   0.00000000E+000   0.00000000E+000  -6.98734605E+003  -6.98757287E+003  -1.41637604E+004  -2.05154569E+002   6.75239729E-003  -9.03795516E-002   7.39955230E-003   1.19936032E+001   0.00000000E+000   8.48230116E+014   0.00000000E+000   1.00000000E-014   1.60000000E-013
        17     1.19999997E+001   7.18485297E+003  -4.47798361E-021   9.00129671E-021  -1.19999997E+001  -1.34562020E-020   4.33680869E-020   0.00000000E+000  -6.98742046E+003  -6.98766281E+003  -1.41635961E+004  -2.05227130E+002   7.48176235E-003  -9.65129767E-002   7.89007699E-003   1.19931792E+001   0.00000000E+000   8.53619044E+014   0.00000000E+000   1.00000000E-014   1.70000000E-013
        18     1.19999997E+001   7.18461138E+003  -3.17356114E-021  -6.44934112E-021  -1.19999997E+001   1.24918438E-020   0.00000000E+000   2.16840434E-020  -6.98749536E+003  -6.98775335E+003  -1.41634307E+004  -2.05300168E+002   8.21600020E-003  -1.02686946E-001   8.38383137E-003   1.19927524E+001   0.00000000E+000   8.59009281E+014   0.00000000E+000   1.00000000E-014   1.80000000E-013
        19     1.19999997E+001   7.18436822E+003  -3.28175636E-021  -3.71642737E-020  -1.19999997E+001  -4.87011891E-021   4.33680869E-020   6.50521303E-020  -6.98757075E+003  -6.98784447E+003  -1.41632641E+004  -2.05373684E+002   8.95510484E-003  -1.08901424E-001   8.88081393E-003   1.19923228E+001   0.00000000E+000   8.64400787E+014   0.00000000E+000   1.00000000E-014   1.90000000E-013
        20     1.19999997E+001   7.18412348E+003   1.87600427E-021   8.06422515E-021  -1.19999997E+001   1.72914456E-020   0.00000000E+000   4.33680869E-020  -6.98764663E+003  -6.98793619E+003  -1.41630965E+004  -2.05447677E+002   9.69906392E-003  -1.15156417E-001   9.38102810E-003   1.19918905E+001   0.00000000E+000   8.69793573E+014   0.00000000E+000   1.00000000E-014   2.00000000E-013
        21     1.19999997E+001   7.18387716E+003  -1.01378015E-020   2.11526626E-020  -1.19999997E+001  -2.51911858E-020   0.00000000E+000   0.00000000E+000  -6.98772300E+003  -6.98802850E+003  -1.41629279E+004  -2.05522150E+002   1.04478720E-002  -1.21451935E-001   9.88447651E-003   1.19914553E+001   0.00000000E+000   8.75187641E+014   0.00000000E+000   1.00000000E-014   2.10000000E-013
        22     1.19999997E+001   7.18362926E+003  -9.39743350E-021  -3.54765771E-020  -1.19999997E+001   2.37352136E-020   4.33680869E-020   0.00000000E+000  -6.98779987E+003  -6.98812140E+003  -1.41627581E+004  -2.05597101E+002   1.12015250E-002  -1.27787980E-001   1.03911608E-002   1.19910174E+001   0.00000000E+000   8.80582985E+014   0.00000000E+000   1.00000000E-014   2.20000000E-013
        23     1.19999997E+001   7.18337978E+003  -1.83904584E-020   1.81506174E-020  -1.19999997E+001  -1.29515391E-020   2.16840434E-020   2.16840434E-020  -6.98787722E+003  -6.98821490E+003  -1.41625873E+004  -2.05672530E+002   1.19600163E-002  -1.34164548E-001   1.09010817E-002   1.19905767E+001   0.00000000E+000   8.85979594E+014   0.00000000E+000   1.00000000E-014   2.30000000E-013
        24     1.19999997E+001   7.18312871E+003  -9.93410828E-021  -2.62006977E-020  -1.19999997E+001   5.75988608E-021   4.33680869E-020  -2.16840434E-020  -6.98795507E+003  -6.98830899E+003  -1.41624153E+004  -2.05748439E+002   1.27233470E-002  -1.40581652E-001   1.14142411E-002   1.19901331E+001   0.00000000E+000   8.91377469E+014   0.00000000E+000   1.00000000E-014   2.40000000E-013
