    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
        16     1.19999997E+001   7.18508063E+003   1.61910084E-020  -1.09128284E-020  -1.19999997E+001   1.68646824E-020   0.00000000E+000   4.33680869E-020  -6.98741031E+003  -6.98751707E+003  -1.41637520E+004  -2.05158301E+002  -1.27743233E-001  -1.21460095E-001   7.43002005E-003   1.19935813E+001   0.00000000E+000   8.48507212E+014   0.00000000E+000   1.00000000E-014   1.60000000E-013
        17     1.19999997E+001   7.18483978E+003  -1.62123419E-020  -1.86767043E-021  -1.19999997E+001  -6.74134880E-021   8.67361738E-020   0.00000000E+000  -6.98748899E+003  -6.98760332E+003  -1.41635871E+004  -2.05231117E+002  -1.35932660E-001  -1.29650395E-001   7.92261620E-003   1.19931559E+001   0.00000000E+000   8.53913150E+014   0.00000000E+000   1.00000000E-014   1.70000000E-013
        18     1.19999997E+001   7.18459734E+003   7.20161019E-021   3.07245692E-020  -1.19999997E+001  -8.45013851E-021  -1.73472348E-019   0.00000000E+000  -6.98756818E+003  -6.98769014E+003  -1.41634210E+004  -2.05304412E+002  -1.44176183E-001  -1.37894294E-001   8.41845761E-003   1.19927276E+001   0.00000000E+000   8.59320324E+014   0.00000000E+000   1.00000000E-014   1.80000000E-013
        19     1.19999997E+001   7.18435333E+003   1.54753938E-020  -9.46689600E-021  -1.19999997E+001  -1.42083263E-020   4.33680869E-020  -1.30104261E-019  -6.98764789E+003  -6.98777753E+003  -1.41632539E+004  -2.05378187E+002  -1.52473761E-001  -1.46191714E-001   8.91754172E-003   1.19922965E+001   0.00000000E+000   8.64728690E+014   0.00000000E+000   1.00000000E-014   1.90000000E-013
        20     1.19999997E+001   7.18410773E+003  -9.25131205E-021  -1.88090325E-020  -1.19999997E+001   9.10181466E-021   8.67361738E-020  -1.73472348E-019  -6.98772812E+003  -6.98786549E+003  -1.41630858E+004  -2.05452441E+002  -1.60825419E-001  -1.54542633E-001   9.41986944E-003   1.19918626E+001   0.00000000E+000   8.70138239E+014   0.00000000E+000   1.00000000E-014   2.00000000E-013
        21     1.19999997E+001   7.18386054E+003  -1.99418873E-020   8.54423806E-021  -1.19999997E+001   4.39867249E-021   0.00000000E+000   0.00000000E+000  -6.98780887E+003  -6.98795402E+003  -1.41629165E+004  -2.05527175E+002  -1.69231169E-001  -1.62947057E-001   9.92544141E-003   1.19914260E+001   0.00000000E+000   8.75548954E+014   0.00000000E+000   1.00000000E-014   2.10000000E-013
        22     1.19999997E+001   7.18361177E+003   1.21925905E-021  -2.38144885E-020  -1.19999997E+001   7.97258388E-021   1.30104261E-019  -4.33680869E-020  -6.98789013E+003  -6.98804312E+003  -1.41627461E+004  -2.05602388E+002  -1.77691014E-001  -1.71404989E-001   1.04342578E-002   1.19909865E+001   0.00000000E+000   8.80960817E+014   0.00000000E+000   1.00000000E-014   2.20000000E-013
        23     1.19999997E+001   7.18336142E+003  -1.61738186E-020  -3.03521311E-020  -1.19999997E+001  -6.67752406E-021   0.00000000E+000   0.00000000E+000  -6.98797191E+003  -6.98813278E+003  -1.41625747E+004  -2.05678081E+002  -1.86204951E-001  -1.79916430E-001   1.09463180E-002   1.19905442E+001   0.00000000E+000   8.86373803E+014   0.00000000E+000   1.00000000E-014   2.30000000E-013
        24     1.19999997E+001   7.18310949E+003  -1.28784422E-020  -1.49636249E-020  -1.19999997E+001  -1.27918622E-020   0.00000000E+000   8.67361738E-020  -6.98805421E+003  -6.98822302E+003  -1.41624021E+004  -2.05754253E+002  -1.94772989E-001  -1.88481412E-001   1.14616228E-002   1.19900992E+001   0.00000000E+000   8.91787904E+014   0.00000000E+000   1.00000000E-014   2.40000000E-013
        25     1.19999997E+001   7.18285597E+003  -1.15203822E-020  -1.33593598E-020  -1.19999997E+001   1.15540329E-020   3.46944695E-019   1.30104261E-019  -6.98813702E+003  -6.98831382E+003  -1.41622285E+004  -2.05830905E+002  -2.03395135E-001  -1.97099986E-001   1.19801732E-002   1.19896513E+001   0.00000000E+000   8.97203111E+014   0.00000000E+000   1.00000000E-014   2.50000000E-013
