   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996226E+001   1.00002270E+000   4.38067863E-004   1.19999997E+001   0.00000000E+000   3.49400786E-021   1.29277128E-020  -1.19999997E+001  -3.36466664E-021   1.50583635E-019  -7.52918175E-020   1.15839600E-004   1.35570815E-004  -2.51410415E-004   1.25704712E-004   4.34396335E-006  -2.53878911E-005
       2       1     1.19992402E+001   1.00002270E+000   8.82333794E-004   1.19999997E+001   0.00000000E+000  -5.99335257E-021   2.24416721E-020  -1.19999997E+001  -9.47308491E-022   3.76459088E-020  -3.76459088E-020   2.33318639E-004   2.73060308E-004  -5.06378947E-004   2.53188477E-004   8.74957848E-006  -5.11250390E-005
       3       1     1.19988521E+001   1.00002270E+000   1.33309088E-003   1.19999997E+001   0.00000000E+000  -1.41545179E-021   1.56556676E-020  -1.19999997E+001  -3.91333216E-021   3.76459088E-020   7.52918175E-020   3.52513801E-004   4.12558914E-004  -7.65072714E-004   3.82534851E-004   1.32212436E-005  -7.72388371E-005
       4       1     1.19984613E+001   1.00002270E+000   1.78715843E-003   1.19999997E+001   0.00000000E+000  -5.72475223E-021   1.11097285E-020  -1.19999997E+001   5.46882161E-021   7.52918175E-020   3.76459088E-020   4.72584583E-004   5.53081852E-004  -1.02566644E-003   5.12831199E-004   1.77261842E-005  -1.03543970E-004
       5       1     1.19980675E+001   1.00002270E+000   2.24453543E-003   1.19999997E+001   0.00000000E+000   1.31297644E-021  -7.08086709E-021  -1.19999997E+001   1.75891664E-021   3.76459088E-020  -7.52918175E-020   5.93530731E-004   6.94628799E-004  -1.28815953E-003   6.44077230E-004   2.22643869E-005  -1.30040292E-004
       6       1     1.19976710E+001   1.00002270E+000   2.70521542E-003   1.19999997E+001   0.00000000E+000   9.40202601E-021   8.28377045E-021  -1.19999997E+001  -5.76822499E-021  -3.76459088E-020  -7.52918175E-020   7.15350437E-004   8.37197838E-004  -1.55254828E-003   7.76271082E-004   2.68358064E-005  -1.56727654E-004
       7       1     1.19972716E+001   1.00002270E+000   3.16919276E-003   1.19999997E+001   0.00000000E+000  -4.88102167E-021   2.54490876E-021  -1.19999997E+001   9.61169107E-021  -1.12937726E-019   3.76459088E-020   8.38042249E-004   9.80787184E-004  -1.81882943E-003   9.09411137E-004   3.14404327E-005  -1.83605735E-004
       8       1     1.19968694E+001   1.00002270E+000   3.63646548E-003   1.19999997E+001   0.00000000E+000   1.36283010E-020  -1.09107421E-020  -1.19999997E+001   3.45899000E-021   0.00000000E+000  -7.52918175E-020   9.61605592E-004   1.12539625E-003  -2.08700184E-003   1.04349681E-003   3.60783027E-005  -2.10674606E-004
       9       1     1.19964643E+001   1.00002270E+000   4.10703595E-003   1.19999997E+001   0.00000000E+000   3.67864254E-021   6.10632250E-021  -1.19999997E+001   9.23323754E-021  -3.76459088E-020   3.76459088E-020   1.08604119E-003   1.27102569E-003  -2.35706688E-003   1.17852880E-003   4.07494370E-005  -2.37934313E-004
      10       1     1.19960564E+001   1.00002270E+000   4.58090597E-003   1.19999997E+001   0.00000000E+000   1.67437655E-021  -1.94216057E-020  -1.19999997E+001  -4.68408075E-021   7.52918175E-020  -7.52918175E-020   1.21134947E-003   1.41767610E-003  -2.62902557E-003   1.31450761E-003   4.54539513E-005  -2.65385094E-004
      11       1     1.19956457E+001   1.00002270E+000   5.05807708E-003   1.19999997E+001   0.00000000E+000  -6.38339120E-021  -6.93542835E-021  -1.19999997E+001  -5.51975666E-021   0.00000000E+000  -3.76459088E-020   1.33753086E-003   1.56534794E-003  -2.90287880E-003   1.45143369E-003   5.01918719E-005  -2.93026953E-004
      12       1     1.19952321E+001   1.00002270E+000   5.53855650E-003   1.19999997E+001   0.00000000E+000  -8.69436294E-021  -3.37833092E-020  -1.19999997E+001   1.13613473E-021   1.12937726E-019   1.12937726E-019   1.46458731E-003   1.71404342E-003  -3.17863072E-003   1.58930911E-003   5.49633492E-005  -3.20860150E-004
      13       1     1.19948157E+001   1.00002270E+000   6.02234137E-003   1.19999997E+001   0.00000000E+000   4.88932763E-021   1.18221486E-020  -1.19999997E+001   8.09099500E-022  -1.50583635E-019  -7.52918175E-020   1.59251805E-003   1.86376164E-003  -3.45627970E-003   1.72813305E-003   5.97683515E-005  -3.48884648E-004
