   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996230E+001   1.00002270E+000   4.35293905E-004   1.19999997E+001   0.00000000E+000  -2.64458599E-021   2.61116129E-020  -1.19999997E+001  -5.19794517E-021   2.35286930E-020  -3.29401702E-020   1.25619188E-004   1.25550996E-004  -2.51170183E-004   1.25585221E-004  -8.46747970E-006   1.43822413E-006
       2       1     1.19992409E+001   1.00002270E+000   8.76792279E-004   1.19999997E+001   0.00000000E+000  -1.12475022E-020   6.08508818E-021  -1.19999997E+001   3.58287020E-021  -9.41147719E-021  -1.41172158E-020   2.53026390E-004   2.52894158E-004  -5.05920548E-004   2.52960534E-004  -1.70517809E-005   2.89830707E-006
       3       1     1.19988532E+001   1.00002270E+000   1.32473667E-003   1.19999997E+001   0.00000000E+000  -2.09473438E-021   1.94429629E-021  -1.19999997E+001  -1.00674235E-020  -5.17631246E-020   1.41172158E-020   3.82296692E-004   3.82093639E-004  -7.64390331E-004   3.82195558E-004  -2.57617137E-005   4.38068106E-006
       4       1     1.19984626E+001   1.00002270E+000   1.77596485E-003   1.19999997E+001   0.00000000E+000   2.19188726E-021   1.76508841E-020  -1.19999997E+001  -9.30429757E-021  -9.41147719E-021   1.41172158E-020   5.12515137E-004   5.12239772E-004  -1.02475491E-003   5.12377981E-004  -3.45354665E-005   5.87426978E-006
       5       1     1.19980693E+001   1.00002270E+000   2.23047654E-003   1.19999997E+001   0.00000000E+000  -7.35601953E-021   4.58535940E-021  -1.19999997E+001   1.87817502E-021   2.82344316E-020   0.00000000E+000   6.43681620E-004   6.43332488E-004  -1.28701411E-003   6.43507715E-004  -4.33729909E-005   7.37907657E-006
       6       1     1.19976731E+001   1.00002270E+000   2.68826558E-003   1.19999997E+001   0.00000000E+000  -6.24647019E-021   4.82221525E-020  -1.19999997E+001   8.39044407E-021  -1.88229544E-020   4.70573860E-021   7.75794375E-004   7.75370011E-004  -1.55116439E-003   7.75582990E-004  -5.22742268E-005   8.89508382E-006
       7       1     1.19972740E+001   1.00002270E+000   3.14932732E-003   1.19999997E+001   0.00000000E+000   4.30670652E-021   1.19277003E-021  -1.19999997E+001  -5.05905404E-022   4.70573860E-021   2.35286930E-020   9.08852023E-004   9.08351026E-004  -1.81720305E-003   9.08602458E-004  -6.12390417E-005   1.04222436E-005
       8       1     1.19968722E+001   1.00002270E+000   3.61365989E-003   1.19999997E+001   0.00000000E+000   5.68589736E-021  -1.82378426E-020  -1.19999997E+001   1.04010165E-020  -9.41147719E-021   9.41147719E-021   1.04285401E-003   1.04227501E-003  -2.08512902E-003   1.04256558E-003  -7.02674719E-005   1.19605751E-005
       9       1     1.19964675E+001   1.00002270E+000   4.08126316E-003   1.19999997E+001   0.00000000E+000  -1.32199097E-020   4.94657327E-021  -1.19999997E+001  -9.87718926E-022  -2.82344316E-020   1.41172158E-020   1.17780046E-003   1.17714177E-003  -2.35494223E-003   1.17747232E-003  -7.93595162E-005   1.35100797E-005
      10       1     1.19960600E+001   1.00002270E+000   4.55214108E-003   1.19999997E+001   0.00000000E+000  -1.77915636E-021  -1.89170219E-020  -1.19999997E+001   1.09082469E-020   0.00000000E+000  -1.41172158E-020   1.31369239E-003   1.31295257E-003  -2.62664496E-003   1.31332383E-003  -8.85152023E-005   1.50707240E-005
      11       1     1.19956496E+001   1.00002270E+000   5.02629496E-003   1.19999997E+001   0.00000000E+000   7.72430160E-023   1.02399862E-020  -1.19999997E+001  -3.64983572E-022  -4.70573860E-021   5.17631246E-020   1.45053021E-003   1.44970774E-003  -2.90023795E-003   1.45012046E-003  -9.77345494E-005   1.66425541E-005
      12       1     1.19952365E+001   1.00002270E+000   5.50373128E-003   1.19999997E+001   0.00000000E+000   6.95448330E-021   5.22792160E-021  -1.19999997E+001  -2.99093197E-021  -1.41172158E-020   0.00000000E+000   1.58831586E-003   1.58740909E-003  -3.17572496E-003   1.58786411E-003  -1.07017612E-004   1.82255344E-005
      13       1     1.19948204E+001   1.00002270E+000   5.98444705E-003   1.19999997E+001   0.00000000E+000  -1.51889424E-021   3.72106965E-021  -1.19999997E+001   1.78691454E-021  -1.41172158E-020   1.88229544E-020   1.72704849E-003   1.72605576E-003  -3.45310425E-003   1.72655390E-003  -1.16364385E-004   1.98196555E-005
      14       1     1.19944016E+001   1.00002270E+000   6.46844259E-003   1.19999997E+001   0.00000000E+000  -2.00879860E-021   5.35071688E-021  -1.19999997E+001  -4.02046263E-021   2.35286930E-020  -9.41147719E-021   1.86672820E-003   1.86564782E-003  -3.73237602E-003   1.86618993E-003  -1.25774845E-004   2.14249013E-005
      15       1     1.19939799E+001   1.00002270E+000   6.95571821E-003   1.19999997E+001   0.00000000E+000   2.00847997E-021   5.53841220E-022  -1.19999997E+001  -5.60556678E-021  -4.70573860E-021   3.76459088E-020   2.00735508E-003   2.00618535E-003  -4.01354043E-003   2.00677228E-003  -1.35249029E-004   2.30412794E-005
      16       1     1.19935554E+001   1.00002270E+000   7.44627491E-003   1.19999997E+001   0.00000000E+000   9.78866293E-022  -8.37253350E-021  -1.19999997E+001  -1.57456536E-020  -2.35286930E-020   2.82344316E-020   2.14892944E-003   2.14766864E-003  -4.29659807E-003   2.14830124E-003  -1.44786918E-004   2.46687749E-005
      17       1     1.19931281E+001   1.00002270E+000   7.94011029E-003   1.19999997E+001   0.00000000E+000   1.38421800E-020  -1.31775544E-020  -1.19999997E+001   1.93724156E-021   1.41172158E-020   9.41147719E-021   2.29145054E-003   2.29009702E-003  -4.58154756E-003   2.29077613E-003  -1.54388503E-004   2.63073456E-005
      18       1     1.19926979E+001   1.00002270E+000   8.43722511E-003   1.19999997E+001   0.00000000E+000   1.10757474E-021  -3.50846018E-020  -1.19999997E+001   5.93368804E-021   2.82344316E-020  -1.41172158E-020   2.43491858E-003   2.43347075E-003  -4.86838932E-003   2.43419716E-003  -1.64053776E-004   2.79569779E-005
      19       1     1.19922649E+001   1.00002270E+000   8.93761925E-003   1.19999997E+001   0.00000000E+000  -5.73634098E-021   2.00378983E-020  -1.19999997E+001  -6.86178002E-021  -5.64688632E-020  -3.29401702E-020   2.57933354E-003   2.57778976E-003  -5.15712330E-003   2.57856430E-003  -1.73782764E-004   2.96176629E-005
      20       1     1.19918290E+001   1.00002270E+000   9.44129388E-003   1.19999997E+001   0.00000000E+000  -4.31180909E-021   8.58097565E-021  -1.19999997E+001  -9.15577575E-021  -2.82344316E-020   1.41172158E-020   2.72469573E-003   2.72305443E-003  -5.44775016E-003   2.72387788E-003  -1.83575464E-004   3.12893935E-005
      21       1     1.19913904E+001   1.00002270E+000   9.94824311E-003   1.19999997E+001   0.00000000E+000   1.25527171E-020  -2.49113843E-020  -1.19999997E+001   1.17714483E-020   2.82344316E-020  -2.35286930E-020   2.87100345E-003   2.86926306E-003  -5.74026651E-003   2.87013621E-003  -1.93431763E-004   3.29721342E-005
