    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850152E+003  -3.08934381E-021  -2.04014586E-020  -1.19999997E+001   7.39643707E-021  -2.16840434E-020  -1.30104261E-019  -6.98629295E+003  -6.98629209E+003  -1.41660943E+004  -2.04124168E+002  -1.14758493E-002  -5.09560526E-003   4.34125777E-004   1.19996247E+001   0.00000000E+000   7.67584963E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828610E+003  -3.18380138E-021   9.83040052E-021  -1.19999997E+001  -6.03865112E-021   4.33680869E-020  -8.67361738E-020  -6.98636332E+003  -6.98636920E+003  -1.41659468E+004  -2.04189282E+002  -1.88157291E-002  -1.24170924E-002   8.74625627E-004   1.19992441E+001   0.00000000E+000   7.72969010E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806752E+003  -1.57147773E-020  -2.54330121E-020  -1.19999997E+001  -1.01784212E-020   8.67361738E-020   2.16840434E-020  -6.98643473E+003  -6.98644745E+003  -1.41657972E+004  -2.04255355E+002  -2.62642268E-002  -1.98456029E-002   1.32160761E-003   1.19988580E+001   0.00000000E+000   7.78352915E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784736E+003  -4.10201968E-021  -3.87559966E-020  -1.19999997E+001  -9.56503063E-021  -4.33680869E-020   6.50521303E-020  -6.98650666E+003  -6.98652627E+003  -1.41656464E+004  -2.04321908E+002  -3.37671640E-002  -2.73277894E-002   1.77183845E-003   1.19984690E+001   0.00000000E+000   7.83738503E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762560E+003  -5.39175969E-021  -2.16172486E-020  -1.19999997E+001  -3.54373997E-021  -1.73472348E-019  -1.30104261E-019  -6.98657910E+003  -6.98660566E+003  -1.41654946E+004  -2.04388941E+002  -4.13245304E-002  -3.48636489E-002   2.22531826E-003   1.19980773E+001   0.00000000E+000   7.89125742E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740226E+003   2.43061853E-023  -3.18766043E-020  -1.19999997E+001  -5.61242046E-023   2.81892565E-019  -2.16840434E-020  -6.98665207E+003  -6.98668561E+003  -1.41653417E+004  -2.04456455E+002  -4.89363421E-002  -4.24532146E-002   2.68204933E-003   1.19976827E+001   0.00000000E+000   7.94514624E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18717733E+003  -1.86628903E-020  -1.68857135E-020  -1.19999997E+001   1.90790035E-020  -6.50521303E-020   0.00000000E+000  -6.98672555E+003  -6.98676614E+003  -1.41651877E+004  -2.04524450E+002  -5.66026040E-002  -5.00965076E-002   3.14203325E-003   1.19972854E+001   0.00000000E+000   7.99905133E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695081E+003   1.15586910E-020  -2.41784893E-021  -1.19999997E+001  -9.89413995E-021   1.95156391E-019   0.00000000E+000  -6.98679956E+003  -6.98684723E+003  -1.41650326E+004  -2.04592926E+002  -6.43232974E-002  -5.77935179E-002   3.60526986E-003   1.19968852E+001   0.00000000E+000   8.05297234E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672271E+003  -1.16479438E-020   5.10734397E-021  -1.19999997E+001   6.64243609E-021  -1.73472348E-019   1.08420217E-019  -6.98687408E+003  -6.98692890E+003  -1.41648764E+004  -2.04661882E+002  -7.20983908E-002  -6.55442227E-002   4.07175836E-003   1.19964822E+001   0.00000000E+000   8.10690887E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649301E+003  -5.38564501E-021  -5.34511704E-021  -1.19999997E+001  -2.03645353E-020   1.51788304E-019   0.00000000E+000  -6.98694913E+003  -6.98701113E+003  -1.41647191E+004  -2.04731319E+002  -7.99278574E-002  -7.33486085E-002   4.54149821E-003   1.19960765E+001   0.00000000E+000   8.16086059E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18626173E+003  -7.68972430E-021  -1.86027750E-020  -1.19999997E+001   8.28020201E-021  -8.67361738E-020   8.67361738E-020  -6.98702469E+003  -6.98709393E+003  -1.41645608E+004  -2.04801236E+002  -8.78116878E-002  -8.12066762E-002   5.01449028E-003   1.19956679E+001   0.00000000E+000   8.21482729E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18602886E+003   6.97719609E-021   9.53499364E-021  -1.19999997E+001  -7.21238422E-021   8.67361738E-020   1.08420217E-019  -6.98710077E+003  -6.98717730E+003  -1.41644013E+004  -2.04871635E+002  -9.57498358E-002  -8.91183911E-002   5.49073376E-003   1.19952565E+001   0.00000000E+000   8.26880858E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
        13     1.19999997E+001   7.18579441E+003   7.42668086E-021  -1.11180519E-020  -1.19999997E+001  -9.53023218E-021  -2.16840434E-020  -6.50521303E-020  -6.98717738E+003  -6.98726124E+003  -1.41642408E+004  -2.04942514E+002  -1.03742273E-001  -9.70837450E-002   5.97022905E-003   1.19948423E+001   0.00000000E+000   8.32280424E+014   0.00000000E+000   1.00000000E-014   1.30000000E-013
        14     1.19999997E+001   7.18555836E+003  -2.76179063E-021   4.43250935E-021  -1.19999997E+001  -2.66437977E-021  -8.67361738E-020  -6.50521303E-020  -6.98725450E+003  -6.98734574E+003  -1.41640791E+004  -2.05013873E+002  -1.11788980E-001  -1.05102746E-001   6.45297683E-003   1.19944253E+001   0.00000000E+000   8.37681409E+014   0.00000000E+000   1.00000000E-014   1.40000000E-013
        15     1.19999997E+001   7.18532073E+003  -1.30471566E-020   5.42576715E-021  -1.19999997E+001   1.65844026E-020  -8.67361738E-020  -4.33680869E-020  -6.98733215E+003  -6.98743082E+003  -1.41639164E+004  -2.05085714E+002  -1.19889946E-001  -1.13175404E-001   6.93897806E-003   1.19940055E+001   0.00000000E+000   8.43083796E+014   0.00000000E+000   1.00000000E-014   1.50000000E-013
        16     1.19999997E+001   7.18508151E+003   8.52279857E-021   9.06486554E-021  -1.19999997E+001   8.54740203E-021   3.46944695E-019   4.33680869E-020  -6.98741031E+003  -6.98751647E+003  -1.41637526E+004  -2.05158036E+002  -1.28045152E-001  -1.21301726E-001   7.42823350E-003   1.19935829E+001   0.00000000E+000   8.48487565E+014   0.00000000E+000   1.00000000E-014   1.60000000E-013
        17     1.19999997E+001   7.18484070E+003  -1.11594497E-020  -1.40268118E-020  -1.19999997E+001  -6.96002175E-021  -1.73472348E-019  -8.67361738E-020  -6.98748900E+003  -6.98760268E+003  -1.41635877E+004  -2.05230839E+002  -1.36254555E-001  -1.29481704E-001   7.92074278E-003   1.19931575E+001   0.00000000E+000   8.53892688E+014   0.00000000E+000   1.00000000E-014   1.70000000E-013
        18     1.19999997E+001   7.18459831E+003   7.75799255E-021   2.72035715E-020  -1.19999997E+001   1.25615958E-020  -8.67361738E-020  -2.16840434E-020  -6.98756820E+003  -6.98768947E+003  -1.41634217E+004  -2.05304122E+002  -1.44518056E-001  -1.37715256E-001   8.41650112E-003   1.19927293E+001   0.00000000E+000   8.59299100E+014   0.00000000E+000   1.00000000E-014   1.80000000E-013
