   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850152E+003   5.32284556E-002   2.84783107E+003   2.84777784E+003  -5.97084641E-002  -1.66697313E+002  -1.66637605E+002   2.84778742E+003  -5.01320070E-002   2.84783755E+003   4.36519985E-002  -1.66687737E+002  -1.66644085E+002
       2       1     1.19999997E+001   7.18828610E+003   5.12697696E-002   2.84771619E+003   2.84766492E+003  -5.37105707E-002  -1.66746507E+002  -1.66692796E+002   2.84766656E+003  -5.20670409E-002   2.84771863E+003   4.96262398E-002  -1.66744863E+002  -1.66695237E+002
       3       1     1.19999997E+001   7.18806752E+003   4.92818451E-002   2.84759961E+003   2.84755033E+003  -4.76236950E-002  -1.66796424E+002  -1.66748800E+002   2.84754392E+003  -5.40294364E-002   2.84759795E+003   5.56875865E-002  -1.66802830E+002  -1.66747142E+002
       4       1     1.19999997E+001   7.18784736E+003   4.72793430E-002   2.84748219E+003   2.84743491E+003  -4.14922274E-002  -1.66846704E+002  -1.66805212E+002   2.84742039E+003  -5.60055102E-002   2.84747640E+003   6.17926259E-002  -1.66861217E+002  -1.66799424E+002
       5       1     1.19999997E+001   7.18762560E+003   4.52622633E-002   2.84736392E+003   2.84731865E+003  -3.53161774E-002  -1.66897346E+002  -1.66862030E+002   2.84729597E+003  -5.79952708E-002   2.84735397E+003   6.79413566E-002  -1.66920026E+002  -1.66852084E+002
       6       1     1.19999997E+001   7.18740226E+003   4.32305948E-002   2.84724480E+003   2.84720157E+003  -2.90955348E-002  -1.66948352E+002  -1.66919257E+002   2.84717066E+003  -5.99987486E-002   2.84723066E+003   7.41338087E-002  -1.66979255E+002  -1.66905122E+002
       7       1     1.19999997E+001   7.18717733E+003   4.11843294E-002   2.84712483E+003   2.84708364E+003  -2.28302982E-002  -1.66999721E+002  -1.66976891E+002   2.84704446E+003  -6.20159710E-002   2.84710647E+003   8.03700021E-002  -1.67038907E+002  -1.66958537E+002
       8       1     1.19999997E+001   7.18695081E+003   3.91234668E-002   2.84700401E+003   2.84696489E+003  -1.65204844E-002  -1.67051453E+002  -1.67034933E+002   2.84691736E+003  -6.40469480E-002   2.84698141E+003   8.66499304E-002  -1.67098980E+002  -1.67012330E+002
       9       1     1.19999997E+001   7.18672271E+003   3.70480117E-002   2.84688235E+003   2.84684530E+003  -1.01661206E-002  -1.67103549E+002  -1.67093383E+002   2.84678937E+003  -6.60916848E-002   2.84685547E+003   9.29735759E-002  -1.67159474E+002  -1.67066501E+002
      10       1     1.19999997E+001   7.18649301E+003   3.49579701E-002   2.84675983E+003   2.84672488E+003  -3.76723111E-003  -1.67156007E+002  -1.67152240E+002   2.84666049E+003  -6.81501913E-002   2.84672864E+003   9.93409304E-002  -1.67220390E+002  -1.67121049E+002
      11       1     1.19999997E+001   7.18626173E+003   3.28533360E-002   2.84663647E+003   2.84660362E+003   2.67617488E-003  -1.67208829E+002  -1.67211505E+002   2.84653072E+003  -7.02224851E-002   2.84660094E+003   1.05751996E-001  -1.67281727E+002  -1.67175975E+002
      12       1     1.19999997E+001   7.18602886E+003   3.07341203E-002   2.84651226E+003   2.84648153E+003   9.16405764E-003  -1.67262013E+002  -1.67271177E+002   2.84640006E+003  -7.23085684E-002   2.84647237E+003   1.12206746E-001  -1.67343486E+002  -1.67231279E+002
      13       1     1.19999997E+001   7.18579441E+003   2.86003269E-002   2.84638721E+003   2.84635861E+003   1.56963905E-002  -1.67315561E+002  -1.67331258E+002   2.84626850E+003  -7.44084610E-002   2.84634291E+003   1.18705178E-001  -1.67405666E+002  -1.67286961E+002
      14       1     1.19999997E+001   7.18555836E+003   2.64519556E-002   2.84626130E+003   2.84623485E+003   2.22731536E-002  -1.67369472E+002  -1.67391745E+002   2.84613605E+003  -7.65221935E-002   2.84621258E+003   1.25247303E-001  -1.67468268E+002  -1.67343020E+002
      15       1     1.19999997E+001   7.18532073E+003   2.42890024E-002   2.84613455E+003   2.84611026E+003   2.88943335E-002  -1.67423747E+002  -1.67452641E+002   2.84600271E+003  -7.86497961E-002   2.84608136E+003   1.31833132E-001  -1.67531291E+002  -1.67399458E+002
      16       1     1.19999997E+001   7.18508151E+003   2.21114619E-002   2.84600694E+003   2.84598483E+003   3.55599102E-002  -1.67478385E+002  -1.67513945E+002   2.84586848E+003  -8.07913040E-002   2.84594927E+003   1.38462676E-001  -1.67594736E+002  -1.67456273E+002
      17       1     1.19999997E+001   7.18484070E+003   1.99193372E-002   2.84587849E+003   2.84585857E+003   4.22698440E-002  -1.67533386E+002  -1.67575656E+002   2.84573336E+003  -8.29467527E-002   2.84581630E+003   1.45135934E-001  -1.67658603E+002  -1.67513467E+002
