   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996247E+001   1.00002270E+000   4.34125777E-004   1.19999997E+001   0.00000000E+000  -3.08934381E-021  -2.04014586E-020  -1.19999997E+001   7.39643707E-021  -2.16840434E-020  -1.30104261E-019   1.19629016E-004   1.30404841E-004  -2.50033857E-004   1.25016869E-004   1.17611873E-005   1.17243426E-005
       2       1     1.19992441E+001   1.00002270E+000   8.74625627E-004   1.19999997E+001   0.00000000E+000  -3.18380138E-021   9.83040052E-021  -1.19999997E+001  -6.03865112E-021   4.33680869E-020  -8.67361738E-020   2.41000832E-004   2.62737897E-004  -5.03738729E-004   2.51869244E-004   2.36914345E-005   2.36207627E-005
       3       1     1.19988580E+001   1.00002270E+000   1.32160761E-003   1.19999997E+001   0.00000000E+000  -1.57147773E-020  -2.54330121E-020  -1.19999997E+001  -1.01784212E-020   8.67361738E-020   2.16840434E-020   3.64159678E-004   3.97017320E-004  -7.61176998E-004   3.80588316E-004   3.57983627E-005   3.56909472E-005
       4       1     1.19984690E+001   1.00002270E+000   1.77183845E-003   1.19999997E+001   0.00000000E+000  -4.10201968E-021  -3.87559966E-020  -1.19999997E+001  -9.56503063E-021  -4.33680869E-020   6.50521303E-020   4.88214346E-004   5.32272108E-004  -1.02048645E-003   5.10242983E-004   4.79938402E-005   4.78482846E-005
       5       1     1.19980773E+001   1.00002270E+000   2.22531826E-003   1.19999997E+001   0.00000000E+000  -5.39175969E-021  -2.16172486E-020  -1.19999997E+001  -3.54373997E-021  -1.73472348E-019  -1.30104261E-019   6.13164860E-004   6.68502309E-004  -1.28166717E-003   6.40833277E-004   6.02778496E-005   6.00927706E-005
       6       1     1.19976827E+001   1.00002270E+000   2.68204933E-003   1.19999997E+001   0.00000000E+000   2.43061853E-023  -3.18766043E-020  -1.19999997E+001  -5.61242046E-023   2.81892565E-019  -2.16840434E-020   7.39011815E-004   8.05708636E-004  -1.54472045E-003   7.72359855E-004   7.26504153E-005   7.24244606E-005
       7       1     1.19972854E+001   1.00002270E+000   3.14203325E-003   1.19999997E+001   0.00000000E+000  -1.86628903E-020  -1.68857135E-020  -1.19999997E+001   1.90790035E-020  -6.50521303E-020   0.00000000E+000   8.65755624E-004   9.43891602E-004  -1.80964723E-003   9.04823179E-004   8.51115436E-005   8.48433909E-005
       8       1     1.19968852E+001   1.00002270E+000   3.60526986E-003   1.19999997E+001   0.00000000E+000   1.15586910E-020  -2.41784893E-021  -1.19999997E+001  -9.89413995E-021   1.95156391E-019   0.00000000E+000   9.93396228E-004   1.08305118E-003  -2.07644740E-003   1.03822320E-003   9.76612033E-005   9.73495462E-005
       9       1     1.19964822E+001   1.00002270E+000   4.07175836E-003   1.19999997E+001   0.00000000E+000  -1.16479438E-020   5.10734397E-021  -1.19999997E+001   6.64243609E-021  -1.73472348E-019   1.08420217E-019   1.12193339E-003   1.22318712E-003  -2.34512052E-003   1.17255970E-003   1.10299342E-004   1.09942890E-004
      10       1     1.19960765E+001   1.00002270E+000   4.54149821E-003   1.19999997E+001   0.00000000E+000  -5.38564501E-021  -5.34511704E-021  -1.19999997E+001  -2.03645353E-020   1.51788304E-019   0.00000000E+000   1.25136696E-003   1.36429930E-003  -2.61566626E-003   1.30783250E-003   1.23025916E-004   1.22623402E-004
      11       1     1.19956679E+001   1.00002270E+000   5.01449028E-003   1.19999997E+001   0.00000000E+000  -7.68972430E-021  -1.86027750E-020  -1.19999997E+001   8.28020201E-021  -8.67361738E-020   8.67361738E-020   1.38169715E-003   1.50638800E-003  -2.88808515E-003   1.44404188E-003   1.35840907E-004   1.35391084E-004
      12       1     1.19952565E+001   1.00002270E+000   5.49073376E-003   1.19999997E+001   0.00000000E+000   6.97719609E-021   9.53499364E-021  -1.19999997E+001  -7.21238422E-021   8.67361738E-020   1.08420217E-019   1.51292374E-003   1.64945296E-003  -3.16237670E-003   1.58118759E-003   1.48744240E-004   1.48245882E-004
      13       1     1.19948423E+001   1.00002270E+000   5.97022905E-003   1.19999997E+001   0.00000000E+000   7.42668086E-021  -1.11180519E-020  -1.19999997E+001  -9.53023218E-021  -2.16840434E-020  -6.50521303E-020   1.64504683E-003   1.79349433E-003  -3.43854116E-003   1.71926975E-003   1.61735867E-004   1.61187783E-004
      14       1     1.19944253E+001   1.00002270E+000   6.45297683E-003   1.19999997E+001   0.00000000E+000  -2.76179063E-021   4.43250935E-021  -1.19999997E+001  -2.66437977E-021  -8.67361738E-020  -6.50521303E-020   1.77806657E-003   1.93851235E-003  -3.71657892E-003   1.85828857E-003   1.74815754E-004   1.74216805E-004
      15       1     1.19940055E+001   1.00002270E+000   6.93897806E-003   1.19999997E+001   0.00000000E+000  -1.30471566E-020   5.42576715E-021  -1.19999997E+001   1.65844026E-020  -8.67361738E-020  -4.33680869E-020   1.91198319E-003   2.08450735E-003  -3.99649054E-003   1.99824431E-003   1.87983880E-004   1.87332964E-004
      16       1     1.19935829E+001   1.00002270E+000   7.42823350E-003   1.19999997E+001   0.00000000E+000   8.52279857E-021   9.06486554E-021  -1.19999997E+001   8.54740203E-021   3.46944695E-019   4.33680869E-020   2.04679685E-003   2.23147960E-003  -4.27827644E-003   2.13913720E-003   2.01240210E-004   2.00536277E-004
      17       1     1.19931575E+001   1.00002270E+000   7.92074278E-003   1.19999997E+001   0.00000000E+000  -1.11594497E-020  -1.40268118E-020  -1.19999997E+001  -6.96002175E-021  -1.73472348E-019  -8.67361738E-020   2.18250740E-003   2.37942904E-003  -4.56193644E-003   2.28096712E-003   2.14584675E-004   2.13826732E-004
      18       1     1.19927293E+001   1.00002270E+000   8.41650112E-003   1.19999997E+001   0.00000000E+000   7.75799255E-021   2.72035715E-020  -1.19999997E+001   1.25615958E-020  -8.67361738E-020  -2.16840434E-020   2.31911352E-003   2.52835424E-003  -4.84746776E-003   2.42373272E-003   2.28017111E-004   2.27204197E-004
      19       1     1.19922983E+001   1.00002270E+000   8.91550613E-003   1.19999997E+001   0.00000000E+000  -1.42196406E-020  -2.41962323E-020  -1.19999997E+001   1.30514522E-020   6.50521303E-020  -2.16840434E-020   2.45661460E-003   2.67825445E-003  -5.13486905E-003   2.56743329E-003   2.41537395E-004   2.40668594E-004
      20       1     1.19918645E+001   1.00002270E+000   9.41775899E-003   1.19999997E+001   0.00000000E+000   3.37517607E-021   1.43284226E-020  -1.19999997E+001   8.23243233E-021  -1.73472348E-019  -8.67361738E-020   2.59501098E-003   2.82913000E-003  -5.42414097E-003   2.71206918E-003   2.55145363E-004   2.54219961E-004
      21       1     1.19914278E+001   1.00002270E+000   9.92326044E-003   1.19999997E+001   0.00000000E+000   1.21016989E-020   5.36786451E-021  -1.19999997E+001   7.14297342E-021  -1.08420217E-019   3.25260652E-019   2.73430286E-003   2.98098113E-003  -5.71528398E-003   2.85764062E-003   2.68840878E-004   2.67858352E-004
      22       1     1.19909884E+001   1.00002270E+000   1.04320107E-002   1.19999997E+001   0.00000000E+000  -1.36163803E-020   2.91381402E-020  -1.19999997E+001   5.56258282E-021   2.16840434E-020  -2.16840434E-020   2.87449027E-003   3.13380794E-003  -6.00829821E-003   3.00414766E-003   2.82623796E-004   2.81583825E-004
      23       1     1.19905462E+001   1.00002270E+000   1.09440092E-002   1.19999997E+001   0.00000000E+000  -1.06382768E-020   1.41510130E-020  -1.19999997E+001  -2.39195301E-021   2.16840434E-020   1.30104261E-019   3.01557298E-003   3.28761032E-003  -6.30318329E-003   3.15159013E-003   2.96493942E-004   2.95396427E-004
      24       1     1.19901012E+001   1.00002270E+000   1.14592565E-002   1.19999997E+001   0.00000000E+000  -1.94335538E-020  -1.51786608E-020  -1.19999997E+001  -1.18891135E-020  -6.50521303E-020  -4.33680869E-020   3.15755107E-003   3.44238855E-003  -6.59993962E-003   3.29996822E-003   3.10451194E-004   3.09296251E-004
      25       1     1.19896534E+001   1.00002270E+000   1.19777536E-002   1.19999997E+001   0.00000000E+000  -4.20029390E-021   1.07484676E-020  -1.19999997E+001  -1.43503429E-021   3.46944695E-019  -6.50521303E-020   3.30042470E-003   3.59814300E-003  -6.89856771E-003   3.44928220E-003   3.24495435E-004   3.23283377E-004
      26       1     1.19892028E+001   1.00002270E+000   1.24995016E-002   1.19999997E+001   0.00000000E+000  -8.31166589E-021  -1.68072347E-020  -1.19999997E+001   1.13806972E-020  -2.38524478E-019   4.33680869E-020   3.44419409E-003   3.75487416E-003  -7.19906825E-003   3.59953240E-003   3.38626558E-004   3.37357886E-004
      27       1     1.19887494E+001   1.00002270E+000   1.30245010E-002   1.19999997E+001   0.00000000E+000   5.68926230E-021  -2.44712699E-020  -1.19999997E+001   4.46530706E-021   2.16840434E-019  -1.08420217E-019   3.58885920E-003   3.91258226E-003  -7.50144147E-003   3.75071893E-003   3.52844451E-004   3.51519824E-004
