   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996264E+001   1.00002270E+000   4.31535010E-004   1.19999997E+001   0.00000000E+000  -4.51897960E-022   5.22557566E-022  -1.19999997E+001  -8.81259843E-021  -2.40933816E-020  -2.40933816E-020   1.14675261E-004   1.34207878E-004  -2.48883139E-004   1.24441526E-004   9.76692239E-007   5.91727919E-006
       2       1     1.19992475E+001   1.00002270E+000   8.69575410E-004   1.19999997E+001   0.00000000E+000  -5.23175194E-021  -1.31701859E-020  -1.19999997E+001  -3.10143099E-021  -7.22801448E-021   2.40933816E-021   2.31077239E-004   2.70440876E-004  -5.01518115E-004   2.50758970E-004   1.97112056E-006   1.19232178E-005
       3       1     1.19988630E+001   1.00002270E+000   1.31404298E-003   1.19999997E+001   0.00000000E+000   6.25333838E-021  -1.11892170E-020  -1.19999997E+001   1.00068634E-020   2.40933816E-021   5.05961014E-020   3.49186801E-004   4.08673066E-004  -7.57859867E-004   3.78929801E-004   2.98025780E-006   1.80176962E-005
       4       1     1.19984757E+001   1.00002270E+000   1.76172849E-003   1.19999997E+001   0.00000000E+000   5.59527024E-021   4.81308826E-021  -1.19999997E+001   2.32141805E-021  -1.44560290E-020  -4.33680869E-020   4.68151335E-004   5.47906184E-004  -1.01605752E-003   5.08028582E-004   3.99660971E-006   2.41567104E-005
       5       1     1.19980856E+001   1.00002270E+000   2.21263206E-003   1.19999997E+001   0.00000000E+000  -6.11496025E-021   1.76418140E-020  -1.19999997E+001  -1.50121884E-020  -1.20466908E-020  -9.63735264E-021   5.87970871E-004   6.88140260E-004  -1.27611113E-003   6.38055342E-004   5.02017186E-006   3.03402874E-005
       6       1     1.19976928E+001   1.00002270E+000   2.66675647E-003   1.19999997E+001   0.00000000E+000   9.90440331E-021   3.38974939E-021  -1.19999997E+001  -1.46556736E-020  -1.92747053E-020   2.65027198E-020   7.08646157E-004   8.29376159E-004  -1.53802232E-003   7.69010889E-004   6.05095323E-006   3.65684864E-005
       7       1     1.19972971E+001   1.00002270E+000   3.12410375E-003   1.19999997E+001   0.00000000E+000   5.12646104E-021  -2.28156265E-020  -1.19999997E+001   8.07916495E-022  -1.92747053E-020   5.78241159E-020   8.30177733E-004   9.71614499E-004  -1.80179223E-003   9.00895801E-004   7.08895860E-006   4.28413560E-005
       8       1     1.19968987E+001   1.00002270E+000   3.58467428E-003   1.19999997E+001   0.00000000E+000  -1.60200988E-020   2.31460576E-020  -1.19999997E+001  -6.35408898E-021   1.68653671E-020   4.33680869E-020   9.52565712E-004   1.11485540E-003  -2.06742111E-003   1.03371019E-003   8.13418756E-006   4.91589261E-005
       9       1     1.19964975E+001   1.00002270E+000   4.04846774E-003   1.19999997E+001   0.00000000E+000   5.12866685E-021   2.15116958E-020  -1.19999997E+001   1.31194889E-020  -5.54147777E-020   4.57774251E-020   1.07581002E-003   1.25909875E-003  -2.33490877E-003   1.16745398E-003   9.18663740E-006   5.55212128E-005
      10       1     1.19960936E+001   1.00002270E+000   4.51548399E-003   1.19999997E+001   0.00000000E+000   1.18683139E-020  -2.13267014E-020  -1.19999997E+001   1.07872624E-020   1.68653671E-020   2.89120579E-020   1.19991063E-003   1.40434448E-003  -2.60425511E-003   1.30212710E-003   1.02463053E-005   6.19282358E-005
      11       1     1.19956868E+001   1.00002270E+000   4.98572472E-003   1.19999997E+001   0.00000000E+000  -5.79688173E-021   1.06598214E-020  -1.19999997E+001   8.00714509E-021   1.68653671E-020  -1.92747053E-020   1.32486801E-003   1.55059311E-003  -2.87546112E-003   1.43773006E-003   1.13132025E-005   6.83800313E-005
      12       1     1.19952773E+001   1.00002270E+000   5.45918985E-003   1.19999997E+001   0.00000000E+000  -1.29525455E-020   1.50633634E-020  -1.19999997E+001   6.68803098E-022  -6.50521303E-020   2.40933816E-020   1.45068217E-003   1.69784459E-003  -3.14852676E-003   1.57426283E-003   1.23873262E-005   7.48766064E-005
      13       1     1.19948649E+001   1.00002270E+000   5.93588054E-003   1.19999997E+001   0.00000000E+000   1.71156536E-021  -2.45842490E-020  -1.19999997E+001   5.49621077E-021  -3.85494106E-020   3.61400724E-020   1.57735344E-003   1.84609924E-003  -3.42345268E-003   1.71172574E-003   1.34686781E-005   8.14179870E-005
