    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850250E+003  -4.51897960E-022   5.22557566E-022  -1.19999997E+001  -8.81259843E-021  -2.40933816E-020  -2.40933816E-020  -6.98628992E+003  -6.98629445E+003  -1.41660950E+004  -2.04123872E+002  -5.00899362E-003  -1.35300883E-003   4.31535010E-004   1.19996264E+001   0.00000000E+000   7.67560465E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828799E+003  -5.23175194E-021  -1.31701859E-020  -1.19999997E+001  -3.10143099E-021  -7.22801448E-021   2.40933816E-021  -6.98635725E+003  -6.98637398E+003  -1.41659481E+004  -2.04188712E+002  -5.79121158E-003  -4.87825963E-003   8.69575410E-004   1.19992475E+001   0.00000000E+000   7.72922071E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18807034E+003   6.25333838E-021  -1.11892170E-020  -1.19999997E+001   1.00068634E-020   2.40933816E-021   5.05961014E-020  -6.98642557E+003  -6.98645468E+003  -1.41657991E+004  -2.04254504E+002  -6.58498953E-003  -8.45548149E-003   1.31404298E-003   1.19988630E+001   0.00000000E+000   7.78283544E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18785112E+003   5.59527024E-021   4.81308826E-021  -1.19999997E+001   2.32141805E-021  -1.44560290E-020  -4.33680869E-020  -6.98649438E+003  -6.98653597E+003  -1.41656490E+004  -2.04320772E+002  -7.38447525E-003  -1.20588387E-002   1.76172849E-003   1.19984757E+001   0.00000000E+000   7.83646691E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18763032E+003  -6.11496025E-021   1.76418140E-020  -1.19999997E+001  -1.50121884E-020  -1.20466908E-020  -9.63735264E-021  -6.98656369E+003  -6.98661784E+003  -1.41654978E+004  -2.04387516E+002  -8.18966710E-003  -1.56883468E-002   2.21263206E-003   1.19980856E+001   0.00000000E+000   7.89011483E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740795E+003   9.90440331E-021   3.38974939E-021  -1.19999997E+001  -1.46556736E-020  -1.92747053E-020   2.65027198E-020  -6.98663349E+003  -6.98670029E+003  -1.41653456E+004  -2.04454736E+002  -9.00057229E-003  -1.93440405E-002   2.66675647E-003   1.19976928E+001   0.00000000E+000   7.94377920E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718400E+003   5.12646104E-021  -2.28156265E-020  -1.19999997E+001   8.07916495E-022  -1.92747053E-020   5.78241159E-020  -6.98670379E+003  -6.98678333E+003  -1.41651922E+004  -2.04522434E+002  -9.81719526E-003  -2.30259483E-002   3.12410375E-003   1.19972971E+001   0.00000000E+000   7.99745990E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695847E+003  -1.60200988E-020   2.31460576E-020  -1.19999997E+001  -6.35408898E-021   1.68653671E-020   4.33680869E-020  -6.98677459E+003  -6.98686696E+003  -1.41650378E+004  -2.04590609E+002  -1.06395368E-002  -2.67340874E-002   3.58467428E-003   1.19968987E+001   0.00000000E+000   8.05115665E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18673137E+003   5.12866685E-021   2.15116958E-020  -1.19999997E+001   1.31194889E-020  -5.54147777E-020   4.57774251E-020  -6.98684587E+003  -6.98695117E+003  -1.41648823E+004  -2.04659261E+002  -1.14675959E-002  -3.04684673E-002   4.04846774E-003   1.19964975E+001   0.00000000E+000   8.10486912E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18650270E+003   1.18683139E-020  -2.13267014E-020  -1.19999997E+001   1.07872624E-020   1.68653671E-020   2.89120579E-020  -6.98691766E+003  -6.98703596E+003  -1.41647258E+004  -2.04728390E+002  -1.23013715E-002  -3.42290991E-002   4.51548399E-003   1.19960936E+001   0.00000000E+000   8.15859701E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18627245E+003  -5.79688173E-021   1.06598214E-020  -1.19999997E+001   8.00714509E-021   1.68653671E-020  -1.92747053E-020  -6.98698994E+003  -6.98712134E+003  -1.41645681E+004  -2.04797997E+002  -1.31408714E-002  -3.80160044E-002   4.98572472E-003   1.19956868E+001   0.00000000E+000   8.21234021E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18604062E+003  -1.29525455E-020   1.50633634E-020  -1.19999997E+001   6.68803098E-022  -6.50521303E-020   2.40933816E-020  -6.98706271E+003  -6.98720731E+003  -1.41644094E+004  -2.04868080E+002  -1.39860943E-002  -4.18291872E-002   5.45918985E-003   1.19952773E+001   0.00000000E+000   8.26609842E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
        13     1.19999997E+001   7.18580721E+003   1.71156536E-021  -2.45842490E-020  -1.19999997E+001   5.49621077E-021  -3.85494106E-020   3.61400724E-020  -6.98713598E+003  -6.98729386E+003  -1.41642495E+004  -2.04938641E+002  -1.48370421E-002  -4.56686626E-002   5.93588054E-003   1.19948649E+001   0.00000000E+000   8.31987148E+014   0.00000000E+000   1.00000000E-014   1.30000000E-013
        14     1.19999997E+001   7.18557223E+003  -4.04590581E-021   2.53389318E-020  -1.19999997E+001  -5.63736455E-021   4.81867632E-021   1.44560290E-020  -6.98720975E+003  -6.98738100E+003  -1.41640886E+004  -2.05009680E+002  -1.56937193E-002  -4.95344491E-002   6.41579829E-003   1.19944498E+001   0.00000000E+000   8.37365929E+014   0.00000000E+000   1.00000000E-014   1.40000000E-013
        15     1.19999997E+001   7.18533567E+003  -8.98972537E-021   5.47597977E-020  -1.19999997E+001   1.43047836E-020  -1.92747053E-020   3.61400724E-020  -6.98728401E+003  -6.98746872E+003  -1.41639266E+004  -2.05081197E+002  -1.65561305E-002  -5.34265649E-002   6.89894462E-003   1.19940319E+001   0.00000000E+000   8.42746174E+014   0.00000000E+000   1.00000000E-014   1.50000000E-013
        16     1.19999997E+001   7.18509753E+003  -7.03243222E-021  -1.14333272E-020  -1.19999997E+001  -1.10834114E-020   3.13213961E-020   5.30054395E-020  -6.98735877E+003  -6.98755704E+003  -1.41637636E+004  -2.05153192E+002  -1.74242776E-002  -5.73450217E-002   7.38532077E-003   1.19936112E+001   0.00000000E+000   8.48127865E+014   0.00000000E+000   1.00000000E-014   1.60000000E-013
        17     1.19999997E+001   7.18485781E+003   1.38550179E-020   3.24709198E-020  -1.19999997E+001   1.88035432E-020  -4.81867632E-021  -4.81867632E-021  -6.98743403E+003  -6.98764593E+003  -1.41635994E+004  -2.05225665E+002  -1.82981653E-002  -6.12898280E-002   7.87492757E-003   1.19931877E+001   0.00000000E+000   8.53510986E+014   0.00000000E+000   1.00000000E-014   1.70000000E-013
        18     1.19999997E+001   7.18461651E+003   2.05287846E-022  -2.23610816E-020  -1.19999997E+001  -1.00871918E-021   5.30054395E-020   3.37307343E-020  -6.98750978E+003  -6.98773542E+003  -1.41634342E+004  -2.05298615E+002  -1.91777902E-002  -6.52609522E-002   8.36776097E-003   1.19927614E+001   0.00000000E+000   8.58895476E+014   0.00000000E+000   1.00000000E-014   1.80000000E-013
        19     1.19999997E+001   7.18437364E+003  -1.12271570E-020  -7.17051624E-021  -1.19999997E+001   3.53000245E-021   7.22801448E-021  -3.37307343E-020  -6.98758603E+003  -6.98782548E+003  -1.41632679E+004  -2.05372043E+002  -2.00631684E-002  -6.92583757E-002   8.86381922E-003   1.19923324E+001   0.00000000E+000   8.64281295E+014   0.00000000E+000   1.00000000E-014   1.90000000E-013
        20     1.19999997E+001   7.18412919E+003  -1.38229601E-020   1.89073636E-020  -1.19999997E+001   3.32633221E-021   2.40933816E-020   1.68653671E-020  -6.98766277E+003  -6.98791614E+003  -1.41631005E+004  -2.05445949E+002  -2.09543404E-002  -7.32821037E-002   9.36310543E-003   1.19919006E+001   0.00000000E+000   8.69668449E+014   0.00000000E+000   1.00000000E-014   2.00000000E-013
