    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850228E+003  -4.93334653E-021   9.46964637E-021  -1.19999997E+001  -2.16362738E-020   2.04505517E-020   1.27140142E-020  -6.98629601E+003  -6.98628850E+003  -1.41660949E+004  -2.04123937E+002  -4.27037721E-003   2.13709254E-003   4.31511134E-004   1.19996260E+001   0.00000000E+000   7.67565786E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828758E+003   6.04529441E-022  -2.08654655E-020  -1.19999997E+001   1.99358799E-021   1.52465931E-020  -1.66236833E-020  -6.98636952E+003  -6.98636199E+003  -1.41659479E+004  -2.04188835E+002  -4.29842836E-003   2.15286976E-003   8.69484583E-004   1.19992467E+001   0.00000000E+000   7.72932197E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806973E+003  -6.05088822E-021   3.24946737E-020  -1.19999997E+001  -6.33732019E-021   5.69629657E-021   1.66891960E-020  -6.98644411E+003  -6.98643656E+003  -1.41657987E+004  -2.04254687E+002  -4.32788521E-003   2.16862155E-003   1.31388681E-003   1.19988619E+001   0.00000000E+000   7.78298443E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18785031E+003   1.80816822E-020   1.35782525E-020  -1.19999997E+001  -2.25779982E-021  -2.48286533E-020  -2.35872206E-020  -6.98651923E+003  -6.98651167E+003  -1.41656485E+004  -2.04321015E+002  -4.35779525E-003   2.18448579E-003   1.76150353E-003   1.19984743E+001   0.00000000E+000   7.83666297E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762932E+003  -1.30150769E-020   1.81127739E-021  -1.19999997E+001  -3.18977388E-021  -3.23725405E-020   2.56148057E-020  -6.98659490E+003  -6.98658732E+003  -1.41654972E+004  -2.04387819E+002  -4.38815522E-003   2.20046477E-003   2.21233485E-003   1.19980838E+001   0.00000000E+000   7.89035731E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740674E+003  -1.94505472E-020  -1.87832038E-020  -1.19999997E+001  -5.70917991E-021   3.22931311E-021   2.39022110E-020  -6.98667110E+003  -6.98666351E+003  -1.41653448E+004  -2.04455100E+002  -4.41895710E-003   2.21655834E-003   2.66638342E-003   1.19976907E+001   0.00000000E+000   7.94406744E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718260E+003   7.99502632E-021  -2.15251421E-020  -1.19999997E+001   6.31130536E-021  -9.69852725E-021   3.31692808E-020  -6.98674785E+003  -6.98674024E+003  -1.41651913E+004  -2.04522857E+002  -4.45019469E-003   2.23276572E-003   3.12365118E-003   1.19972947E+001   0.00000000E+000   7.99779326E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695688E+003   1.62011388E-020   3.40227658E-021  -1.19999997E+001   3.35671961E-021   2.47333621E-020   5.83658640E-021  -6.98682513E+003  -6.98681750E+003  -1.41650367E+004  -2.04591092E+002  -4.48186028E-003   2.24908829E-003   3.58413849E-003   1.19968959E+001   0.00000000E+000   8.05153449E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672958E+003  -1.62175273E-020  -4.72626187E-021  -1.19999997E+001   2.73756871E-020  -8.55503277E-021  -9.46029923E-021  -6.98690296E+003  -6.98689531E+003  -1.41648811E+004  -2.04659804E+002  -4.51394856E-003   2.26552610E-003   4.04784499E-003   1.19964944E+001   0.00000000E+000   8.10529080E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18650070E+003   6.10772587E-021   3.36904873E-020  -1.19999997E+001   1.80141326E-020  -2.89685268E-020  -4.40298314E-020  -6.98698132E+003  -6.98697366E+003  -1.41647244E+004  -2.04728993E+002  -4.54645684E-003   2.28208093E-003   4.51477052E-003   1.19960900E+001   0.00000000E+000   8.15906191E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
