   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996236E+001   1.00002270E+000   4.35533041E-004   1.19999997E+001   0.00000000E+000   7.06690784E-022   1.81746068E-020  -1.19999997E+001   9.29292314E-021  -5.53164374E-020  -1.10632875E-019   1.30776696E-004   1.19976953E-004  -2.50753649E-004   1.25377025E-004  -1.69143491E-005  -6.08112022E-006
       2       1     1.19992421E+001   1.00002270E+000   8.77349834E-004   1.19999997E+001   0.00000000E+000   1.02132539E-020  -1.40509773E-020  -1.19999997E+001  -3.64822655E-021   2.76582187E-020   8.29746561E-020   2.63442798E-004   2.41682065E-004  -5.05124863E-004   2.52562835E-004  -3.40756690E-005  -1.22493357E-005
       3       1     1.19988550E+001   1.00002270E+000   1.32550562E-003   1.19999997E+001   0.00000000E+000  -6.72293406E-021   1.29964951E-020  -1.19999997E+001  -2.41391138E-021   5.53164374E-020   5.53164374E-020   3.98010553E-004   3.65135262E-004  -7.63145815E-004   3.81573517E-004  -5.14814116E-005  -1.85071548E-005
       4       1     1.19984652E+001   1.00002270E+000   1.77695178E-003   1.19999997E+001   0.00000000E+000   3.52333836E-021   6.67954939E-021  -1.19999997E+001  -1.05100208E-020  -5.53164374E-020   0.00000000E+000   5.33566245E-004   4.89494953E-004  -1.02306120E-003   5.11531415E-004  -6.90146466E-005  -2.48107229E-005
       5       1     1.19980724E+001   1.00002270E+000   2.23172518E-003   1.19999997E+001   0.00000000E+000  -8.49871660E-021   7.02094603E-021  -1.19999997E+001  -2.59367018E-021   2.76582187E-020  -5.53164374E-020   6.70121641E-004   6.14770590E-004  -1.28489223E-003   6.42447141E-004  -8.66764386E-005  -3.11607793E-005
       6       1     1.19976768E+001   1.00002270E+000   2.68985577E-003   1.19999997E+001   0.00000000E+000  -4.85314462E-021   1.11246033E-021  -1.19999997E+001  -9.12628686E-022   8.29746561E-020   2.76582187E-020   8.07685170E-004   7.40970995E-004  -1.54865616E-003   7.74329319E-004  -1.04468369E-004  -3.75569546E-005
       7       1     1.19972784E+001   1.00002270E+000   3.15126768E-003   1.19999997E+001   0.00000000E+000  -1.53224921E-021   1.03672160E-020  -1.19999997E+001   4.89139117E-021  -1.10632875E-019  -1.10632875E-019   9.46233659E-004   8.68075667E-004  -1.81430933E-003   9.07156111E-004  -1.22387106E-004  -4.39993892E-005
       8       1     1.19968770E+001   1.00002270E+000   3.61605290E-003   1.19999997E+001   0.00000000E+000   9.52841969E-021  -1.52353164E-022  -1.19999997E+001  -6.25366084E-021   1.65949312E-019   2.76582187E-020   1.08579441E-003   9.96110109E-004  -2.08190452E-003   1.04095392E-003  -1.40437800E-004  -5.04915600E-005
       9       1     1.19964728E+001   1.00002270E+000   4.08412223E-003   1.19999997E+001   0.00000000E+000  -3.26856357E-020  -1.05312938E-020  -1.19999997E+001  -9.90709683E-021  -2.76582187E-020  -8.29746561E-020   1.22634136E-003   1.12504910E-003  -2.35139046E-003   1.17569711E-003  -1.58616300E-004  -5.70303804E-005
      10       1     1.19960658E+001   1.00002270E+000   4.55549661E-003   1.19999997E+001   0.00000000E+000   5.64583080E-021  -1.23247010E-020  -1.19999997E+001  -2.35212342E-021   0.00000000E+000   5.53164374E-020   1.36788096E-003   1.25489825E-003  -2.62277922E-003   1.31139170E-003  -1.76923656E-004  -6.36151724E-005
      11       1     1.19956559E+001   1.00002270E+000   5.03016399E-003   1.19999997E+001   0.00000000E+000  -4.34802636E-021   1.22403113E-020  -1.19999997E+001   4.12795042E-021   2.76582187E-020  -2.76582187E-020   1.51040893E-003   1.38565490E-003  -2.89606383E-003   1.44803423E-003  -1.95359548E-004  -7.02466528E-005
      12       1     1.19952432E+001   1.00002270E+000   5.50809274E-003   1.19999997E+001   0.00000000E+000  -1.31034424E-020   9.55219520E-021  -1.19999997E+001   1.02828230E-020  -2.76582187E-020   5.53164374E-020   1.65391573E-003   1.51731039E-003  -3.17122612E-003   1.58561559E-003  -2.13922145E-004  -7.69250761E-005
      13       1     1.19948277E+001   1.00002270E+000   5.98930273E-003   1.19999997E+001   0.00000000E+000   7.26087061E-021   8.04278841E-022  -1.19999997E+001   1.24400869E-021  -8.29746561E-020  -2.76582187E-020   1.79840746E-003   1.64987005E-003  -3.44827750E-003   1.72414151E-003  -2.32612837E-004  -8.36495324E-005
      14       1     1.19944093E+001   1.00002270E+000   6.47380893E-003   1.19999997E+001   0.00000000E+000  -1.37850862E-020  -1.56501332E-020  -1.19999997E+001   2.46856439E-021  -5.53164374E-020  -1.93607531E-019   1.94388861E-003   1.78333808E-003  -3.72722669E-003   1.86361632E-003  -2.51431022E-004  -9.04198826E-005
      15       1     1.19939881E+001   1.00002270E+000   6.96164778E-003   1.19999997E+001   0.00000000E+000  -2.27285282E-020  -2.22239375E-020  -1.19999997E+001  -1.41326815E-020   5.53164374E-020   5.53164374E-020   2.09037118E-003   1.91772345E-003  -4.00809463E-003   2.00405051E-003  -2.70378645E-004  -9.72358639E-005
      16       1     1.19935640E+001   1.00002270E+000   7.45280995E-003   1.19999997E+001   0.00000000E+000  -1.92217677E-020  -9.05467349E-022  -1.19999997E+001   5.16371981E-021  -1.65949312E-019  -5.53164374E-020   2.23785217E-003   2.05302378E-003  -4.29087595E-003   2.14544140E-003  -2.89454567E-004  -1.04098844E-004
      17       1     1.19931371E+001   1.00002270E+000   7.94725595E-003   1.19999997E+001   0.00000000E+000   3.44226886E-021   8.74619856E-021  -1.19999997E+001   7.63606270E-021   0.00000000E+000  -1.10632875E-019   2.38631882E-003   2.18922906E-003  -4.57554789E-003   2.28777760E-003  -3.08658496E-004  -1.11007637E-004
      18       1     1.19927073E+001   1.00002270E+000   8.44500786E-003   1.19999997E+001   0.00000000E+000   1.23065668E-020  -1.06891168E-020  -1.19999997E+001   2.27358610E-021   5.53164374E-020  -1.10632875E-019   2.53577758E-003   2.32634557E-003  -4.86212314E-003   2.43106545E-003  -3.27991211E-004  -1.17962781E-004
      19       1     1.19922746E+001   1.00002270E+000   8.94614831E-003   1.19999997E+001   0.00000000E+000  -1.40553311E-020  -3.09754345E-020  -1.19999997E+001  -2.57560857E-021   0.00000000E+000  -1.10632875E-019   2.68625529E-003   2.46439394E-003  -5.15064923E-003   2.57532873E-003  -3.47457118E-004  -1.24963052E-004
      20       1     1.19918390E+001   1.00002270E+000   9.45061593E-003   1.19999997E+001   0.00000000E+000   1.15279989E-020   8.28101827E-021  -1.19999997E+001   1.12315288E-020  -1.65949312E-019  -5.53164374E-020   2.83773220E-003   2.60335863E-003  -5.44109083E-003   2.72054976E-003  -3.67053367E-004  -1.32009495E-004
      21       1     1.19914006E+001   1.00002270E+000   9.95840932E-003   1.19999997E+001   0.00000000E+000   1.35092231E-020   3.15565711E-021  -1.19999997E+001  -1.84989343E-021   0.00000000E+000   1.10632875E-019   2.99020805E-003   2.74323913E-003  -5.73344718E-003   2.86672817E-003  -3.86779176E-004  -1.39101902E-004
      22       1     1.19909593E+001   1.00002270E+000   1.04695460E-002   1.19999997E+001   0.00000000E+000  -6.56354364E-021  -2.15398600E-020  -1.19999997E+001   3.73023902E-021   0.00000000E+000   1.10632875E-019   3.14368708E-003   2.88404133E-003  -6.02772842E-003   3.01386902E-003  -4.06634827E-004  -1.46240357E-004
      23       1     1.19905152E+001   1.00002270E+000   1.09839517E-002   1.19999997E+001   0.00000000E+000   3.54772384E-021   1.99804607E-020  -1.19999997E+001   3.68973065E-021  -5.53164374E-020   5.53164374E-020   3.29814734E-003   3.02574450E-003  -6.32389184E-003   3.16195097E-003  -4.26617018E-004  -1.53423865E-004
