    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850227E+003  -1.55818726E-020   1.68385021E-021  -1.19999997E+001   1.22073841E-020   5.14043120E-021   2.01249734E-020  -6.98629600E+003  -6.98628852E+003  -1.41660948E+004  -2.04123941E+002  -4.22532668E-003   2.12586123E-003   4.31539775E-004   1.19996260E+001   0.00000000E+000   7.67566138E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828756E+003   1.14125075E-020   1.16591107E-021  -1.19999997E+001  -7.50769803E-022  -2.80420845E-020   3.12661037E-020  -6.98636950E+003  -6.98636203E+003  -1.41659478E+004  -2.04188844E+002  -4.21138694E-003   2.13077063E-003   8.69539087E-004   1.19992467E+001   0.00000000E+000   7.72932864E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806969E+003  -8.04362835E-021  -9.47547799E-021  -1.19999997E+001   1.02700884E-020  -2.67609472E-020  -2.54109884E-020  -6.98644408E+003  -6.98643662E+003  -1.41657987E+004  -2.04254699E+002  -4.19792446E-003   2.13555766E-003   1.31396917E-003   1.19988618E+001   0.00000000E+000   7.78299447E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18785026E+003   1.34051856E-020  -1.36437238E-020  -1.19999997E+001   3.41079654E-021   2.12552330E-021  -1.72874131E-020  -6.98651919E+003  -6.98651175E+003  -1.41656484E+004  -2.04321031E+002  -4.18421986E-003   2.14009915E-003   1.76161460E-003   1.19984742E+001   0.00000000E+000   7.83667645E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762925E+003  -1.06597628E-020  -3.33471453E-020  -1.19999997E+001   1.00477732E-020  -2.09746534E-020  -3.07049443E-022  -6.98659485E+003  -6.98658742E+003  -1.41654971E+004  -2.04387840E+002  -4.17027919E-003   2.14439576E-003   2.21247536E-003   1.19980837E+001   0.00000000E+000   7.89037428E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740666E+003  -1.56084432E-020   2.62008425E-020  -1.19999997E+001   2.10599770E-020  -2.02652633E-020  -1.78512194E-020  -6.98667104E+003  -6.98666363E+003  -1.41653447E+004  -2.04455125E+002  -4.15611035E-003   2.14844724E-003   2.66655397E-003   1.19976905E+001   0.00000000E+000   7.94408793E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718250E+003   1.26961160E-020  -5.35891028E-021  -1.19999997E+001   1.67193158E-020   2.07801005E-020   1.05667360E-020  -6.98674778E+003  -6.98674037E+003  -1.41651912E+004  -2.04522887E+002  -4.14172052E-003   2.15225300E-003   3.12385224E-003   1.19972945E+001   0.00000000E+000   7.99781728E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695676E+003   1.07752941E-020   4.43233358E-020  -1.19999997E+001  -9.53159703E-021   1.61472273E-020   4.21398891E-021  -6.98682505E+003  -6.98681766E+003  -1.41650367E+004  -2.04591127E+002  -4.12711502E-003   2.15581319E-003   3.58437043E-003   1.19968957E+001   0.00000000E+000   8.05156204E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672945E+003  -1.29379113E-020   8.73355902E-021  -1.19999997E+001  -9.87909043E-021   1.34274574E-020  -1.38966343E-020  -6.98690287E+003  -6.98689549E+003  -1.41648810E+004  -2.04659843E+002  -4.11230067E-003   2.15912921E-003   4.04810803E-003   1.19964941E+001   0.00000000E+000   8.10532188E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18650056E+003  -1.90219333E-020  -6.52568989E-021  -1.19999997E+001   2.19562169E-021  -1.59215724E-020   7.70270586E-021  -6.98698122E+003  -6.98697386E+003  -1.41647243E+004  -2.04729037E+002  -4.09727982E-003   2.16220083E-003   4.51506480E-003   1.19960898E+001   0.00000000E+000   8.15909649E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
