   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      23       1     1.19999997E+001   7.18338029E+003   2.38197270E-001   2.84515213E+003   2.84491393E+003  -1.61500433E-001  -1.68045856E+002  -1.67884355E+002   2.84497450E+003  -1.00935794E-001   2.84507543E+003   1.77632631E-001  -1.67985291E+002  -1.67807659E+002
      24       1     1.19999997E+001   7.18312925E+003   2.46814471E-001   2.84502069E+003   2.84477388E+003  -1.66013691E-001  -1.68111620E+002  -1.67945606E+002   2.84483647E+003  -1.03417648E-001   2.84493989E+003   1.84218428E-001  -1.68049024E+002  -1.67864805E+002
      25       1     1.19999997E+001   7.18287663E+003   2.55486272E-001   2.84488842E+003   2.84463294E+003  -1.70555557E-001  -1.68177799E+002  -1.68007243E+002   2.84469758E+003  -1.05915328E-001   2.84480349E+003   1.90846043E-001  -1.68113159E+002  -1.67922312E+002
      26       1     1.19999997E+001   7.18262243E+003   2.64212729E-001   2.84475532E+003   2.84449111E+003  -1.75126059E-001  -1.68244393E+002  -1.68069267E+002   2.84455781E+003  -1.08428846E-001   2.84466624E+003   1.97515516E-001  -1.68177696E+002  -1.67980181E+002
      27       1     1.19999997E+001   7.18236664E+003   2.72993893E-001   2.84462140E+003   2.84434840E+003  -1.79725220E-001  -1.68311403E+002  -1.68131678E+002   2.84441717E+003  -1.10958205E-001   2.84452813E+003   2.04226878E-001  -1.68242636E+002  -1.68038410E+002
      28       1     1.19999997E+001   7.18210927E+003   2.81829805E-001   2.84448664E+003   2.84420481E+003  -1.84353055E-001  -1.68378830E+002  -1.68194476E+002   2.84427566E+003  -1.13503401E-001   2.84438916E+003   2.10980151E-001  -1.68307980E+002  -1.68097000E+002
      29       1     1.19999997E+001   7.18185032E+003   2.90720493E-001   2.84435105E+003   2.84406033E+003  -1.89009571E-001  -1.68446672E+002  -1.68257662E+002   2.84413327E+003  -1.16064427E-001   2.84424933E+003   2.17775348E-001  -1.68373726E+002  -1.68155951E+002
      30       1     1.19999997E+001   7.18158978E+003   2.99665985E-001   2.84421462E+003   2.84391496E+003  -1.93694781E-001  -1.68514930E+002  -1.68321235E+002   2.84399001E+003  -1.18641277E-001   2.84410865E+003   2.24612481E-001  -1.68439876E+002  -1.68215264E+002
      31       1     1.19999997E+001   7.18132765E+003   3.08666323E-001   2.84407737E+003   2.84376870E+003  -1.98408696E-001  -1.68583604E+002  -1.68385196E+002   2.84384588E+003  -1.21233947E-001   2.84396711E+003   2.31491573E-001  -1.68506430E+002  -1.68274938E+002
      32       1     1.19999997E+001   7.18106394E+003   3.17721548E-001   2.84393929E+003   2.84362156E+003  -2.03151326E-001  -1.68652695E+002  -1.68449544E+002   2.84370087E+003  -1.23842420E-001   2.84382472E+003   2.38412642E-001  -1.68573386E+002  -1.68334974E+002
      33       1     1.19999997E+001   7.18079864E+003   3.26831715E-001   2.84380037E+003   2.84347354E+003  -2.07922681E-001  -1.68722203E+002  -1.68514281E+002   2.84355499E+003  -1.26466680E-001   2.84368146E+003   2.45375714E-001  -1.68640747E+002  -1.68395372E+002
      34       1     1.19999997E+001   7.18053175E+003   3.35996882E-001   2.84366062E+003   2.84332462E+003  -2.12722773E-001  -1.68792128E+002  -1.68579406E+002   2.84340824E+003  -1.29106702E-001   2.84353734E+003   2.52380811E-001  -1.68708512E+002  -1.68456132E+002
      35       1     1.19999997E+001   7.18026327E+003   3.45217101E-001   2.84352003E+003   2.84317481E+003  -2.17551604E-001  -1.68862471E+002  -1.68644920E+002   2.84326060E+003  -1.31762448E-001   2.84339236E+003   2.59427945E-001  -1.68776682E+002  -1.68517254E+002
      36       1     1.19999997E+001   7.17999320E+003   3.54492433E-001   2.84337861E+003   2.84302412E+003  -2.22409191E-001  -1.68933232E+002  -1.68710823E+002   2.84311209E+003  -1.34433894E-001   2.84324653E+003   2.66517136E-001  -1.68845257E+002  -1.68578740E+002
