   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      20       1     1.19918861E+001   1.00002270E+000   9.36989931E-003   1.19999997E+001   0.00000000E+000   1.45342458E-020   9.57689034E-021  -1.19999997E+001   1.65444394E-021   2.03287907E-020   2.11758237E-022   2.70314472E-003   2.70656779E-003  -5.40971250E-003   2.70485629E-003  -3.27359084E-006   1.07349457E-006
      21       1     1.19914507E+001   1.00002270E+000   9.87270277E-003   1.19999997E+001   0.00000000E+000   8.78945575E-021  -1.48693987E-020  -1.19999997E+001  -7.01686974E-021  -5.29395592E-021  -2.62580214E-021   2.84820081E-003   2.85180533E-003  -5.70000614E-003   2.85000311E-003  -3.44708948E-006   1.13198066E-006
      22       1     1.19910126E+001   1.00002270E+000   1.03787307E-002   1.19999997E+001   0.00000000E+000   1.10312393E-020  -9.62751379E-021  -1.19999997E+001  -1.26639594E-020   3.17637355E-021  -1.69406589E-020   2.99418720E-003   2.99797425E-003  -5.99216146E-003   2.99608077E-003  -3.62132752E-006   1.19112673E-006
      23       1     1.19905717E+001   1.00002270E+000   1.08879835E-002   1.19999997E+001   0.00000000E+000   8.52434437E-021   4.30067744E-021  -1.19999997E+001  -1.13491662E-020   1.39760436E-020  -1.13502415E-020   3.14110397E-003   3.14507462E-003  -6.28617859E-003   3.14308934E-003  -3.79627285E-006   1.25097109E-006
      24       1     1.19901280E+001   1.00002270E+000   1.14004626E-002   1.19999997E+001   0.00000000E+000  -6.54734134E-021   1.36450887E-020  -1.19999997E+001  -2.61267271E-020  -7.11507676E-021   1.12231866E-020   3.28895155E-003   3.29310691E-003  -6.58205845E-003   3.29102927E-003  -3.97191817E-006   1.31155171E-006
      25       1     1.19896815E+001   1.00002270E+000   1.19161697E-002   1.19999997E+001   0.00000000E+000  -4.85069051E-021   2.72766529E-020  -1.19999997E+001  -8.01435650E-021   1.22819777E-021  -1.69406589E-022   3.43773042E-003   3.44207159E-003  -6.87980201E-003   3.43990105E-003  -4.14822151E-006   1.37288146E-006
      26       1     1.19892322E+001   1.00002270E+000   1.24351069E-002   1.19999997E+001   0.00000000E+000  -4.16239352E-021   2.94720730E-020  -1.19999997E+001   6.02448048E-021  -2.03287907E-020  -2.64697796E-020   3.58744118E-003   3.59196930E-003  -7.17941048E-003   3.58970529E-003  -4.32514533E-006   1.43496716E-006
      27       1     1.19887802E+001   1.00002270E+000   1.29572761E-002   1.19999997E+001   0.00000000E+000   6.79752212E-021  -3.73802919E-020  -1.19999997E+001  -1.00053802E-020  -1.42725052E-020  -3.21872520E-020   3.73808436E-003   3.74280057E-003  -7.48088493E-003   3.74044252E-003  -4.50264101E-006   1.49781377E-006
      28       1     1.19883253E+001   1.00002270E+000   1.34826784E-002   1.19999997E+001   0.00000000E+000  -4.61029114E-022  -1.45927068E-020  -1.19999997E+001  -1.91915518E-020   1.07996701E-020  -3.15096256E-020   3.88966031E-003   3.89456573E-003  -7.78422604E-003   3.89211307E-003  -4.68065698E-006   1.56142558E-006
      29       1     1.19878676E+001   1.00002270E+000   1.40113148E-002   1.19999997E+001   0.00000000E+000  -7.35971542E-021   2.43389623E-021  -1.19999997E+001  -1.70197684E-020  -3.89635156E-021   1.55007029E-020   4.04216929E-003   4.04726505E-003  -8.08943435E-003   4.04471723E-003  -4.85916243E-006   1.62580633E-006
      30       1     1.19874072E+001   1.00002270E+000   1.45431859E-002   1.19999997E+001   0.00000000E+000   6.46557454E-021   1.77860375E-020  -1.19999997E+001   4.69271969E-021   4.91279109E-021   7.87740641E-021   4.19561146E-003   4.20089871E-003  -8.39651018E-003   4.19825515E-003  -5.03813516E-006   1.69096431E-006
      31       1     1.19869439E+001   1.00002270E+000   1.50782933E-002   1.19999997E+001   0.00000000E+000  -3.97815972E-021   3.56408965E-020  -1.19999997E+001  -2.62268160E-020  -1.64324392E-020  -7.53859323E-021   4.34998731E-003   4.35546719E-003  -8.70545450E-003   4.35272731E-003  -5.21753089E-006   1.75689836E-006
      32       1     1.19864779E+001   1.00002269E+000   1.56166392E-002   1.19999997E+001   0.00000000E+000   6.91444410E-021   2.05287203E-020  -1.19999997E+001   7.59614432E-021   1.67712524E-020  -1.26207909E-020   4.50529746E-003   4.51097113E-003  -9.01626859E-003   4.50813436E-003  -5.39730750E-006   1.82359437E-006
      33       1     1.19860090E+001   1.00002269E+000   1.61582267E-002   1.19999997E+001   0.00000000E+000  -8.11395939E-021  -9.04695708E-021  -1.19999997E+001   2.41312573E-020  -8.89384595E-021  -3.43048344E-020   4.66154280E-003   4.66741138E-003  -9.32895417E-003   4.66447715E-003  -5.57741791E-006   1.89104218E-006
      34       1     1.19855374E+001   1.00002269E+000   1.67030588E-002   1.19999997E+001   0.00000000E+000   9.97038015E-021  -1.14198074E-020  -1.19999997E+001  -2.30165280E-020  -1.47383733E-020   3.02390762E-020   4.81872427E-003   4.82478882E-003  -9.64351309E-003   4.82175661E-003  -5.75780101E-006   1.95922658E-006
      35       1     1.19850629E+001   1.00002269E+000   1.72511383E-002   1.19999997E+001   0.00000000E+000  -8.89990504E-021   2.05617248E-020  -1.19999997E+001   1.06409755E-020  -5.84452734E-021  -9.65617560E-021   4.97684267E-003   4.98310416E-003  -9.95994683E-003   4.97997348E-003  -5.93839477E-006   2.02812332E-006
      36       1     1.19845857E+001   1.00002269E+000   1.78024675E-002   1.19999997E+001   0.00000000E+000  -1.74133927E-021  -2.66590799E-020  -1.19999997E+001  -1.17286353E-020   1.09267250E-020  -6.35274710E-021   5.13589873E-003   5.14235810E-003  -1.02782568E-002   5.13912849E-003  -6.11914224E-006   2.09771822E-006
      37       1     1.19841056E+001   1.00002269E+000   1.83570499E-002   1.19999997E+001   0.00000000E+000   4.08573456E-021   1.58156520E-020  -1.19999997E+001   6.66732389E-021  -3.34578014E-020   4.42998231E-020   5.29589348E-003   5.30255155E-003  -1.05984450E-002   5.29922259E-003  -6.30000344E-006   2.16800810E-006
      38       1     1.19836227E+001   1.00002269E+000   1.89148898E-002   1.19999997E+001   0.00000000E+000   7.34089706E-021   2.08260504E-020  -1.19999997E+001  -2.30155354E-020   1.38066370E-020  -1.01643954E-021   5.45682825E-003   5.46368574E-003  -1.09205140E-002   5.46025707E-003  -6.48091119E-006   2.23897598E-006
      39       1     1.19831370E+001   1.00002269E+000   1.94759948E-002   1.19999997E+001   0.00000000E+000  -9.66577089E-021  -9.01085064E-021  -1.19999997E+001   2.17952579E-020   1.93123512E-020   2.82909004E-020   5.61870532E-003   5.62576269E-003  -1.12444680E-002   5.62223408E-003  -6.66211198E-006   2.31090716E-006
      40       1     1.19826484E+001   1.00002269E+000   2.00403922E-002   1.19999997E+001   0.00000000E+000   1.04812055E-020   4.52954177E-020  -1.19999997E+001  -3.07087080E-020  -2.61733181E-020  -9.74087889E-021   5.78153311E-003   5.78878983E-003  -1.15703229E-002   5.78516155E-003  -6.84380077E-006   2.38498808E-006
      41       1     1.19821570E+001   1.00002269E+000   2.06081112E-002   1.19999997E+001   0.00000000E+000   6.19969801E-021  -2.92456323E-020  -1.19999997E+001  -1.17787211E-020   1.14349448E-020   1.65171425E-020   5.94531995E-003   5.95277564E-003  -1.18980956E-002   5.94904788E-003  -7.02635632E-006   2.46232450E-006
      42       1     1.19816627E+001   1.00002269E+000   2.11791707E-002   1.19999997E+001   0.00000000E+000  -1.41873883E-021   4.89463448E-020  -1.19999997E+001   2.06606142E-020  -1.46536700E-020  -4.99749439E-021   6.11007121E-003   6.11772567E-003  -1.22277969E-002   6.11389852E-003  -7.21001737E-006   2.54364696E-006
      43       1     1.19811655E+001   1.00002269E+000   2.17535806E-002   1.19999997E+001   0.00000000E+000  -3.89792320E-021   3.14076756E-020  -1.19999997E+001  -2.56130066E-020  -2.17687467E-020   1.88888347E-020   6.27578955E-003   6.28364297E-003  -1.25594325E-002   6.27971634E-003  -7.39501645E-006   2.62943339E-006
      44       1     1.19806654E+001   1.00002269E+000   2.23313389E-002   1.19999997E+001   0.00000000E+000   5.05088890E-021  -5.24589673E-021  -1.19999997E+001   1.73078031E-020  -4.57397792E-021  -2.30392962E-020   6.44247411E-003   6.45052724E-003  -1.28930014E-002   6.44650076E-003  -7.58159930E-006   2.71980431E-006
      45       1     1.19801625E+001   1.00002269E+000   2.29124380E-002   1.19999997E+001   0.00000000E+000   4.58754368E-022  -3.92455842E-021  -1.19999997E+001   1.16159733E-020  -2.31239995E-020   3.39660212E-020   6.61012276E-003   6.61837624E-003  -1.32284990E-002   6.61424959E-003  -7.76977765E-006   2.81480063E-006
      46       1     1.19795688E+001   1.00002269E+000   2.35983371E-002   1.19999997E+001   0.00000000E+000  -2.07963959E-020   3.12579146E-020  -1.19999997E+001  -1.61417679E-020   2.75285708E-020   9.31736242E-022   6.80579789E-003   6.81870416E-003  -1.36245020E-002   6.81225109E-003  -7.96317312E-006   2.93691170E-006
      47       1     1.19789081E+001   1.00002269E+000   2.43616733E-002   1.19999997E+001   0.00000000E+000   1.81739852E-021   6.89651082E-020  -1.19999997E+001   2.31615121E-020  -3.98105485E-021  -4.02340650E-020   7.02786219E-003   7.03734423E-003  -1.40652064E-002   7.03260348E-003  -1.46234177E-005   1.01703813E-005
      48       1     1.19783484E+001   1.00002269E+000   2.50083478E-002   1.19999997E+001   0.00000000E+000   2.62114511E-020  -3.57546338E-020  -1.19999997E+001   1.44187300E-020  -1.82959117E-020   1.55854062E-020   7.20906380E-003   7.22949889E-003  -1.44385627E-002   7.21928154E-003  -1.40463546E-005   9.46496389E-006
      49       1     1.19778755E+001   1.00002269E+000   2.55548000E-002   1.19999997E+001   0.00000000E+000  -4.83098293E-021   6.85917189E-020  -1.19999997E+001   9.50740717E-022   2.13452303E-020   7.87740641E-021   7.36751407E-003   7.38654474E-003  -1.47540588E-002   7.37702959E-003  -1.33600636E-005   8.86632206E-006
      50       1     1.19773996E+001   1.00002269E+000   2.61046134E-002   1.19999997E+001   0.00000000E+000  -1.38048172E-020   3.20344717E-020  -1.19999997E+001   1.05716784E-020  -2.65121312E-020   1.97358677E-020   7.52688772E-003   7.54460744E-003  -1.50714952E-002   7.53574776E-003  -1.28263708E-005   8.24345524E-006
      51       1     1.19769217E+001   1.00002269E+000   2.66567852E-002   1.19999997E+001   0.00000000E+000  -3.17163794E-021  -2.71244931E-020  -1.19999997E+001   1.57420122E-020  -2.93073400E-020  -7.62329653E-021   7.68696267E-003   7.70333039E-003  -1.53902931E-002   7.69514670E-003  -1.22771906E-005   7.59997182E-006
      52       1     1.19764418E+001   1.00002269E+000   2.72113185E-002   1.19999997E+001   0.00000000E+000   4.47550206E-021   2.58771047E-020  -1.19999997E+001  -2.59863339E-020  -2.15993402E-020   2.43945489E-020   7.84774367E-003   7.86271065E-003  -1.57104543E-002   7.85522732E-003  -1.17123992E-005   6.93759064E-006
      53       1     1.19759598E+001   1.00002269E+000   2.77681878E-002   1.19999997E+001   0.00000000E+000   1.26647969E-020  -2.42328351E-020  -1.19999997E+001  -4.92662776E-020   2.66815378E-020  -3.98952518E-020   8.00921160E-003   8.02275251E-003  -1.60319641E-002   8.01598221E-003  -1.11224862E-005   6.24060018E-006
      54       1     1.19754759E+001   1.00002269E+000   2.83273095E-002   1.19999997E+001   0.00000000E+000  -7.34933431E-021  -6.25467657E-020  -1.19999997E+001   1.59896494E-020   2.16840434E-020  -2.24463731E-020   8.17135033E-003   8.18342392E-003  -1.63547743E-002   8.17738727E-003  -1.05271832E-005   5.51787235E-006
      55       1     1.19749902E+001   1.00002269E+000   2.88886107E-002   1.19999997E+001   0.00000000E+000  -9.23476844E-021  -2.05561827E-020  -1.19999997E+001  -1.31453061E-020  -1.40607469E-020  -3.24413619E-020   8.33412948E-003   8.34471317E-003  -1.66788426E-002   8.33942145E-003  -9.92421109E-006   4.79300985E-006
      56       1     1.19745027E+001   1.00002269E+000   2.94518529E-002   1.19999997E+001   0.00000000E+000   1.35015728E-020  -4.02933738E-020  -1.19999997E+001   2.56008677E-020   1.93123512E-020  -3.25260652E-020   8.49746023E-003   8.50657126E-003  -1.70040315E-002   8.50201587E-003  -9.33042172E-006   4.04399892E-006
      57       1     1.19740139E+001   1.00002269E+000   3.00167380E-002   1.19999997E+001   0.00000000E+000  -1.70874835E-021  -4.34556853E-020  -1.19999997E+001   3.48072639E-020  -2.48180654E-020  -4.91279109E-021   8.66127170E-003   8.66889709E-003  -1.73301688E-002   8.66508451E-003  -8.74794006E-006   3.27328318E-006
      58       1     1.19735238E+001   1.00002269E+000   3.05830150E-002   1.19999997E+001   0.00000000E+000   4.82250433E-021  -4.84198443E-021  -1.19999997E+001   2.43511426E-020   4.76879549E-020   3.87094057E-020   8.82546336E-003   8.83164617E-003  -1.76571095E-002   8.82855487E-003  -8.22784823E-006   2.51463200E-006
      59       1     1.19730326E+001   1.00002269E+000   3.11506248E-002   1.19999997E+001   0.00000000E+000   5.26173724E-021  -1.23992719E-020  -1.19999997E+001   1.49000664E-020  -2.85450103E-020  -1.69406589E-021   8.99004891E-003   8.99477075E-003  -1.79848197E-002   8.99240992E-003  -7.71318197E-006   1.74414856E-006
      60       1     1.19725402E+001   1.00002269E+000   3.17196620E-002   1.19999997E+001   0.00000000E+000  -1.55956219E-020  -2.90960780E-021  -1.19999997E+001   9.55565247E-021  -2.09217138E-020  -2.54956917E-020   9.15513553E-003   9.15821837E-003  -1.83133539E-002   9.15667704E-003  -7.10522984E-006   9.78980428E-007
      61       1     1.19720465E+001   1.00002269E+000   3.22901619E-002   1.19999997E+001   0.00000000E+000   8.80533762E-022   9.75510640E-021  -1.19999997E+001   1.39927940E-021  -1.10114283E-020  -5.08219768E-022   9.32070988E-003   9.32202259E-003  -1.86427325E-002   9.32136632E-003  -6.48245246E-006   2.03057063E-007
      62       1     1.19715516E+001   1.00002269E+000   3.28621135E-002   1.19999997E+001   0.00000000E+000   1.72152002E-020   2.67828158E-022  -1.19999997E+001  -2.17014349E-020  -5.67512075E-021   6.94567017E-021   9.48684879E-003   9.48610036E-003  -1.89729491E-002   9.48647464E-003  -5.77352639E-006  -5.90447404E-007
      63       1     1.19710551E+001   1.00002269E+000   3.34358869E-002   1.19999997E+001   0.00000000E+000   2.07229009E-020   4.83598737E-020  -1.19999997E+001  -4.11088499E-020   2.88838235E-020  -3.30342849E-020   9.65356141E-003   9.65065610E-003  -1.93042175E-002   9.65210882E-003  -5.04355264E-006  -1.41293476E-006
      64       1     1.19705566E+001   1.00002269E+000   3.40119518E-002   1.19999997E+001   0.00000000E+000  -7.99002705E-021  -1.33404380E-020  -1.19999997E+001  -9.19177572E-021   2.96461532E-021   2.77826807E-020   9.82085482E-003   9.81595391E-003  -1.96368087E-002   9.81840442E-003  -4.23823581E-006  -2.34008946E-006
