   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850109E+003   5.94276174E-002   2.84783075E+003   2.84777132E+003  -7.13666842E-002  -1.66703712E+002  -1.66632346E+002   2.84778822E+003  -5.44693988E-002   2.84784269E+003   4.25303319E-002  -1.66686815E+002  -1.66644285E+002
       2       1     1.19999997E+001   7.18828529E+003   6.37614044E-002   2.84771555E+003   2.84765179E+003  -7.71947817E-002  -1.66759390E+002  -1.66682195E+002   2.84766819E+003  -6.07979852E-002   2.84772899E+003   4.73646079E-002  -1.66742993E+002  -1.66695629E+002
       3       1     1.19999997E+001   7.18806628E+003   6.81598874E-002   2.84759865E+003   2.84753049E+003  -8.31104387E-002  -1.66815896E+002  -1.66732785E+002   2.84754638E+003  -6.72208749E-002   2.84761360E+003   5.22703236E-002  -1.66800006E+002  -1.66747736E+002
       4       1     1.19999997E+001   7.18784570E+003   7.25900763E-002   2.84748090E+003   2.84740831E+003  -8.90687413E-002  -1.66872808E+002  -1.66783739E+002   2.84742369E+003  -7.36899819E-002   2.84749738E+003   5.72113169E-002  -1.66857429E+002  -1.66800218E+002
       5       1     1.19999997E+001   7.18762352E+003   7.70523470E-002   2.84736231E+003   2.84728525E+003  -9.50701214E-002  -1.66930131E+002  -1.66835061E+002   2.84730012E+003  -8.02058119E-002   2.84738032E+003   6.21880376E-002  -1.66915267E+002  -1.66853079E+002
       6       1     1.19999997E+001   7.18739977E+003   8.15467017E-002   2.84724286E+003   2.84716131E+003  -1.01114585E-001  -1.66987864E+002  -1.66886750E+002   2.84717566E+003  -8.67683913E-002   2.84726243E+003   6.72005079E-002  -1.66973518E+002  -1.66906318E+002
       7       1     1.19999997E+001   7.18717442E+003   8.60731685E-002   2.84712257E+003   2.84703649E+003  -1.07202159E-001  -1.67046008E+002  -1.66938806E+002   2.84705032E+003  -9.33777386E-002   2.84714370E+003   7.22487483E-002  -1.67032184E+002  -1.66959935E+002
       8       1     1.19999997E+001   7.18694748E+003   9.06317557E-002   2.84700143E+003   2.84691079E+003  -1.13332851E-001  -1.67104562E+002  -1.66991229E+002   2.84692409E+003  -1.00033860E-001   2.84702413E+003   7.73327648E-002  -1.67091263E+002  -1.67013930E+002
       9       1     1.19999997E+001   7.18671896E+003   9.52224662E-002   2.84687943E+003   2.84678421E+003  -1.19506661E-001  -1.67163527E+002  -1.67044020E+002   2.84679698E+003  -1.06736752E-001   2.84690372E+003   8.24525569E-002  -1.67150757E+002  -1.67068304E+002
      10       1     1.19999997E+001   7.18648885E+003   9.98453047E-002   2.84675660E+003   2.84665675E+003  -1.25723594E-001  -1.67222901E+002  -1.67097178E+002   2.84666899E+003  -1.13486416E-001   2.84678247E+003   8.76081268E-002  -1.67210664E+002  -1.67123056E+002
      11       1     1.19999997E+001   7.18625715E+003   1.04500288E-001   2.84663291E+003   2.84652841E+003  -1.31983669E-001  -1.67282687E+002  -1.67150703E+002   2.84654011E+003  -1.20282871E-001   2.84666039E+003   9.27994891E-002  -1.67270986E+002  -1.67178186E+002
      12       1     1.19999997E+001   7.18602386E+003   1.09187418E-001   2.84650837E+003   2.84639918E+003  -1.38286888E-001  -1.67342882E+002  -1.67204595E+002   2.84641034E+003  -1.27126113E-001   2.84653747E+003   9.80266429E-002  -1.67331721E+002  -1.67233695E+002
