   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996203E+001   1.00002270E+000   4.41083198E-004   1.19999997E+001   0.00000000E+000  -2.65879372E-021   7.34230327E-021  -1.19999997E+001  -9.90432978E-021   2.16840434E-020   0.00000000E+000   1.48812683E-004   1.04133291E-004  -2.52945974E-004   1.26473521E-004  -1.89904171E-005   3.15651773E-006
       2       1     1.19992357E+001   1.00002270E+000   8.88167502E-004   1.19999997E+001   0.00000000E+000   9.08979469E-021   2.22066975E-021  -1.19999997E+001   6.90484880E-021  -4.33680869E-020  -2.16840434E-020   2.99650181E-004   2.09682367E-004  -5.09332549E-004   2.54667349E-004  -3.82477652E-005   6.36665295E-006
       3       1     1.19988455E+001   1.00002270E+000   1.34179137E-003   1.19999997E+001   0.00000000E+000   8.64677744E-022  -4.59846246E-021  -1.19999997E+001   3.29426954E-020  -4.33680869E-020  -6.50521303E-020   4.52692543E-004   3.16777292E-004  -7.69469835E-004   3.84736542E-004  -5.77829249E-005   9.61826635E-006
       4       1     1.19984525E+001   1.00002270E+000   1.79870390E-003   1.19999997E+001   0.00000000E+000   7.20267518E-023  -1.15150986E-020  -1.19999997E+001   1.47177144E-020  -4.33680869E-020   0.00000000E+000   6.06843910E-004   4.24649191E-004  -1.03149310E-003   5.15748728E-004  -7.74597495E-005   1.28933231E-005
       5       1     1.19980567E+001   1.00002270E+000   2.25890477E-003   1.19999997E+001   0.00000000E+000  -3.36196412E-023  -1.09390914E-020  -1.19999997E+001   6.00367689E-021  -4.33680869E-020  -2.16840434E-020   7.62104184E-004   5.33297968E-004  -1.29540215E-003   6.47703810E-004  -9.72782657E-005   1.61918629E-005
       6       1     1.19976580E+001   1.00002270E+000   2.72239514E-003   1.19999997E+001   0.00000000E+000  -6.50961157E-021  -9.86082008E-022  -1.19999997E+001   1.60389287E-020  -2.16840434E-020   0.00000000E+000   9.18473770E-004   6.42723882E-004  -1.56119765E-003   7.80602121E-004  -1.17238581E-004   1.95139539E-005
       7       1     1.19972565E+001   1.00002270E+000   3.18917566E-003   1.19999997E+001   0.00000000E+000  -1.21681473E-020  -5.14678239E-021  -1.19999997E+001   1.94631462E-021   6.50521303E-020  -6.50521303E-020   1.07595290E-003   7.52927065E-004  -1.82887996E-003   9.14443842E-004  -1.37340782E-004   2.28596536E-005
       8       1     1.19968522E+001   1.00002270E+000   3.65924563E-003   1.19999997E+001   0.00000000E+000   5.56001856E-021   6.81952512E-021  -1.19999997E+001   1.39712873E-020   6.50521303E-020  -4.33680869E-020   1.23454135E-003   8.63907330E-004  -2.09844868E-003   1.04922877E-003  -1.57584894E-004   2.62289985E-005
       9       1     1.19964451E+001   1.00002270E+000   4.13260400E-003   1.19999997E+001   0.00000000E+000  -1.58853833E-021  -2.49804900E-020  -1.19999997E+001   8.36774874E-021   4.33680869E-020   2.16840434E-020   1.39423879E-003   9.75664408E-004  -2.36990320E-003   1.18495660E-003  -1.77970916E-004   2.96220226E-005
      10       1     1.19960351E+001   1.00002270E+000   4.60925009E-003   1.19999997E+001   0.00000000E+000  -7.91298035E-021  -1.36793753E-020  -1.19999997E+001  -9.61092882E-021  -1.08420217E-019   2.16840434E-020   1.55504500E-003   1.08819812E-003  -2.64324312E-003   1.32162714E-003  -1.98498873E-004   3.30387667E-005
      11       1     1.19956223E+001   1.00002270E+000   5.08918436E-003   1.19999997E+001   0.00000000E+000   3.42651749E-021  -1.20535105E-020  -1.19999997E+001   3.76718730E-021   0.00000000E+000  -6.50521303E-020   1.71696015E-003   1.20150855E-003  -2.91846870E-003   1.45924051E-003  -2.19168846E-004   3.64793185E-005
      12       1     1.19952067E+001   1.00002270E+000   5.57240604E-003   1.19999997E+001   0.00000000E+000   6.50822604E-021   1.65644986E-021  -1.19999997E+001   2.17669890E-020   0.00000000E+000   2.16840434E-020   1.87998399E-003   1.31559549E-003  -3.19557948E-003   1.59779649E-003  -2.39980863E-004   3.99437250E-005
      13       1     1.19947883E+001   1.00002270E+000   6.05891551E-003   1.19999997E+001   0.00000000E+000  -5.57181623E-021   1.49727963E-020  -1.19999997E+001   3.71440284E-022  -1.30104261E-019   4.33680869E-020   2.04411668E-003   1.43045901E-003  -3.47457569E-003   1.73729518E-003  -2.60935006E-004   4.34320397E-005
      14       1     1.19943670E+001   1.00002270E+000   6.54871302E-003   1.19999997E+001   0.00000000E+000  -1.06252435E-020   1.37793814E-020  -1.19999997E+001  -1.22562783E-020  -4.33680869E-020  -4.33680869E-020   2.20935831E-003   1.54609914E-003  -3.75545745E-003   1.87773665E-003  -2.82031340E-004   4.69442953E-005
      15       1     1.19939429E+001   1.00002270E+000   7.04179949E-003   1.19999997E+001   0.00000000E+000  -1.06025374E-020  -1.36389675E-021  -1.19999997E+001  -7.57185623E-021  -4.33680869E-020   0.00000000E+000   2.37570923E-003   1.66251606E-003  -4.03822529E-003   2.01912117E-003  -3.03269959E-004   5.04805388E-005
      16       1     1.19935160E+001   1.00002270E+000   7.53817555E-003   1.19999997E+001   0.00000000E+000  -1.25300389E-020  -1.32488278E-020  -1.19999997E+001   5.76013423E-021  -2.16840434E-020   6.50521303E-020   2.54316967E-003   1.77970990E-003  -4.32287957E-003   2.16144891E-003  -3.24650936E-004   5.40408003E-005
      17       1     1.19930863E+001   1.00002270E+000   8.03784063E-003   1.19999997E+001   0.00000000E+000   1.43277052E-020  -5.17748889E-021  -1.19999997E+001   3.15844441E-021   2.16840434E-020   2.16840434E-020   2.71173947E-003   1.89768047E-003  -4.60941994E-003   2.30471970E-003  -3.46174299E-004   5.76251133E-005
      18       1     1.19926538E+001   1.00002270E+000   8.54079081E-003   1.19999997E+001   0.00000000E+000   1.22486566E-020  -9.58834679E-021  -1.19999997E+001  -9.64054189E-021   4.33680869E-020  -4.33680869E-020   2.88141734E-003   2.01642681E-003  -4.89784416E-003   2.44893242E-003  -3.67839884E-004   6.12334584E-005
      19       1     1.19922184E+001   1.00002270E+000   9.04702574E-003   1.19999997E+001   0.00000000E+000  -1.61881262E-020  -1.51185041E-020  -1.19999997E+001   3.02634367E-021   4.33680869E-020   2.16840434E-020   3.05220317E-003   2.13594886E-003  -5.18815202E-003   2.59408696E-003  -3.89647646E-004   6.48659857E-005
      20       1     1.19917802E+001   1.00002270E+000   9.55654808E-003   1.19999997E+001   0.00000000E+000  -6.93480308E-021   2.61584702E-020  -1.19999997E+001   8.31345467E-021  -8.67361738E-020   4.33680869E-020   3.22409785E-003   2.25624721E-003  -5.48034506E-003   2.74018410E-003  -4.11597639E-004   6.85228952E-005
      21       1     1.19913392E+001   1.00002270E+000   1.00693592E-002   1.19999997E+001   0.00000000E+000  -1.67516118E-020   2.70545963E-021  -1.19999997E+001   7.58350914E-021   0.00000000E+000  -2.16840434E-020   3.39710185E-003   2.37732219E-003  -5.77442404E-003   2.88722421E-003  -4.33689902E-004   7.22043434E-005
      22       1     1.19908954E+001   1.00002270E+000   1.05854598E-002   1.19999997E+001   0.00000000E+000  -6.73362242E-021  -6.38959800E-021  -1.19999997E+001  -2.79121706E-020   2.16840434E-020  -4.33680869E-020   3.57121545E-003   2.49917398E-003  -6.07038943E-003   3.03520753E-003  -4.55924482E-004   7.59104584E-005
      23       1     1.19904487E+001   1.00002270E+000   1.11048503E-002   1.19999997E+001   0.00000000E+000   9.68361215E-021   1.16162731E-020  -1.19999997E+001  -7.28853653E-021   0.00000000E+000   0.00000000E+000   3.74643870E-003   2.62180262E-003  -6.36824132E-003   3.18413410E-003  -4.78301390E-004   7.96413403E-005
      24       1     1.19899992E+001   1.00002270E+000   1.16275312E-002   1.19999997E+001   0.00000000E+000   2.03329835E-020  -7.28034744E-021  -1.19999997E+001  -1.75485126E-020   0.00000000E+000   0.00000000E+000   3.92277192E-003   2.74520828E-003  -6.66798020E-003   3.33400418E-003  -5.00820689E-004   8.33970794E-005
      25       1     1.19895469E+001   1.00002270E+000   1.21535043E-002   1.19999997E+001   0.00000000E+000  -1.43668865E-021  -9.15759248E-021  -1.19999997E+001  -1.66063332E-020  -6.50521303E-020   6.50521303E-020   4.10021560E-003   2.86939130E-003  -6.96960690E-003   3.48481816E-003  -5.23482485E-004   8.71777768E-005
      26       1     1.19890918E+001   1.00002270E+000   1.26827709E-002   1.19999997E+001   0.00000000E+000   1.05139516E-020   1.08108784E-020  -1.19999997E+001  -1.61005330E-020   0.00000000E+000   4.33680869E-020   4.27877026E-003   2.99435202E-003  -7.27312228E-003   3.63657649E-003  -5.46286897E-004   9.09835159E-005
      27       1     1.19886338E+001   1.00002270E+000   1.32153317E-002   1.19999997E+001   0.00000000E+000  -1.74426888E-020  -6.08904193E-021  -1.19999997E+001  -7.26142569E-021   0.00000000E+000   0.00000000E+000   4.45843612E-003   3.12009060E-003  -7.57852671E-003   3.78927935E-003  -5.69234023E-004   9.48143813E-005
      28       1     1.19881731E+001   1.00002270E+000   1.37511872E-002   1.19999997E+001   0.00000000E+000   5.78126611E-021   1.09812362E-020  -1.19999997E+001   8.79785164E-021   0.00000000E+000   4.33680869E-020   4.63921329E-003   3.24660711E-003  -7.88582040E-003   3.94292685E-003  -5.92323936E-004   9.86704335E-005
      29       1     1.19877094E+001   1.00002270E+000   1.42903370E-002   1.19999997E+001   0.00000000E+000  -1.98857321E-020  -1.07889994E-020  -1.19999997E+001   1.66754235E-020   8.67361738E-020  -1.73472348E-019   4.82110171E-003   3.37390152E-003  -8.19500323E-003   4.09751891E-003  -6.15556717E-004   1.02551740E-004
      30       1     1.19872430E+001   1.00002270E+000   1.48327813E-002   1.19999997E+001   0.00000000E+000   1.30524344E-020   5.75701163E-021  -1.19999997E+001   3.42088814E-021   0.00000000E+000   0.00000000E+000   5.00410142E-003   3.50197382E-003  -8.50607523E-003   4.25305557E-003  -6.38932444E-004   1.06458343E-004
      31       1     1.19867737E+001   1.00002269E+000   1.53785208E-002   1.19999997E+001   0.00000000E+000   2.41071346E-020   6.25547066E-021  -1.19999997E+001   1.09963323E-021  -8.67361738E-020   8.67361738E-020   5.18821265E-003   3.63082417E-003  -8.81903682E-003   4.40953703E-003  -6.62451223E-004   1.10390306E-004
      32       1     1.19863017E+001   1.00002269E+000   1.59275567E-002   1.19999997E+001   0.00000000E+000   2.71077426E-021   1.90818987E-020  -1.19999997E+001  -2.45699525E-021  -4.33680869E-020  -4.33680869E-020   5.37343586E-003   3.76045285E-003  -9.13388871E-003   4.56696364E-003  -6.86113203E-004   1.14347666E-004
      33       1     1.19858267E+001   1.00002269E+000   1.64798905E-002   1.19999997E+001   0.00000000E+000   1.44826892E-020   9.57751072E-022  -1.19999997E+001  -4.00414353E-021   0.00000000E+000  -8.67361738E-020   5.55977150E-003   3.89086018E-003  -9.45063168E-003   4.72533579E-003  -7.09918522E-004   1.18330457E-004
      34       1     1.19853490E+001   1.00002269E+000   1.70355233E-002   1.19999997E+001   0.00000000E+000  -1.47531798E-021  -8.08837882E-021  -1.19999997E+001  -1.30645733E-020   4.33680869E-020   8.67361738E-020   5.74722000E-003   4.02204642E-003  -9.76926642E-003   4.88465383E-003  -7.33867320E-004   1.22338739E-004
      35       1     1.19848684E+001   1.00002269E+000   1.75944557E-002   1.19999997E+001   0.00000000E+000   2.02190445E-020  -3.68549908E-020  -1.19999997E+001  -2.08477290E-020  -4.33680869E-020   0.00000000E+000   5.93578153E-003   4.15401164E-003  -1.00897932E-002   5.04491789E-003  -7.57959674E-004   1.26372526E-004
      36       1     1.19843850E+001   1.00002269E+000   1.81566885E-002   1.19999997E+001   0.00000000E+000  -1.03251502E-020  -2.96842035E-021  -1.19999997E+001   9.63429667E-021   1.30104261E-019   0.00000000E+000   6.12545646E-003   4.28675606E-003  -1.04122125E-002   5.20612825E-003  -7.82195701E-004   1.30431837E-004
      37       1     1.19838987E+001   1.00002269E+000   1.87222232E-002   1.19999997E+001   0.00000000E+000   1.11294463E-020  -2.83852404E-020  -1.19999997E+001  -8.73564765E-022  -4.33680869E-020   8.67361738E-020   6.31624527E-003   4.42027995E-003  -1.07365252E-002   5.36828527E-003  -8.06575547E-004   1.34516677E-004
      38       1     1.19834097E+001   1.00002269E+000   1.92910615E-002   1.19999997E+001   0.00000000E+000   1.21768638E-020  -6.67472716E-021  -1.19999997E+001  -5.76995700E-021   8.67361738E-020  -4.33680869E-020   6.50814858E-003   4.55458368E-003  -1.10627323E-002   5.53138949E-003  -8.31099345E-004   1.38627053E-004
      39       1     1.19829178E+001   1.00002269E+000   1.98632131E-002   1.19999997E+001   0.00000000E+000   2.23199127E-020   1.46712889E-021  -1.19999997E+001   3.96668672E-020   4.33680869E-020   4.33680869E-020   6.70116954E-003   4.68966970E-003  -1.13908392E-002   5.69544367E-003  -8.55767166E-004   1.42763759E-004
      40       1     1.19824230E+001   1.00002269E+000   2.04387033E-002   1.19999997E+001   0.00000000E+000   8.95350118E-021   2.75849845E-020  -1.19999997E+001   1.22253572E-020   0.00000000E+000   0.00000000E+000   6.89531658E-003   4.82554418E-003  -1.17208608E-002   5.86045513E-003  -8.80579312E-004   1.46928460E-004
      41       1     1.19819253E+001   1.00002269E+000   2.10175540E-002   1.19999997E+001   0.00000000E+000  -9.70680939E-021   5.81640320E-021  -1.19999997E+001  -1.27519197E-020  -8.67361738E-020  -4.33680869E-020   7.09059696E-003   4.96221238E-003  -1.20528093E-002   6.02643012E-003  -9.05536024E-004   1.51122452E-004
      42       1     1.19814248E+001   1.00002269E+000   2.15997793E-002   1.19999997E+001   0.00000000E+000   1.41467375E-020   5.70258314E-022  -1.19999997E+001   5.51146306E-021  -4.33680869E-020  -8.67361738E-020   7.28701541E-003   5.09967774E-003  -1.23866932E-002   6.19337273E-003  -9.30637459E-004   1.55346634E-004
      43       1     1.19809213E+001   1.00002269E+000   2.21853867E-002   1.19999997E+001   0.00000000E+000  -6.36004956E-021   1.80041651E-020  -1.19999997E+001   9.68940758E-021  -8.67361738E-020  -4.33680869E-020   7.48457439E-003   5.23794213E-003  -1.27225165E-002   6.36128513E-003  -9.55883754E-004   1.59601498E-004
      44       1     1.19804149E+001   1.00002269E+000   2.27743743E-002   1.19999997E+001   0.00000000E+000  -2.19052936E-021   1.14818046E-020  -1.19999997E+001   1.08313925E-020   4.33680869E-020   0.00000000E+000   7.68327323E-003   5.37700512E-003  -1.30602784E-002   6.53016675E-003  -9.81274822E-004   1.63887171E-004
      45       1     1.19799057E+001   1.00002269E+000   2.33667346E-002   1.19999997E+001   0.00000000E+000   2.46908760E-021  -1.93435359E-020  -1.19999997E+001   3.03666275E-020   8.67361738E-020   8.67361738E-020   7.88310938E-003   5.51686489E-003  -1.33999743E-002   6.70001543E-003  -1.00681056E-003   1.68203574E-004
      46       1     1.19791978E+001   1.00002269E+000   2.41885134E-002   1.19999997E+001   0.00000000E+000  -5.22225358E-021  -2.54651687E-020  -1.19999997E+001   1.88521079E-020   0.00000000E+000   0.00000000E+000   8.15879347E-003   5.71340156E-003  -1.38721950E-002   6.93612664E-003  -1.03193249E-003   1.73181003E-004
      47       1     1.19785514E+001   1.00002269E+000   2.49407924E-002   1.19999997E+001   0.00000000E+000   1.60961903E-020   1.07356049E-020  -1.19999997E+001  -3.85155973E-021   0.00000000E+000  -4.33680869E-020   8.41229275E-003   5.89106951E-003  -1.43033623E-002   7.15171129E-003  -1.06638700E-003   1.86499032E-004
      48       1     1.19780740E+001   1.00002269E+000   2.54963415E-002   1.19999997E+001   0.00000000E+000  -7.12729803E-021   1.01514293E-020  -1.19999997E+001   2.26641491E-020  -8.67361738E-020   4.33680869E-020   8.59976652E-003   6.02208281E-003  -1.46218493E-002   7.31095551E-003  -1.09169220E-003   1.89674672E-004
      49       1     1.19775933E+001   1.00002269E+000   2.60556610E-002   1.19999997E+001   0.00000000E+000  -5.41706624E-021   3.41484972E-021  -1.19999997E+001  -6.15105979E-020   0.00000000E+000   0.00000000E+000   8.78855349E-003   6.15396102E-003  -1.49425145E-002   7.47128878E-003  -1.11686407E-003   1.93110104E-004
      50       1     1.19771105E+001   1.00002269E+000   2.66174630E-002   1.19999997E+001   0.00000000E+000   1.42828449E-020  -6.66591768E-021  -1.19999997E+001   7.12264546E-021  -4.33680869E-020   0.00000000E+000   8.97818991E-003   6.28641163E-003  -1.52646015E-002   7.63233299E-003  -1.14215094E-003   1.96554146E-004
      51       1     1.19766255E+001   1.00002269E+000   2.71818150E-002   1.19999997E+001   0.00000000E+000   6.44880345E-021  -1.41846999E-020  -1.19999997E+001   4.63121881E-021   1.73472348E-019  -8.67361738E-020   9.16875530E-003   6.41938765E-003  -1.55881429E-002   7.79410438E-003  -1.16757521E-003   1.99968338E-004
      52       1     1.19761384E+001   1.00002269E+000   2.77486652E-002   1.19999997E+001   0.00000000E+000  -2.24579536E-023  -2.29588529E-020  -1.19999997E+001   2.67502765E-020  -2.16840434E-019   8.67361738E-020   9.36017402E-003   6.55294152E-003  -1.59131155E-002   7.95659137E-003  -1.19311277E-003   2.03392221E-004
      53       1     1.19756492E+001   1.00002269E+000   2.83179700E-002   1.19999997E+001   0.00000000E+000  -5.96151459E-021   7.94449076E-021  -1.19999997E+001   1.17018760E-020   1.73472348E-019   1.30104261E-019   9.55244003E-003   6.68705565E-003  -1.62394957E-002   8.11978214E-003  -1.21873472E-003   2.06827133E-004
      54       1     1.19751578E+001   1.00002269E+000   2.88898231E-002   1.19999997E+001   0.00000000E+000  -1.83203238E-020  -2.50482284E-020  -1.19999997E+001   1.20790703E-020   4.33680869E-020   8.67361738E-020   9.74557459E-003   6.82176165E-003  -1.65673362E-002   8.28370312E-003  -1.24447099E-003   2.10248149E-004
      55       1     1.19746644E+001   1.00002269E+000   2.94640514E-002   1.19999997E+001   0.00000000E+000   1.84236852E-020  -7.91636662E-021  -1.19999997E+001   9.04482709E-021   4.33680869E-020   0.00000000E+000   9.93953472E-003   6.95700010E-003  -1.68965348E-002   8.44830312E-003  -1.27033452E-003   2.13670888E-004
      56       1     1.19741690E+001   1.00002269E+000   3.00404820E-002   1.19999997E+001   0.00000000E+000  -3.84480011E-021  -2.07480886E-020  -1.19999997E+001   1.47700750E-020  -4.33680869E-020   4.33680869E-020   1.01342695E-002   7.09272277E-003  -1.72269923E-002   8.61353255E-003  -1.29630865E-003   2.17089924E-004
      57       1     1.19736719E+001   1.00002269E+000   3.06190755E-002   1.19999997E+001   0.00000000E+000  -1.74678832E-021   1.93137160E-020  -1.19999997E+001   2.74552826E-020   4.33680869E-020   0.00000000E+000   1.03297536E-002   7.22893692E-003  -1.75586905E-002   8.77938239E-003  -1.32234601E-003   2.20525853E-004
      58       1     1.19731729E+001   1.00002269E+000   3.11997392E-002   1.19999997E+001   0.00000000E+000  -2.09116946E-020  -1.33466419E-020  -1.19999997E+001   1.82064107E-020   1.30104261E-019   4.33680869E-020   1.05259830E-002   7.36559087E-003  -1.78915739E-002   8.94582478E-003  -1.34843971E-003   2.23991563E-004
      59       1     1.19726723E+001   1.00002269E+000   3.17824427E-002   1.19999997E+001   0.00000000E+000   3.01187835E-021  -1.09469496E-020  -1.19999997E+001  -3.77324227E-020  -8.67361738E-020   8.67361738E-020   1.07228763E-002   7.50275461E-003  -1.82256309E-002   9.11285401E-003  -1.37460535E-003   2.27436151E-004
      60       1     1.19721695E+001   1.00002269E+000   3.23675674E-002   1.19999997E+001   0.00000000E+000  -9.56675737E-021  -1.48965302E-020  -1.19999997E+001   1.38633816E-020  -1.30104261E-019  -2.16840434E-019   1.09206678E-002   7.64039782E-003  -1.85610656E-002   9.28057207E-003  -1.40092534E-003   2.30838494E-004
      61       1     1.19716649E+001   1.00002269E+000   3.29549097E-002   1.19999997E+001   0.00000000E+000  -2.58321784E-020   8.60193391E-021  -1.19999997E+001   4.58437971E-021  -4.33680869E-020   0.00000000E+000   1.11192012E-002   7.77857479E-003  -1.88977760E-002   9.44892799E-003  -1.42729812E-003   2.34244815E-004
      62       1     1.19711580E+001   1.00002269E+000   3.35448140E-002   1.19999997E+001   0.00000000E+000  -4.34005124E-021  -2.12711976E-020  -1.19999997E+001  -1.98037585E-020   0.00000000E+000  -1.30104261E-019   1.13186402E-002   7.91731330E-003  -1.92359535E-002   9.61801745E-003  -1.45376249E-003   2.37648272E-004
