   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850043E+003   5.81171296E-002   2.84782808E+003   2.84776996E+003  -7.61409138E-002  -1.66704873E+002  -1.66628732E+002   2.84778738E+003  -5.87241165E-002   2.84784610E+003   4.07003323E-002  -1.66687456E+002  -1.66646756E+002
       2       1     1.19999997E+001   7.18828400E+003   6.11193907E-002   2.84771021E+003   2.84764909E+003  -8.68102357E-002  -1.66761714E+002  -1.66674903E+002   2.84766653E+003  -6.93694422E-002   2.84773590E+003   4.36785972E-002  -1.66744273E+002  -1.66700594E+002
       3       1     1.19999997E+001   7.18806438E+003   6.41645658E-002   2.84759059E+003   2.84752643E+003  -9.76358526E-002  -1.66819393E+002  -1.66721757E+002   2.84754390E+003  -8.01643957E-002   2.84762407E+003   4.66931089E-002  -1.66801921E+002  -1.66755228E+002
       4       1     1.19999997E+001   7.18784316E+003   6.72318283E-002   2.84747010E+003   2.84740287E+003  -1.08540713E-001  -1.66877495E+002  -1.66768954E+002   2.84742038E+003  -9.10378592E-002   2.84751141E+003   4.97289748E-002  -1.66859992E+002  -1.66810263E+002
       5       1     1.19999997E+001   7.18762030E+003   7.03222683E-002   2.84734872E+003   2.84727840E+003  -1.19527271E-001  -1.66936028E+002  -1.66816500E+002   2.84729593E+003  -1.01993542E-001   2.84739793E+003   5.27885388E-002  -1.66918494E+002  -1.66865706E+002
       6       1     1.19999997E+001   7.18739579E+003   7.34356802E-002   2.84722644E+003   2.84715301E+003  -1.30595170E-001  -1.66994993E+002  -1.66864398E+002   2.84717057E+003  -1.13030836E-001   2.84728360E+003   5.58713462E-002  -1.66977429E+002  -1.66921558E+002
       7       1     1.19999997E+001   7.18716969E+003   7.65709695E-002   2.84710330E+003   2.84702673E+003  -1.41741796E-001  -1.67054378E+002  -1.66912636E+002   2.84704432E+003  -1.24146323E-001   2.84716847E+003   5.89754964E-002  -1.67036782E+002  -1.66977807E+002
       8       1     1.19999997E+001   7.18694192E+003   7.97300134E-002   2.84697924E+003   2.84689951E+003  -1.52972284E-001  -1.67114201E+002  -1.66961229E+002   2.84691714E+003  -1.35344869E-001   2.84705248E+003   6.21025987E-002  -1.67096574E+002  -1.67034471E+002
       9       1     1.19999997E+001   7.18671255E+003   8.29114415E-002   2.84685431E+003   2.84677139E+003  -1.64282859E-001  -1.67174448E+002  -1.67010165E+002   2.84678905E+003  -1.46622746E-001   2.84693568E+003   6.52513287E-002  -1.67156788E+002  -1.67091536E+002
      10       1     1.19999997E+001   7.18648156E+003   8.61150229E-002   2.84672849E+003   2.84664237E+003  -1.75673426E-001  -1.67235121E+002  -1.67059448E+002   2.84666007E+003  -1.57979905E-001   2.84681805E+003   6.84215015E-002  -1.67217427E+002  -1.67149006E+002
      11       1     1.19999997E+001   7.18624893E+003   8.93418374E-002   2.84660178E+003   2.84651244E+003  -1.87144914E-001  -1.67296223E+002  -1.67109078E+002   2.84653017E+003  -1.69416840E-001   2.84669958E+003   7.16137636E-002  -1.67278495E+002  -1.67206881E+002
      12       1     1.19999997E+001   7.18601472E+003   9.25907976E-002   2.84647421E+003   2.84638162E+003  -1.98695426E-001  -1.67357743E+002  -1.67159048E+002   2.84639938E+003  -1.80931440E-001   2.84658031E+003   7.48268113E-002  -1.67339979E+002  -1.67265152E+002
      13       1     1.19999997E+001   7.18577888E+003   9.58629955E-002   2.84634574E+003   2.84624988E+003  -2.10326795E-001  -1.67419693E+002  -1.67209366E+002   2.84626768E+003  -1.92525622E-001   2.84646021E+003   7.80618230E-002  -1.67401891E+002  -1.67323830E+002
      14       1     1.19999997E+001   7.18554145E+003   9.91574980E-002   2.84621641E+003   2.84611725E+003  -2.22037209E-001  -1.67482063E+002  -1.67260025E+002   2.84613509E+003  -2.04198438E-001   2.84633929E+003   8.13187269E-002  -1.67464224E+002  -1.67382905E+002
      15       1     1.19999997E+001   7.18530237E+003   1.02475411E-001   2.84608618E+003   2.84598370E+003  -2.33828906E-001  -1.67544864E+002  -1.67311035E+002   2.84600158E+003  -2.15953114E-001   2.84621753E+003   8.45996195E-002  -1.67526988E+002  -1.67442389E+002
      16       1     1.19999997E+001   7.18506166E+003   1.05814870E-001   2.84595506E+003   2.84584925E+003  -2.45700691E-001  -1.67608093E+002  -1.67362393E+002   2.84586716E+003  -2.27785788E-001   2.84609495E+003   8.78999663E-002  -1.67590178E+002  -1.67502278E+002
      17       1     1.19999997E+001   7.18481936E+003   1.09177096E-001   2.84582307E+003   2.84571389E+003  -2.57652375E-001  -1.67671746E+002  -1.67414093E+002   2.84573185E+003  -2.39697420E-001   2.84597155E+003   9.12221405E-002  -1.67653791E+002  -1.67562569E+002
      18       1     1.19999997E+001   7.18457540E+003   1.12563246E-001   2.84569018E+003   2.84557762E+003  -2.69686031E-001  -1.67735832E+002  -1.67466146E+002   2.84559561E+003  -2.51689963E-001   2.84584730E+003   9.45671780E-002  -1.67717836E+002  -1.67623269E+002
      19       1     1.19999997E+001   7.18432976E+003   1.15973938E-001   2.84555637E+003   2.84544040E+003  -2.81803137E-001  -1.67800361E+002  -1.67518558E+002   2.84545843E+003  -2.63766847E-001   2.84572220E+003   9.79376477E-002  -1.67782325E+002  -1.67684387E+002
      20       1     1.19999997E+001   7.18408249E+003   1.19407447E-001   2.84542168E+003   2.84530227E+003  -2.94000888E-001  -1.67865319E+002  -1.67571318E+002   2.84532035E+003  -2.75923239E-001   2.84559627E+003   1.01329799E-001  -1.67847241E+002  -1.67745911E+002
      21       1     1.19999997E+001   7.18383360E+003   1.22864239E-001   2.84528609E+003   2.84516322E+003  -3.06280115E-001  -1.67930706E+002  -1.67624426E+002   2.84518134E+003  -2.88160746E-001   2.84546950E+003   1.04744870E-001  -1.67912587E+002  -1.67807842E+002
      22       1     1.19999997E+001   7.18358308E+003   1.26344061E-001   2.84514962E+003   2.84502328E+003  -3.18639593E-001  -1.67996519E+002  -1.67677880E+002   2.84504144E+003  -3.00478506E-001   2.84534192E+003   1.08182974E-001  -1.67978358E+002  -1.67870175E+002
      23       1     1.19999997E+001   7.18333098E+003   1.29847009E-001   2.84501228E+003   2.84488244E+003  -3.31078175E-001  -1.68062752E+002  -1.67731674E+002   2.84490064E+003  -3.12874338E-001   2.84521351E+003   1.11643172E-001  -1.68044548E+002  -1.67932905E+002
      24       1     1.19999997E+001   7.18307726E+003   1.33371214E-001   2.84487407E+003   2.84474070E+003  -3.43595703E-001  -1.68129408E+002  -1.67785812E+002   2.84475894E+003  -3.25347836E-001   2.84508429E+003   1.15123348E-001  -1.68111160E+002  -1.67996037E+002
      25       1     1.19999997E+001   7.18282194E+003   1.36918626E-001   2.84473497E+003   2.84459806E+003  -3.56193180E-001  -1.68196487E+002  -1.67840294E+002   2.84461635E+003  -3.37901641E-001   2.84495425E+003   1.18627087E-001  -1.68178195E+002  -1.68059568E+002
      26       1     1.19999997E+001   7.18256495E+003   1.40489573E-001   2.84459497E+003   2.84445448E+003  -3.68874202E-001  -1.68264006E+002  -1.67895131E+002   2.84447282E+003  -3.50539668E-001   2.84482336E+003   1.22155039E-001  -1.68245671E+002  -1.68123516E+002
      27       1     1.19999997E+001   7.18230635E+003   1.44083319E-001   2.84445409E+003   2.84431001E+003  -3.81635030E-001  -1.68331947E+002  -1.67950312E+002   2.84432839E+003  -3.63256938E-001   2.84469164E+003   1.25705228E-001  -1.68313569E+002  -1.68187864E+002
      28       1     1.19999997E+001   7.18204615E+003   1.47699719E-001   2.84431234E+003   2.84416464E+003  -3.94476295E-001  -1.68400312E+002  -1.68005836E+002   2.84418306E+003  -3.76053852E-001   2.84455911E+003   1.29277276E-001  -1.68381889E+002  -1.68252612E+002
      29       1     1.19999997E+001   7.18178431E+003   1.51339540E-001   2.84416969E+003   2.84401835E+003  -4.07399422E-001  -1.68469108E+002  -1.68061708E+002   2.84403681E+003  -3.88931448E-001   2.84442575E+003   1.32871566E-001  -1.68450640E+002  -1.68317768E+002
      30       1     1.19999997E+001   7.18152083E+003   1.55003536E-001   2.84402614E+003   2.84387114E+003  -4.20405823E-001  -1.68538335E+002  -1.68117929E+002   2.84388965E+003  -4.01892532E-001   2.84429155E+003   1.36490245E-001  -1.68519822E+002  -1.68383332E+002
      31       1     1.19999997E+001   7.18125575E+003   1.58690198E-001   2.84388173E+003   2.84372304E+003  -4.33492281E-001  -1.68607986E+002  -1.68174493E+002   2.84374160E+003  -4.14932846E-001   2.84415653E+003   1.40130763E-001  -1.68589426E+002  -1.68449295E+002
      32       1     1.19999997E+001   7.18098906E+003   1.62399754E-001   2.84373643E+003   2.84357403E+003  -4.46658986E-001  -1.68678061E+002  -1.68231403E+002   2.84359263E+003  -4.28053948E-001   2.84402069E+003   1.43794715E-001  -1.68659456E+002  -1.68515662E+002
      33       1     1.19999997E+001   7.18072076E+003   1.66132146E-001   2.84359025E+003   2.84342412E+003  -4.59906052E-001  -1.68748560E+002  -1.68288654E+002   2.84344277E+003  -4.41254444E-001   2.84388403E+003   1.47480538E-001  -1.68729908E+002  -1.68582428E+002
      34       1     1.19999997E+001   7.18045085E+003   1.69887150E-001   2.84344320E+003   2.84327331E+003  -4.73233588E-001  -1.68819483E+002  -1.68346249E+002   2.84329201E+003  -4.54534755E-001   2.84374654E+003   1.51188318E-001  -1.68800784E+002  -1.68649596E+002
      35       1     1.19999997E+001   7.18017931E+003   1.73665683E-001   2.84329525E+003   2.84312159E+003  -4.86641930E-001  -1.68890836E+002  -1.68404194E+002   2.84314033E+003  -4.67895572E-001   2.84360823E+003   1.54919325E-001  -1.68872089E+002  -1.68717170E+002
      36       1     1.19999997E+001   7.17990614E+003   1.77467574E-001   2.84314642E+003   2.84296895E+003  -5.00131416E-001  -1.68962619E+002  -1.68462487E+002   2.84298775E+003  -4.81336332E-001   2.84346908E+003   1.58672490E-001  -1.68943824E+002  -1.68785151E+002
      37       1     1.19999997E+001   7.17963129E+003   1.81292811E-001   2.84299667E+003   2.84281538E+003  -5.13703382E-001  -1.69034842E+002  -1.68521138E+002   2.84283422E+003  -4.94860719E-001   2.84332908E+003   1.62450149E-001  -1.69015999E+002  -1.68853549E+002
      38       1     1.19999997E+001   7.17935474E+003   1.85144106E-001   2.84284599E+003   2.84266084E+003  -5.27361456E-001  -1.69107516E+002  -1.68580155E+002   2.84267973E+003  -5.08472055E-001   2.84318820E+003   1.66254705E-001  -1.69088627E+002  -1.68922372E+002
