   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.83074771E+003   2.83049867E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83054263E+003   0.00000000E+000   2.82914589E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.84862913E+003   2.84847949E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84855573E+003   0.00000000E+000   2.84732398E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.88099039E+003   2.88076488E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88103306E+003   0.00000000E+000   2.87976406E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.88143077E+003   2.88132509E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88157757E+003   0.00000000E+000   2.88028312E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.88185746E+003   2.88187264E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88210883E+003   0.00000000E+000   2.88078900E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.88227999E+003   2.88241723E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88263676E+003   0.00000000E+000   2.88129066E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.88269570E+003   2.88295600E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88315881E+003   0.00000000E+000   2.88178518E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.88309689E+003   2.88348112E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88366673E+003   0.00000000E+000   2.88226451E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.88348235E+003   2.88399089E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88415901E+003   0.00000000E+000   2.88272758E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.88385444E+003   2.88448719E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88463739E+003   0.00000000E+000   2.88317598E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.88421897E+003   2.88497749E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88510906E+003   0.00000000E+000   2.88361644E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.88456865E+003   2.88545429E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88556687E+003   0.00000000E+000   2.88404179E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.88491175E+003   2.88592560E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88601870E+003   0.00000000E+000   2.88445987E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.88524924E+003   2.88639015E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88646442E+003   0.00000000E+000   2.88486951E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.88558397E+003   2.88685112E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88690735E+003   0.00000000E+000   2.88527453E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.88591540E+003   2.88730800E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88734709E+003   0.00000000E+000   2.88567467E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
