    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18849890E+003   3.92642991E-021   1.21097329E-020  -1.19999997E+001   6.45736994E-021   0.00000000E+000  -4.33680869E-020  -6.98629027E+003  -6.98629656E+003  -1.41660925E+004  -2.04124959E+002   3.14784704E-003  -1.49933664E-002   4.42675465E-004   1.19996201E+001   0.00000000E+000   7.67650620E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828108E+003   6.95472780E-021   1.17731893E-020  -1.19999997E+001  -8.52432369E-021   0.00000000E+000  -4.33680869E-020  -6.98635785E+003  -6.98637811E+003  -1.41659434E+004  -2.04190800E+002   1.06344374E-002  -3.23385687E-002   8.91328484E-004   1.19992353E+001   0.00000000E+000   7.73094040E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806007E+003   5.14899252E-021  -1.95861170E-020  -1.19999997E+001   8.39563821E-021  -8.67361738E-020  -4.33680869E-020  -6.98642643E+003  -6.98646086E+003  -1.41657921E+004  -2.04257608E+002   1.82298899E-002  -4.99394232E-002   1.34656803E-003   1.19988448E+001   0.00000000E+000   7.78536491E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18783746E+003   8.29573232E-021   7.13771049E-021  -1.19999997E+001  -1.25901025E-021  -8.67361738E-020   8.67361738E-020  -6.98649550E+003  -6.98654420E+003  -1.41656397E+004  -2.04324901E+002   2.58808970E-002  -6.76687644E-002   1.80511048E-003   1.19984516E+001   0.00000000E+000   7.83980181E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18761325E+003   4.74730868E-021  -1.70053513E-020  -1.19999997E+001   2.81235204E-021   0.00000000E+000   0.00000000E+000  -6.98656507E+003  -6.98662815E+003  -1.41654862E+004  -2.04392678E+002   3.35874665E-002  -8.55265990E-002   2.26695554E-003   1.19980555E+001   0.00000000E+000   7.89425079E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18738743E+003   8.78734127E-021  -2.91282140E-020  -1.19999997E+001  -5.62559331E-021  -4.33680869E-020  -4.33680869E-020  -6.98663514E+003  -6.98671270E+003  -1.41653315E+004  -2.04460939E+002   4.13496361E-002  -1.03512996E-001   2.73210438E-003   1.19976565E+001   0.00000000E+000   7.94871175E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18716002E+003   3.42555137E-021   6.72313790E-021  -1.19999997E+001  -5.07426967E-021   4.33680869E-020   4.33680869E-020  -6.98670570E+003  -6.98679784E+003  -1.41651758E+004  -2.04529686E+002   4.91674367E-002  -1.21628010E-001   3.20055774E-003   1.19972548E+001   0.00000000E+000   8.00318451E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18693100E+003  -8.81451933E-021   1.74640265E-020  -1.19999997E+001   6.60392050E-021   0.00000000E+000   1.73472348E-019  -6.98677676E+003  -6.98688359E+003  -1.41650190E+004  -2.04598918E+002   5.70408780E-002  -1.39871636E-001   3.67231499E-003   1.19968502E+001   0.00000000E+000   8.05766876E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18670038E+003  -2.19943189E-021   9.16437537E-021  -1.19999997E+001   9.57192725E-022   4.33680869E-020   0.00000000E+000  -6.98684832E+003  -6.98696994E+003  -1.41648611E+004  -2.04668634E+002   6.49699602E-002  -1.58243858E-001   4.14737522E-003   1.19964428E+001   0.00000000E+000   8.11216418E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18646817E+003   1.09347745E-020  -1.33595873E-021  -1.19999997E+001  -9.63770879E-021  -4.33680869E-020  -4.33680869E-020  -6.98692038E+003  -6.98705689E+003  -1.41647021E+004  -2.04738834E+002   7.29546890E-002  -1.76744663E-001   4.62573775E-003   1.19960326E+001   0.00000000E+000   8.16667048E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18623435E+003   3.75949453E-021   2.10347480E-020  -1.19999997E+001   1.02799008E-020   0.00000000E+000   0.00000000E+000  -6.98699294E+003  -6.98714443E+003  -1.41645420E+004  -2.04809520E+002   8.09950956E-002  -1.95374093E-001   5.10740299E-003   1.19956195E+001   0.00000000E+000   8.22118749E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18599893E+003   4.55488555E-021  -1.70679801E-020  -1.19999997E+001   8.13250891E-021   8.67361738E-020   4.33680869E-020  -6.98706599E+003  -6.98723258E+003  -1.41643808E+004  -2.04880690E+002   8.90911884E-002  -2.14132140E-001   5.59237012E-003   1.19952036E+001   0.00000000E+000   8.27571491E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
        13     1.19999997E+001   7.18576191E+003   1.64984275E-021   1.74063823E-020  -1.19999997E+001  -1.19207686E-020  -4.33680869E-020   0.00000000E+000  -6.98713954E+003  -6.98732133E+003  -1.41642185E+004  -2.04952344E+002   9.72429983E-002  -2.33018847E-001   6.08063960E-003   1.19947849E+001   0.00000000E+000   8.33025258E+014   0.00000000E+000   1.00000000E-014   1.30000000E-013
        14     1.19999997E+001   7.18552329E+003   5.03980468E-022   1.30154801E-020  -1.19999997E+001  -7.85032658E-021   0.00000000E+000  -8.67361738E-020  -6.98721359E+003  -6.98741067E+003  -1.41640551E+004  -2.05024483E+002   1.05450552E-001  -2.52034245E-001   6.57221178E-003   1.19943634E+001   0.00000000E+000   8.38480038E+014   0.00000000E+000   1.00000000E-014   1.40000000E-013
        15     1.19999997E+001   7.18528308E+003   1.67841150E-021  -3.91727302E-020  -1.19999997E+001   3.31374757E-021  -4.33680869E-020   0.00000000E+000  -6.98728814E+003  -6.98750062E+003  -1.41638906E+004  -2.05097107E+002   1.13713881E-001  -2.71178390E-001   7.06708757E-003   1.19939390E+001   0.00000000E+000   8.43935820E+014   0.00000000E+000   1.00000000E-014   1.50000000E-013
        16     1.19999997E+001   7.18504126E+003   3.48914605E-021  -1.82004757E-020  -1.19999997E+001  -7.89765165E-021   0.00000000E+000   0.00000000E+000  -6.98736319E+003  -6.98759117E+003  -1.41637250E+004  -2.05170215E+002   1.22033014E-001  -2.90451335E-001   7.56526777E-003   1.19935118E+001   0.00000000E+000   8.49392591E+014   0.00000000E+000   1.00000000E-014   1.60000000E-013
        17     1.19999997E+001   7.18479784E+003   9.79189526E-021  -2.01401936E-021  -1.19999997E+001   3.29248903E-021   0.00000000E+000   0.00000000E+000  -6.98743873E+003  -6.98768231E+003  -1.41635583E+004  -2.05243809E+002   1.30407959E-001  -3.09853082E-001   8.06675192E-003   1.19930818E+001   0.00000000E+000   8.54850331E+014   0.00000000E+000   1.00000000E-014   1.70000000E-013
        18     1.19999997E+001   7.18455282E+003  -9.28234166E-021   4.55981658E-020  -1.19999997E+001  -6.67307280E-021   0.00000000E+000   0.00000000E+000  -6.98751477E+003  -6.98777406E+003  -1.41633905E+004  -2.05317886E+002   1.38838687E-001  -3.29383531E-001   8.57153642E-003   1.19926489E+001   0.00000000E+000   8.60308990E+014   0.00000000E+000   1.00000000E-014   1.80000000E-013
