   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996204E+001   1.00002270E+000   4.40997772E-004   1.19999997E+001   0.00000000E+000   7.49124231E-021  -5.67879136E-021  -1.19999997E+001  -8.22775876E-022   1.51788304E-019  -1.08420217E-019   1.37540076E-004   1.15362077E-004  -2.52902153E-004   1.26450910E-004  -4.66138799E-006  -2.68736638E-005
       2       1     1.19992359E+001   1.00002270E+000   8.87989933E-004   1.19999997E+001   0.00000000E+000  -4.91786792E-021  -1.22684844E-020  -1.19999997E+001   1.05080579E-020   1.30104261E-019   0.00000000E+000   2.76957275E-004   2.32283148E-004  -5.09240423E-004   2.54619876E-004  -9.38264240E-006  -5.41241562E-005
       3       1     1.19988458E+001   1.00002270E+000   1.34150281E-003   1.19999997E+001   0.00000000E+000  -7.11827691E-022  -1.61894756E-021  -1.19999997E+001   1.57688025E-021  -1.08420217E-019  -2.16840434E-020   4.18409519E-004   3.50908403E-004  -7.69317921E-004   3.84658455E-004  -1.41783948E-005  -8.17728282E-005
       4       1     1.19984528E+001   1.00002270E+000   1.79830576E-003   1.19999997E+001   0.00000000E+000   1.80624761E-020  -4.26773497E-021  -1.19999997E+001  -2.20007037E-021   6.50521303E-020   2.16840434E-020   5.60887648E-004   4.70394510E-004  -1.03128216E-003   5.15640401E-004  -1.90095065E-005  -1.09622386E-004
       5       1     1.19980571E+001   1.00002270E+000   2.25839852E-003   1.19999997E+001   0.00000000E+000  -6.91775218E-021  -2.95444616E-021  -1.19999997E+001  -7.30731353E-022   1.08420217E-019  -1.08420217E-019   7.04391557E-004   5.90741420E-004  -1.29513298E-003   6.47565637E-004  -2.38759835E-005  -1.37672848E-004
       6       1     1.19976585E+001   1.00002270E+000   2.72178236E-003   1.19999997E+001   0.00000000E+000   7.75006195E-021  -6.43549102E-022  -1.19999997E+001  -2.15288424E-021  -8.67361738E-020  -2.16840434E-020   8.48921627E-004   7.11949480E-004  -1.56087111E-003   7.80434527E-004  -2.87778354E-005  -1.65924349E-004
       7       1     1.19972571E+001   1.00002270E+000   3.18845810E-003   1.19999997E+001   0.00000000E+000  -1.72513687E-021  -9.03602020E-021  -1.19999997E+001  -4.14040086E-021   8.67361738E-020   1.30104261E-019   9.94478096E-004   8.34018911E-004  -1.82849701E-003   9.14247301E-004  -3.37150794E-005  -1.94376984E-004
       8       1     1.19968529E+001   1.00002270E+000   3.65842512E-003   1.19999997E+001   0.00000000E+000   2.38186657E-022   1.41866929E-020  -1.19999997E+001   1.50691887E-021  -6.50521303E-020   4.33680869E-020   1.14106075E-003   9.56949575E-004  -2.09801032E-003   1.04900378E-003  -3.86877139E-005  -2.23030758E-004
       9       1     1.19964458E+001   1.00002270E+000   4.13168247E-003   1.19999997E+001   0.00000000E+000  -3.23937305E-021  -1.84428836E-020  -1.19999997E+001   5.12011293E-021  -2.16840434E-020  -4.33680869E-020   1.28866925E-003   1.08074126E-003  -2.36941051E-003   1.18470370E-003  -4.36957411E-005  -2.51885648E-004
      10       1     1.19960359E+001   1.00002270E+000   4.60822954E-003   1.19999997E+001   0.00000000E+000   1.75413989E-022   6.19615406E-021  -1.19999997E+001  -3.17713740E-021   1.08420217E-019  -1.73472348E-019   1.43730339E-003   1.20539381E-003  -2.64269720E-003   1.32134686E-003  -4.87391370E-005  -2.80941658E-004
      11       1     1.19956232E+001   1.00002270E+000   5.08806698E-003   1.19999997E+001   0.00000000E+000   1.22400190E-020  -1.53186379E-020  -1.19999997E+001   2.32343660E-021  -6.50521303E-020   6.50521303E-020   1.58696336E-003   1.33090743E-003  -2.91787079E-003   1.45893347E-003  -5.38179040E-005  -3.10198880E-004
      12       1     1.19952077E+001   1.00002270E+000   5.57119412E-003   1.19999997E+001   0.00000000E+000  -6.89232736E-021  -3.28359684E-021  -1.19999997E+001   4.96879639E-021   6.50521303E-020  -4.33680869E-020   1.73764892E-003   1.45728193E-003  -3.19493086E-003   1.59746333E-003  -5.89320278E-005  -3.39657318E-004
      13       1     1.19947893E+001   1.00002270E+000   6.05761150E-003   1.19999997E+001   0.00000000E+000  -2.87208095E-021   6.32949299E-021  -1.19999997E+001   2.65150677E-021  -6.50521303E-020  -2.16840434E-020   1.88936026E-003   1.58451747E-003  -3.47387773E-003   1.73693658E-003  -6.40815193E-005  -3.69317044E-004
