    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18849908E+003   7.49124231E-021  -5.67879136E-021  -1.19999997E+001  -8.22775876E-022   1.51788304E-019  -1.08420217E-019  -6.98630392E+003  -6.98628278E+003  -1.41660927E+004  -2.04124904E+002  -6.16186505E-004   1.79010844E-002   4.40997772E-004   1.19996204E+001   0.00000000E+000   7.67646037E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828143E+003  -4.91786792E-021  -1.22684844E-020  -1.19999997E+001   1.05080579E-020   1.30104261E-019   0.00000000E+000  -6.98638535E+003  -6.98635037E+003  -1.41659436E+004  -2.04190694E+002   3.05534639E-003   3.39031679E-002   8.87989933E-004   1.19992359E+001   0.00000000E+000   7.73085323E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806061E+003  -7.11827691E-022  -1.61894756E-021  -1.19999997E+001   1.57688025E-021  -1.08420217E-019  -2.16840434E-020  -6.98646797E+003  -6.98641894E+003  -1.41657925E+004  -2.04257444E+002   6.78373131E-003   5.01392587E-002   1.34150281E-003   1.19988458E+001   0.00000000E+000   7.78523156E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18783819E+003   1.80624761E-020  -4.26773497E-021  -1.19999997E+001  -2.20007037E-021   6.50521303E-020   2.16840434E-020  -6.98655119E+003  -6.98648801E+003  -1.41656402E+004  -2.04324679E+002   1.05395048E-002   6.64933329E-002   1.79830576E-003   1.19984528E+001   0.00000000E+000   7.83962257E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18761417E+003  -6.91775218E-021  -2.95444616E-021  -1.19999997E+001  -7.30731353E-022   1.08420217E-019  -1.08420217E-019  -6.98663501E+003  -6.98655758E+003  -1.41654868E+004  -2.04392397E+002   1.43226709E-002   8.29654016E-002   2.25839852E-003   1.19980571E+001   0.00000000E+000   7.89402599E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18738855E+003   7.75006195E-021  -6.43549102E-022  -1.19999997E+001  -2.15288424E-021  -8.67361738E-020  -2.16840434E-020  -6.98671942E+003  -6.98662765E+003  -1.41653323E+004  -2.04460600E+002   1.81332399E-002   9.95555429E-002   2.72178236E-003   1.19976585E+001   0.00000000E+000   7.94844169E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18716133E+003  -1.72513687E-021  -9.03602020E-021  -1.19999997E+001  -4.14040086E-021   8.67361738E-020   1.30104261E-019  -6.98680444E+003  -6.98669821E+003  -1.41651767E+004  -2.04529288E+002   2.19712249E-002   1.16263813E-001   3.18845810E-003   1.19972571E+001   0.00000000E+000   8.00286952E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18693251E+003   2.38186657E-022   1.41866929E-020  -1.19999997E+001   1.50691887E-021  -6.50521303E-020   4.33680869E-020  -6.98689005E+003  -6.98676927E+003  -1.41650200E+004  -2.04598459E+002   2.58366252E-002   1.33090215E-001   3.65842512E-003   1.19968529E+001   0.00000000E+000   8.05730916E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18670209E+003  -3.23937305E-021  -1.84428836E-020  -1.19999997E+001   5.12011293E-021  -2.16840434E-020  -4.33680869E-020  -6.98697627E+003  -6.98684083E+003  -1.41648623E+004  -2.04668116E+002   2.97294413E-002   1.50034735E-001   4.13168247E-003   1.19964458E+001   0.00000000E+000   8.11176028E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18647007E+003   1.75413989E-022   6.19615406E-021  -1.19999997E+001  -3.17713740E-021   1.08420217E-019  -1.73472348E-019  -6.98706308E+003  -6.98691289E+003  -1.41647034E+004  -2.04738256E+002   3.36496595E-002   1.67097375E-001   4.60822954E-003   1.19960359E+001   0.00000000E+000   8.16622260E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18623645E+003   1.22400190E-020  -1.53186379E-020  -1.19999997E+001   2.32343660E-021  -6.50521303E-020   6.50521303E-020  -6.98715049E+003  -6.98698544E+003  -1.41645434E+004  -2.04808880E+002   3.75972840E-002   1.84278189E-001   5.08806698E-003   1.19956232E+001   0.00000000E+000   8.22069598E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18600123E+003  -6.89232736E-021  -3.28359684E-021  -1.19999997E+001   4.96879639E-021   6.50521303E-020  -4.33680869E-020  -6.98723850E+003  -6.98705849E+003  -1.41643824E+004  -2.04879989E+002   4.15723070E-002   2.01577178E-001   5.57119412E-003   1.19952077E+001   0.00000000E+000   8.27518010E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
        13     1.19999997E+001   7.18576441E+003  -2.87208095E-021   6.32949299E-021  -1.19999997E+001   2.65150677E-021  -6.50521303E-020  -2.16840434E-020  -6.98732711E+003  -6.98713204E+003  -1.41642202E+004  -2.04951582E+002   4.55747371E-002   2.18994384E-001   6.05761150E-003   1.19947893E+001   0.00000000E+000   8.32967484E+014   0.00000000E+000   1.00000000E-014   1.30000000E-013
        14     1.19999997E+001   7.18552600E+003  -3.64150755E-022  -1.18814724E-020  -1.19999997E+001   7.50385294E-021   2.16840434E-020  -1.95156391E-019  -6.98741632E+003  -6.98720609E+003  -1.41640570E+004  -2.05023660E+002   4.96045877E-002   2.36529845E-001   6.54731950E-003   1.19943681E+001   0.00000000E+000   8.38418003E+014   0.00000000E+000   1.00000000E-014   1.40000000E-013
