   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.82691411E+003   2.82605401E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84127179E+003   0.00000000E+000   2.82481630E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.84528620E+003   2.84446734E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85814435E+003   0.00000000E+000   2.84338239E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.87742662E+003   2.87678566E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89011892E+003   0.00000000E+000   2.87531952E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.87799167E+003   2.87734696E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89056719E+003   0.00000000E+000   2.87584783E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.87854464E+003   2.87789450E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89100277E+003   0.00000000E+000   2.87636196E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.87909572E+003   2.87843815E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89143362E+003   0.00000000E+000   2.87687241E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.87964185E+003   2.87897549E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89185747E+003   0.00000000E+000   2.87737606E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.88017471E+003   2.87949761E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89226697E+003   0.00000000E+000   2.87786424E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.88069254E+003   2.88000294E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89266119E+003   0.00000000E+000   2.87833496E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.88119764E+003   2.88049326E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89304207E+003   0.00000000E+000   2.87879191E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
