   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18849877E+003   7.25725842E-002   2.84783233E+003   2.84775976E+003  -9.48825236E-002  -1.66714585E+002  -1.66619703E+002   2.84778119E+003  -7.34516363E-002   2.84785464E+003   5.11416969E-002  -1.66693155E+002  -1.66642013E+002
       2       1     1.19999997E+001   7.18828083E+003   9.02071301E-002   2.84771885E+003   2.84762865E+003  -1.24528262E-001  -1.66781217E+002  -1.66656688E+002   2.84765417E+003  -9.90091557E-002   2.84775317E+003   6.46880239E-002  -1.66755698E+002  -1.66691010E+002
       3       1     1.19999997E+001   7.18805970E+003   1.08100862E-001   2.84760371E+003   2.84749561E+003  -1.54609499E-001  -1.66848825E+002  -1.66694216E+002   2.84752528E+003  -1.24942279E-001   2.84765022E+003   7.84336415E-002  -1.66819158E+002  -1.66740724E+002
       4       1     1.19999997E+001   7.18783697E+003   1.26125089E-001   2.84748774E+003   2.84736161E+003  -1.84909263E-001  -1.66916924E+002  -1.66732015E+002   2.84739546E+003  -1.51063697E-001   2.84754652E+003   9.22795239E-002  -1.66883079E+002  -1.66790799E+002
       5       1     1.19999997E+001   7.18761264E+003   1.44279794E-001   2.84737093E+003   2.84722665E+003  -2.15427534E-001  -1.66985514E+002  -1.66770087E+002   2.84726470E+003  -1.77373389E-001   2.84744207E+003   1.06225648E-001  -1.66947460E+002  -1.66841235E+002
       6       1     1.19999997E+001   7.18738670E+003   1.62565001E-001   2.84725328E+003   2.84709071E+003  -2.46164384E-001  -1.67054596E+002  -1.66808431E+002   2.84713301E+003  -2.03871415E-001   2.84733688E+003   1.20272031E-001  -1.67012303E+002  -1.66892031E+002
       7       1     1.19999997E+001   7.18715916E+003   1.80980717E-001   2.84713480E+003   2.84695382E+003  -2.77119856E-001  -1.67124168E+002  -1.66847048E+002   2.84700038E+003  -2.30557811E-001   2.84723094E+003   1.34418672E-001  -1.67077606E+002  -1.66943187E+002
       8       1     1.19999997E+001   7.18693002E+003   1.99526906E-001   2.84701548E+003   2.84681595E+003  -3.08293904E-001  -1.67194231E+002  -1.66885937E+002   2.84686681E+003  -2.57432532E-001   2.84712425E+003   1.48665534E-001  -1.67143370E+002  -1.66994704E+002
       9       1     1.19999997E+001   7.18669928E+003   2.18203529E-001   2.84689533E+003   2.84667712E+003  -3.39686469E-001  -1.67264785E+002  -1.66925099E+002   2.84673231E+003  -2.84495515E-001   2.84701681E+003   1.63012575E-001  -1.67209594E+002  -1.67046582E+002
      10       1     1.19999997E+001   7.18646693E+003   2.37010543E-001   2.84677434E+003   2.84653733E+003  -3.71297500E-001  -1.67335830E+002  -1.66964533E+002   2.84659688E+003  -3.11746718E-001   2.84690863E+003   1.77459762E-001  -1.67276280E+002  -1.67098820E+002
      11       1     1.19999997E+001   7.18623299E+003   2.55947931E-001   2.84665252E+003   2.84639657E+003  -4.03127009E-001  -1.67407366E+002  -1.67004239E+002   2.84646051E+003  -3.39186150E-001   2.84679970E+003   1.92007073E-001  -1.67343425E+002  -1.67151418E+002
      12       1     1.19999997E+001   7.18599744E+003   2.75015641E-001   2.84652986E+003   2.84625484E+003  -4.35174936E-001  -1.67479393E+002  -1.67044218E+002   2.84632320E+003  -3.66813757E-001   2.84669002E+003   2.06654462E-001  -1.67411032E+002  -1.67204377E+002
      13       1     1.19999997E+001   7.18576029E+003   2.94213661E-001   2.84640636E+003   2.84611215E+003  -4.67441303E-001  -1.67551910E+002  -1.67084469E+002   2.84618496E+003  -3.94629560E-001   2.84657959E+003   2.21401919E-001  -1.67479098E+002  -1.67257696E+002
      14       1     1.19999997E+001   7.18552154E+003   3.13541969E-001   2.84628204E+003   2.84596849E+003  -4.99926117E-001  -1.67624918E+002  -1.67124992E+002   2.84604579E+003  -4.22633574E-001   2.84646842E+003   2.36249426E-001  -1.67547626E+002  -1.67311376E+002
      15       1     1.19999997E+001   7.18528119E+003   3.33000552E-001   2.84615687E+003   2.84582387E+003  -5.32629419E-001  -1.67698417E+002  -1.67165788E+002   2.84590567E+003  -4.50825843E-001   2.84635650E+003   2.51196975E-001  -1.67616614E+002  -1.67365417E+002
      16       1     1.19999997E+001   7.18503924E+003   3.52589399E-001   2.84603087E+003   2.84567828E+003  -5.65551249E-001  -1.67772407E+002  -1.67206856E+002   2.84576463E+003  -4.79206412E-001   2.84624383E+003   2.66244561E-001  -1.67686063E+002  -1.67419818E+002
      17       1     1.19999997E+001   7.18479568E+003   3.72308449E-001   2.84590404E+003   2.84553173E+003  -5.98691559E-001  -1.67846889E+002  -1.67248197E+002   2.84562264E+003  -5.07775251E-001   2.84613042E+003   2.81392141E-001  -1.67755972E+002  -1.67474580E+002
      18       1     1.19999997E+001   7.18455052E+003   3.92157582E-001   2.84577636E+003   2.84538421E+003  -6.32050142E-001  -1.67921860E+002  -1.67289810E+002   2.84547972E+003  -5.36532168E-001   2.84601626E+003   2.96639607E-001  -1.67826342E+002  -1.67529703E+002
      19       1     1.19999997E+001   7.18430377E+003   4.12136944E-001   2.84564786E+003   2.84523572E+003  -6.65627125E-001  -1.67997322E+002  -1.67331695E+002   2.84533587E+003  -5.65477204E-001   2.84590135E+003   3.11987023E-001  -1.67897172E+002  -1.67585185E+002
      20       1     1.19999997E+001   7.18405541E+003   4.32246738E-001   2.84551852E+003   2.84508627E+003  -6.99422791E-001  -1.68073276E+002  -1.67373853E+002   2.84519108E+003  -5.94610581E-001   2.84578569E+003   3.27434528E-001  -1.67968463E+002  -1.67641029E+002
