    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18849877E+003   7.89974029E-021  -1.13354763E-022  -1.19999997E+001  -4.03882696E-021   0.00000000E+000   8.67361738E-020  -6.98629045E+003  -6.98629647E+003  -1.41660924E+004  -2.04125000E+002   2.39512390E-002  -6.61623630E-003   4.48477033E-004   1.19996198E+001   0.00000000E+000   7.67653957E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828083E+003  -6.42742600E-021  -7.43991575E-021  -1.19999997E+001   1.32148307E-021  -8.67361738E-020   0.00000000E+000  -6.98635820E+003  -6.98637794E+003  -1.41659432E+004  -2.04190878E+002   5.25145520E-002  -1.54602560E-002   9.02978193E-004   1.19992348E+001   0.00000000E+000   7.73100389E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18805970E+003   6.32902253E-021   1.94501181E-021  -1.19999997E+001  -2.24225400E-021   0.00000000E+000   0.00000000E+000  -6.98642693E+003  -6.98646061E+003  -1.41657918E+004  -2.04257721E+002   8.14974104E-002  -2.44345022E-002   1.36414282E-003   1.19988442E+001   0.00000000E+000   7.78545692E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18783697E+003  -8.13359458E-021  -1.74929054E-021  -1.19999997E+001  -4.29802529E-021   1.73472348E-019   8.67361738E-020  -6.98649617E+003  -6.98654387E+003  -1.41656393E+004  -2.04325050E+002   1.10690742E-001  -3.34743700E-002   1.82865416E-003   1.19984507E+001   0.00000000E+000   7.83992228E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18761264E+003   4.82056046E-021  -3.34302977E-021  -1.19999997E+001  -5.88370985E-021   0.00000000E+000  -2.60208521E-019  -6.98656591E+003  -6.98662773E+003  -1.41654857E+004  -2.04392864E+002   1.40094533E-001  -4.25798390E-002   2.29651200E-003   1.19980544E+001   0.00000000E+000   7.89439971E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18738670E+003   1.96210860E-021   6.99685197E-021  -1.19999997E+001  -4.19421930E-022   0.00000000E+000   8.67361738E-020  -6.98663614E+003  -6.98671220E+003  -1.41653310E+004  -2.04461163E+002   1.69708853E-001  -5.17509131E-002   2.76771756E-003   1.19976552E+001   0.00000000E+000   7.94888908E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18715916E+003  -1.05695071E-020   3.40073595E-021  -1.19999997E+001   1.11680737E-020  -1.73472348E-019  -8.67361738E-020  -6.98670688E+003  -6.98679726E+003  -1.41651752E+004  -2.04529948E+002   1.99533747E-001  -6.09875851E-002   3.24227163E-003   1.19972533E+001   0.00000000E+000   8.00339023E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18693002E+003  -1.06263344E-020  -5.92206776E-021  -1.19999997E+001   4.21211742E-021  -1.73472348E-019  -8.67361738E-020  -6.98677811E+003  -6.98688292E+003  -1.41650183E+004  -2.04599218E+002   2.29569176E-001  -7.02898237E-002   3.72017362E-003   1.19968485E+001   0.00000000E+000   8.05790287E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18669928E+003   8.49272022E-021   1.12686194E-020  -1.19999997E+001   3.85570597E-021  -8.67361738E-020  -1.73472348E-019  -6.98684985E+003  -6.98696918E+003  -1.41648603E+004  -2.04668972E+002   2.59815084E-001  -7.96575954E-002   4.20142263E-003   1.19964408E+001   0.00000000E+000   8.11242666E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18646693E+003  -3.40738183E-021   5.06839152E-021  -1.19999997E+001   1.37510699E-022   1.73472348E-019   8.67361738E-020  -6.98692208E+003  -6.98705604E+003  -1.41647012E+004  -2.04739212E+002   2.90271423E-001  -8.90908757E-002   4.68601800E-003   1.19960304E+001   0.00000000E+000   8.16696135E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
