   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.80159509E+003   2.80173748E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.80145361E+003   0.00000000E+000   2.80156748E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.82239423E+003   2.82248943E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.82225525E+003   0.00000000E+000   2.82233372E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.85496572E+003   2.85520033E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85486177E+003   0.00000000E+000   2.85508977E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.85551750E+003   2.85578446E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85539759E+003   0.00000000E+000   2.85567574E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.85622485E+003   2.85648950E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85609834E+003   0.00000000E+000   2.85638153E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.85690505E+003   2.85716748E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85677326E+003   0.00000000E+000   2.85705840E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.85758027E+003   2.85784000E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85744344E+003   0.00000000E+000   2.85773042E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.85824180E+003   2.85849835E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85809982E+003   0.00000000E+000   2.85838843E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.85888649E+003   2.85913943E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85873928E+003   0.00000000E+000   2.85902939E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.85951609E+003   2.85976507E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85936360E+003   0.00000000E+000   2.85965500E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
