   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996239E+001   1.00002270E+000   4.34121799E-004   1.19999997E+001   0.00000000E+000   5.58622468E-021  -3.73976213E-020  -1.19999997E+001  -1.13100715E-020   1.08420217E-019   3.04931861E-020   1.21117170E-004   1.29420133E-004  -2.50537303E-004   1.25268570E-004   5.29410087E-006   2.52923578E-006
       2       1     1.19992427E+001   1.00002270E+000   8.74536910E-004   1.19999997E+001   0.00000000E+000   3.88940324E-021  -2.48766297E-020  -1.19999997E+001  -7.29730465E-021   0.00000000E+000   3.25260652E-020   2.43989476E-004   2.60717067E-004  -5.04706543E-004   2.52353107E-004   1.06650781E-005   5.09517318E-006
       3       1     1.19988558E+001   1.00002270E+000   1.32147631E-003   1.19999997E+001   0.00000000E+000  -7.04013419E-022  -3.24534387E-020  -1.19999997E+001   1.33041869E-020   6.50521303E-020  -5.42101086E-020   3.68684366E-004   3.93956689E-004  -7.62641055E-004   3.81320279E-004   1.61162970E-005   7.69942585E-006
       4       1     1.19984661E+001   1.00002270E+000   1.77163756E-003   1.19999997E+001   0.00000000E+000   1.80019317E-021   6.17163591E-020  -1.19999997E+001   8.25005128E-021   4.33680869E-020   0.00000000E+000   4.94278848E-004   5.28156104E-004  -1.02243495E-003   5.11217143E-004   2.16069228E-005   1.03221743E-005
       5       1     1.19980736E+001   1.00002270E+000   2.22504511E-003   1.19999997E+001   0.00000000E+000   1.19272827E-020   2.23396668E-020  -1.19999997E+001   5.52329175E-021   4.33680869E-020   4.33680869E-020   6.20779103E-004   6.63323231E-004  -1.28410233E-003   6.42050749E-004   2.71371683E-005   1.29637263E-005
       6       1     1.19976783E+001   1.00002270E+000   2.68169698E-003   1.19999997E+001   0.00000000E+000  -1.17360385E-021   1.95082276E-021  -1.19999997E+001   5.64188877E-021   2.16840434E-020   2.16840434E-020   7.48184548E-004   7.99457504E-004  -1.54764205E-003   7.73820522E-004   3.27069802E-005   1.56240929E-005
       7       1     1.19972803E+001   1.00002270E+000   3.14159463E-003   1.19999997E+001   0.00000000E+000  -4.75984540E-021   4.42726916E-020  -1.19999997E+001  -3.35504456E-021  -2.16840434E-020   6.50521303E-020   8.76495593E-004   9.36559366E-004  -1.81305496E-003   9.06526889E-004   3.83163838E-005   1.83032834E-005
       8       1     1.19968794E+001   1.00002270E+000   3.60473809E-003   1.19999997E+001   0.00000000E+000   5.29101943E-021   1.85135842E-020  -1.19999997E+001  -4.33175875E-021   0.00000000E+000   2.16840434E-020   1.00571223E-003   1.07462883E-003  -2.08034106E-003   1.04016985E-003   4.39653812E-005   2.10012948E-005
       9       1     1.19964757E+001   1.00002270E+000   4.07112678E-003   1.19999997E+001   0.00000000E+000   8.50660134E-021  -2.98477784E-020  -1.19999997E+001  -1.53974501E-020   6.50521303E-020   0.00000000E+000   1.13583431E-003   1.21366572E-003  -2.34950003E-003   1.17474925E-003   4.96539686E-005   2.37181205E-005
      10       1     1.19960691E+001   1.00002270E+000   4.54076036E-003   1.19999997E+001   0.00000000E+000   5.61390938E-021  -1.13068972E-020  -1.19999997E+001  -1.74121933E-020   2.16840434E-020  -2.16840434E-020   1.26686171E-003   1.35366995E-003  -2.62053166E-003   1.31026498E-003   5.53821434E-005   2.64537563E-005
