    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850149E+003  -1.92775476E-020  -1.88067370E-020  -1.19999997E+001  -7.06492893E-021  -1.08420217E-019  -2.16840434E-020  -6.98629294E+003  -6.98629212E+003  -1.41660943E+004  -2.04124177E+002  -1.14755521E-002  -5.10311347E-003   4.34192666E-004   1.19996246E+001   0.00000000E+000   7.67585760E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828604E+003  -4.54938997E-022   1.47622374E-020  -1.19999997E+001   1.77566209E-020   8.67361738E-020  -6.50521303E-020  -6.98636330E+003  -6.98636926E+003  -1.41659468E+004  -2.04189301E+002  -1.88155669E-002  -1.24310611E-002   8.74754453E-004   1.19992440E+001   0.00000000E+000   7.72970534E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806743E+003   4.00634590E-021   1.65864602E-020  -1.19999997E+001  -8.54114647E-021  -6.50521303E-020   2.16840434E-020  -6.98643470E+003  -6.98644754E+003  -1.41657971E+004  -2.04255383E+002  -2.62637735E-002  -1.98662218E-002   1.32180035E-003   1.19988578E+001   0.00000000E+000   7.78355172E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784723E+003  -3.84858188E-021  -1.47985507E-020  -1.19999997E+001  -8.61932538E-021  -1.73472348E-019  -1.08420217E-019  -6.98650662E+003  -6.98652639E+003  -1.41656464E+004  -2.04321945E+002  -3.37661218E-002  -2.73550854E-002   1.77209395E-003   1.19984688E+001   0.00000000E+000   7.83741469E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762545E+003  -3.75560678E-021   1.76300106E-020  -1.19999997E+001  -1.33632062E-021   2.16840434E-020   6.50521303E-020  -6.98657905E+003  -6.98660581E+003  -1.41654945E+004  -2.04388987E+002  -4.13226042E-002  -3.48976411E-002   2.22563542E-003   1.19980770E+001   0.00000000E+000   7.89129394E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740208E+003   1.38619961E-021  -2.72919765E-020  -1.19999997E+001   2.61041658E-021   8.67361738E-020  -1.73472348E-019  -6.98665201E+003  -6.98668580E+003  -1.41653416E+004  -2.04456510E+002  -4.89332432E-002  -4.24939115E-002   2.68242707E-003   1.19976824E+001   0.00000000E+000   7.94518940E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18717712E+003  -2.36560214E-021  -1.33503642E-020  -1.19999997E+001   3.56268758E-021   0.00000000E+000  -2.16840434E-020  -6.98672548E+003  -6.98676635E+003  -1.41651875E+004  -2.04524513E+002  -5.65980484E-002  -5.01439041E-002   3.14247057E-003   1.19972850E+001   0.00000000E+000   7.99910091E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695058E+003  -8.49255995E-021  -2.93568467E-020  -1.19999997E+001  -3.86489801E-021   8.67361738E-020  -2.16840434E-020  -6.98679947E+003  -6.98684748E+003  -1.41650324E+004  -2.04592997E+002  -6.43170024E-002  -5.78476030E-002   3.60576588E-003   1.19968848E+001   0.00000000E+000   8.05302815E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672244E+003   1.33432505E-021   2.75854395E-021  -1.19999997E+001   1.63878645E-020   4.33680869E-020  -2.38524478E-019  -6.98687399E+003  -6.98692917E+003  -1.41648762E+004  -2.04661962E+002  -7.20900754E-002  -6.56049816E-002   4.07231236E-003   1.19964818E+001   0.00000000E+000   8.10697075E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649272E+003  -4.79551756E-021  -3.57511597E-021  -1.19999997E+001   9.14518478E-021  -1.08420217E-019   6.50521303E-020  -6.98694902E+003  -6.98701144E+003  -1.41647189E+004  -2.04731407E+002  -7.99172432E-002  -7.34160190E-002   4.54210971E-003   1.19960759E+001   0.00000000E+000   8.16092839E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
