   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850222E+003   5.51409362E-002   2.84782946E+003   2.84777432E+003  -6.56082696E-002  -1.66701047E+002  -1.66635438E+002   2.84779170E+003  -4.82220791E-002   2.84783993E+003   3.77547457E-002  -1.66683660E+002  -1.66645906E+002
       2       1     1.19999997E+001   7.18828745E+003   5.51272767E-002   2.84771290E+003   2.84765778E+003  -6.55956702E-002  -1.66754045E+002  -1.66688449E+002   2.84767516E+003  -4.82139411E-002   2.84772337E+003   3.77455476E-002  -1.66736663E+002  -1.66698917E+002
       3       1     1.19999997E+001   7.18806953E+003   5.51131694E-002   2.84759464E+003   2.84753952E+003  -6.55831599E-002  -1.66807822E+002  -1.66742238E+002   2.84755690E+003  -4.82059198E-002   2.84760511E+003   3.77359292E-002  -1.66790444E+002  -1.66752708E+002
       4       1     1.19999997E+001   7.18785004E+003   5.50986845E-002   2.84747551E+003   2.84742042E+003  -6.55704997E-002  -1.66861988E+002  -1.66796417E+002   2.84743779E+003  -4.81978517E-002   2.84748599E+003   3.77260365E-002  -1.66844615E+002  -1.66806889E+002
       5       1     1.19999997E+001   7.18762897E+003   5.50838312E-002   2.84735553E+003   2.84730045E+003  -6.55577128E-002  -1.66916544E+002  -1.66850986E+002   2.84731782E+003  -4.81897644E-002   2.84736601E+003   3.77158828E-002  -1.66899176E+002  -1.66861460E+002
       6       1     1.19999997E+001   7.18740632E+003   5.50686226E-002   2.84723470E+003   2.84717963E+003  -6.55448264E-002  -1.66971489E+002  -1.66905944E+002   2.84719699E+003  -4.81816873E-002   2.84724517E+003   3.77054836E-002  -1.66954126E+002  -1.66916420E+002
       7       1     1.19999997E+001   7.18718209E+003   5.50530715E-002   2.84711300E+003   2.84705795E+003  -6.55318671E-002  -1.67026824E+002  -1.66961292E+002   2.84707531E+003  -4.81736482E-002   2.84712348E+003   3.76948526E-002  -1.67009466E+002  -1.66971771E+002
       8       1     1.19999997E+001   7.18695629E+003   5.50371920E-002   2.84699045E+003   2.84693541E+003  -6.55188615E-002  -1.67082549E+002  -1.67017030E+002   2.84695277E+003  -4.81656755E-002   2.84700093E+003   3.76840060E-002  -1.67065196E+002  -1.67027512E+002
       9       1     1.19999997E+001   7.18672891E+003   5.50209984E-002   2.84686704E+003   2.84681202E+003  -6.55058369E-002  -1.67138664E+002  -1.67073158E+002   2.84682937E+003  -4.81577992E-002   2.84687753E+003   3.76729607E-002  -1.67121316E+002  -1.67083643E+002
      10       1     1.19999997E+001   7.18649995E+003   5.50045023E-002   2.84674277E+003   2.84668777E+003  -6.54928147E-002  -1.67195169E+002  -1.67129676E+002   2.84670511E+003  -4.81500435E-002   2.84675326E+003   3.76617311E-002  -1.67177826E+002  -1.67140164E+002
      11       1     1.19999997E+001   7.18626941E+003   5.49877244E-002   2.84661765E+003   2.84656266E+003  -6.54798278E-002  -1.67252064E+002  -1.67186584E+002   2.84658000E+003  -4.81424432E-002   2.84662814E+003   3.76503398E-002  -1.67234726E+002  -1.67197076E+002
      12       1     1.19999997E+001   7.18603730E+003   5.49706889E-002   2.84649166E+003   2.84643669E+003  -6.54669077E-002  -1.67309348E+002  -1.67243881E+002   2.84645402E+003  -4.81350271E-002   2.84650216E+003   3.76388084E-002  -1.67292016E+002  -1.67254377E+002
      13       1     1.19999997E+001   7.18580361E+003   5.49534187E-002   2.84636482E+003   2.84630987E+003  -6.54540841E-002  -1.67367023E+002  -1.67301569E+002   2.84632720E+003  -4.81278219E-002   2.84637532E+003   3.76271565E-002  -1.67349697E+002  -1.67312069E+002
      14       1     1.19999997E+001   7.18556834E+003   5.49359340E-002   2.84623712E+003   2.84618219E+003  -6.54413843E-002  -1.67425088E+002  -1.67359646E+002   2.84619951E+003  -4.81208532E-002   2.84624763E+003   3.76154029E-002  -1.67407767E+002  -1.67370152E+002
      15       1     1.19999997E+001   7.18533149E+003   5.49182577E-002   2.84610856E+003   2.84605365E+003  -6.54288402E-002  -1.67483543E+002  -1.67418114E+002   2.84607096E+003  -4.81141517E-002   2.84611908E+003   3.76035693E-002  -1.67466228E+002  -1.67428625E+002
      16       1     1.19999997E+001   7.18509306E+003   5.49004202E-002   2.84597915E+003   2.84592425E+003  -6.54164896E-002  -1.67542389E+002  -1.67476972E+002   2.84594156E+003  -4.81077550E-002   2.84598966E+003   3.75916856E-002  -1.67525080E+002  -1.67487488E+002
      17       1     1.19999997E+001   7.18485305E+003   5.48824505E-002   2.84584887E+003   2.84579399E+003  -6.54043626E-002  -1.67601625E+002  -1.67536221E+002   2.84581129E+003  -4.81016878E-002   2.84585939E+003   3.75797757E-002  -1.67584322E+002  -1.67546743E+002
      18       1     1.19999997E+001   7.18461146E+003   5.48643690E-002   2.84571774E+003   2.84566287E+003  -6.53924850E-002  -1.67661251E+002  -1.67595859E+002   2.84568017E+003  -4.80959711E-002   2.84572827E+003   3.75678551E-002  -1.67643955E+002  -1.67606387E+002
      19       1     1.19999997E+001   7.18436830E+003   5.48461445E-002   2.84558575E+003   2.84553090E+003  -6.53808566E-002  -1.67721268E+002  -1.67655887E+002   2.84554819E+003  -4.80906185E-002   2.84559628E+003   3.75559065E-002  -1.67703977E+002  -1.67666421E+002
      20       1     1.19999997E+001   7.18412356E+003   5.48277302E-002   2.84545290E+003   2.84539807E+003  -6.53694724E-002  -1.67781674E+002  -1.67716304E+002   2.84541536E+003  -4.80856455E-002   2.84546344E+003   3.75439033E-002  -1.67764390E+002  -1.67726846E+002
      21       1     1.19999997E+001   7.18387724E+003   5.48090992E-002   2.84531919E+003   2.84526438E+003  -6.53583362E-002  -1.67842470E+002  -1.67777112E+002   2.84528166E+003  -4.80810661E-002   2.84532974E+003   3.75318291E-002  -1.67825193E+002  -1.67787661E+002
      22       1     1.19999997E+001   7.18362935E+003   5.47902309E-002   2.84518463E+003   2.84512984E+003  -6.53474548E-002  -1.67903657E+002  -1.67838310E+002   2.84514711E+003  -4.80768974E-002   2.84519518E+003   3.75196735E-002  -1.67886387E+002  -1.67848867E+002
      23       1     1.19999997E+001   7.18337987E+003   5.47711163E-002   2.84504920E+003   2.84499443E+003  -6.53368374E-002  -1.67965235E+002  -1.67899898E+002   2.84501169E+003  -4.80731529E-002   2.84505977E+003   3.75074318E-002  -1.67947971E+002  -1.67910464E+002
      24       1     1.19999997E+001   7.18312882E+003   5.47517468E-002   2.84491292E+003   2.84485817E+003  -6.53264936E-002  -1.68027202E+002  -1.67961876E+002   2.84487542E+003  -4.80698433E-002   2.84492349E+003   3.74950965E-002  -1.68009946E+002  -1.67972451E+002
      25       1     1.19999997E+001   7.18287618E+003   5.47321243E-002   2.84477578E+003   2.84472104E+003  -6.53164357E-002  -1.68089561E+002  -1.68024245E+002   2.84473829E+003  -4.80669818E-002   2.84478636E+003   3.74826705E-002  -1.68072312E+002  -1.68034829E+002
      26       1     1.19999997E+001   7.18262197E+003   5.47122556E-002   2.84463777E+003   2.84458306E+003  -6.53066786E-002  -1.68152311E+002  -1.68087004E+002   2.84460030E+003  -4.80645801E-002   2.84464837E+003   3.74701571E-002  -1.68135069E+002  -1.68097599E+002
      27       1     1.19999997E+001   7.18236617E+003   5.46921479E-002   2.84449891E+003   2.84444422E+003  -6.52972356E-002  -1.68215452E+002  -1.68150154E+002   2.84446145E+003  -4.80626457E-002   2.84450951E+003   3.74575581E-002  -1.68198217E+002  -1.68160760E+002
      28       1     1.19999997E+001   7.18210879E+003   5.46718118E-002   2.84435919E+003   2.84430451E+003  -6.52881177E-002  -1.68278984E+002  -1.68213696E+002   2.84432174E+003  -4.80611801E-002   2.84436980E+003   3.74448741E-002  -1.68261757E+002  -1.68224312E+002
      29       1     1.19999997E+001   7.18184982E+003   5.46512572E-002   2.84421860E+003   2.84416395E+003  -6.52793323E-002  -1.68342908E+002  -1.68277629E+002   2.84418117E+003  -4.80601800E-002   2.84422923E+003   3.74321050E-002  -1.68325689E+002  -1.68288257E+002
      30       1     1.19999997E+001   7.18158928E+003   5.46304951E-002   2.84407715E+003   2.84402252E+003  -6.52708914E-002  -1.68407223E+002  -1.68341952E+002   2.84403973E+003  -4.80596495E-002   2.84408779E+003   3.74192533E-002  -1.68390012E+002  -1.68352593E+002
      31       1     1.19999997E+001   7.18132715E+003   5.46095375E-002   2.84393484E+003   2.84388024E+003  -6.52628000E-002  -1.68471931E+002  -1.68406668E+002   2.84389744E+003  -4.80595868E-002   2.84394550E+003   3.74063243E-002  -1.68454727E+002  -1.68417321E+002
      32       1     1.19999997E+001   7.18106343E+003   5.45884019E-002   2.84379167E+003   2.84373709E+003  -6.52550606E-002  -1.68537030E+002  -1.68471775E+002   2.84375428E+003  -4.80599792E-002   2.84380234E+003   3.73933206E-002  -1.68519835E+002  -1.68482441E+002
      33       1     1.19999997E+001   7.18079813E+003   5.45671043E-002   2.84364764E+003   2.84359307E+003  -6.52476709E-002  -1.68602521E+002  -1.68537274E+002   2.84361026E+003  -4.80608084E-002   2.84365832E+003   3.73802418E-002  -1.68585335E+002  -1.68547954E+002
      34       1     1.19999997E+001   7.18053124E+003   5.45456659E-002   2.84350274E+003   2.84344820E+003  -6.52406225E-002  -1.68668406E+002  -1.68603165E+002   2.84346538E+003  -4.80620446E-002   2.84351344E+003   3.73670879E-002  -1.68651227E+002  -1.68613860E+002
      35       1     1.19999997E+001   7.18026276E+003   5.45241154E-002   2.84335698E+003   2.84330246E+003  -6.52339071E-002  -1.68734683E+002  -1.68669449E+002   2.84331963E+003  -4.80636536E-002   2.84336769E+003   3.73538619E-002  -1.68717513E+002  -1.68680159E+002
      36       1     1.19999997E+001   7.17999270E+003   5.45024832E-002   2.84321036E+003   2.84315585E+003  -6.52275115E-002  -1.68801354E+002  -1.68736127E+002   2.84317302E+003  -4.80655916E-002   2.84322108E+003   3.73405634E-002  -1.68784192E+002  -1.68746852E+002
      37       1     1.19999997E+001   7.17972104E+003   5.44808007E-002   2.84306286E+003   2.84300838E+003  -6.52214258E-002  -1.68868419E+002  -1.68803197E+002   2.84302554E+003  -4.80678132E-002   2.84307360E+003   3.73271882E-002  -1.68851265E+002  -1.68813938E+002
      38       1     1.19999997E+001   7.17944779E+003   5.44591110E-002   2.84291450E+003   2.84286005E+003  -6.52156401E-002  -1.68935878E+002  -1.68870662E+002   2.84287719E+003  -4.80702730E-002   2.84292526E+003   3.73137439E-002  -1.68918733E+002  -1.68881419E+002
      39       1     1.19999997E+001   7.17917294E+003   5.44373590E-002   2.84276528E+003   2.84271084E+003  -6.52100532E-002  -1.69003732E+002  -1.68938522E+002   2.84272798E+003  -4.80728381E-002   2.84277605E+003   3.73001439E-002  -1.68986595E+002  -1.68949295E+002
      40       1     1.19999997E+001   7.17889649E+003   5.44150230E-002   2.84261517E+003   2.84256076E+003  -6.52042440E-002  -1.69071984E+002  -1.69006780E+002   2.84257789E+003  -4.80751255E-002   2.84262596E+003   3.72859045E-002  -1.69054855E+002  -1.69017569E+002
      41       1     1.19999997E+001   7.17861841E+003   5.43915827E-002   2.84246419E+003   2.84240980E+003  -6.51978766E-002  -1.69140636E+002  -1.69075438E+002   2.84242692E+003  -4.80768874E-002   2.84247500E+003   3.72705935E-002  -1.69123515E+002  -1.69086244E+002
      42       1     1.19999997E+001   7.17833871E+003   5.43666875E-002   2.84231232E+003   2.84225795E+003  -6.51907516E-002  -1.69209689E+002  -1.69144499E+002   2.84227507E+003  -4.80779956E-002   2.84232314E+003   3.72539315E-002  -1.69192577E+002  -1.69155323E+002
