    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850222E+003  -7.11747558E-021   2.12503527E-020  -1.19999997E+001  -3.09157720E-021   1.28801948E-020  -1.56874803E-020  -6.98629602E+003  -6.98628854E+003  -1.41660948E+004  -2.04123957E+002  -4.25056596E-003   2.12753636E-003   4.31648504E-004   1.19996259E+001   0.00000000E+000   7.67567475E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828745E+003  -5.89275197E-021   2.84761062E-020  -1.19999997E+001  -8.25468349E-021   6.54862347E-021   3.72119606E-021  -6.98636954E+003  -6.98636207E+003  -1.41659478E+004  -2.04188875E+002  -4.26033541E-003   2.13462282E-003   8.69754424E-004   1.19992465E+001   0.00000000E+000   7.72935491E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806953E+003  -7.12438254E-021   1.98163523E-020  -1.19999997E+001   6.54632288E-021   4.68488629E-020  -4.70063788E-020  -6.98644413E+003  -6.98643667E+003  -1.41657986E+004  -2.04254748E+002  -4.26991044E-003   2.14216069E-003   1.31429990E-003   1.19988615E+001   0.00000000E+000   7.78303441E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18785004E+003  -2.17111750E-020  -3.22981356E-020  -1.19999997E+001  -1.90107508E-020  -3.16313866E-021  -4.28959322E-021  -6.98651927E+003  -6.98651182E+003  -1.41656483E+004  -2.04321098E+002  -4.27958026E-003   2.14995650E-003   1.76206453E-003   1.19984738E+001   0.00000000E+000   7.83673033E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762897E+003  -1.23296647E-020   1.46681456E-020  -1.19999997E+001  -5.67404541E-021  -2.84814829E-020   1.47825447E-020  -6.98659495E+003  -6.98658751E+003  -1.41654969E+004  -2.04387924E+002  -4.28932271E-003   2.15800046E-003   2.21304829E-003   1.19980832E+001   0.00000000E+000   7.89044234E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740632E+003   4.43315042E-021  -3.80588281E-020  -1.19999997E+001  -1.16636912E-020  -3.29072300E-020   4.45282904E-020  -6.98667116E+003  -6.98666374E+003  -1.41653445E+004  -2.04455229E+002  -4.29911238E-003   2.16628118E-003   2.66725367E-003   1.19976899E+001   0.00000000E+000   7.94417041E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718209E+003  -1.69421892E-020  -2.07574771E-020  -1.19999997E+001  -1.82187047E-021  -2.39657385E-020  -2.98276366E-020  -6.98674792E+003  -6.98674051E+003  -1.41651909E+004  -2.04523010E+002  -4.30892368E-003   2.17478919E-003   3.12468239E-003   1.19972938E+001   0.00000000E+000   7.99791441E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695629E+003   9.52097293E-021   3.20874940E-020  -1.19999997E+001  -5.47919268E-022   1.72000628E-020  -4.02638435E-021  -6.98682521E+003  -6.98681782E+003  -1.41650363E+004  -2.04591270E+002  -4.31873189E-003   2.18351225E-003   3.58533468E-003   1.19968949E+001   0.00000000E+000   8.05167403E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672891E+003  -1.75236558E-020   3.13049812E-020  -1.19999997E+001   2.75430981E-021  -3.26663550E-020  -1.89940521E-020  -6.98690305E+003  -6.98689568E+003  -1.41648806E+004  -2.04660007E+002  -4.32851144E-003   2.19243769E-003   4.04921000E-003   1.19964932E+001   0.00000000E+000   8.10544892E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649995E+003   1.61306837E-020   1.39295974E-020  -1.19999997E+001  -1.23952239E-020   9.52912066E-021   2.80513489E-020  -6.98698143E+003  -6.98697407E+003  -1.41647239E+004  -2.04729221E+002  -4.33824252E-003   2.20155420E-003   4.51630808E-003   1.19960887E+001   0.00000000E+000   8.15923878E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18626941E+003   1.57102278E-020  -2.72709454E-020  -1.19999997E+001   1.10437013E-020  -4.15337312E-020   6.90450966E-020  -6.98706035E+003  -6.98705301E+003  -1.41645660E+004  -2.04798913E+002  -4.34789486E-003   2.21084411E-003   4.98663014E-003   1.19956814E+001   0.00000000E+000   8.21304347E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18603730E+003  -6.62890135E-021   1.44855869E-020  -1.19999997E+001   1.09317889E-020   3.17266778E-020   4.40060086E-021  -6.98713981E+003  -6.98713248E+003  -1.41644071E+004  -2.04869083E+002  -4.35743934E-003   2.22029055E-003   5.46017565E-003   1.19952714E+001   0.00000000E+000   8.26686262E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
