   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.82655191E+003   2.82863270E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83337297E+003   0.00000000E+000   2.82443915E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.84481313E+003   2.84684114E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85103314E+003   0.00000000E+000   2.84309957E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.87669172E+003   2.87893060E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88326506E+003   0.00000000E+000   2.87513301E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.87713488E+003   2.87946884E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88377875E+003   0.00000000E+000   2.87567685E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.87756298E+003   2.87999484E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88427871E+003   0.00000000E+000   2.87620700E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.87798664E+003   2.88051848E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88477494E+003   0.00000000E+000   2.87673350E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.87840316E+003   2.88103663E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88526461E+003   0.00000000E+000   2.87725320E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.87880463E+003   2.88154116E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88573944E+003   0.00000000E+000   2.87775805E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.87918931E+003   2.88203035E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88619789E+003   0.00000000E+000   2.87824626E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.87956058E+003   2.88250669E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88664274E+003   0.00000000E+000   2.87872075E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.87992671E+003   2.88297729E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88708065E+003   0.00000000E+000   2.87919038E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.88027931E+003   2.88343450E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88750458E+003   0.00000000E+000   2.87964630E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.88062656E+003   2.88388559E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88792205E+003   0.00000000E+000   2.88009547E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.88096903E+003   2.88432967E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88833260E+003   0.00000000E+000   2.88053815E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.88130998E+003   2.88477012E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88873912E+003   0.00000000E+000   2.88097803E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.88164838E+003   2.88520533E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88914106E+003   0.00000000E+000   2.88141273E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.88197715E+003   2.88562874E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88953126E+003   0.00000000E+000   2.88183561E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.88227610E+003   2.88602131E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88989269E+003   0.00000000E+000   2.88222693E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.88255645E+003   2.88640452E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89024360E+003   0.00000000E+000   2.88260180E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.88283758E+003   2.88679373E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89059940E+003   0.00000000E+000   2.88297651E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.88311419E+003   2.88718197E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89095413E+003   0.00000000E+000   2.88334551E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      22   0.00000000E+000   2.88338590E+003   2.88756691E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89130613E+003   0.00000000E+000   2.88370726E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      23   0.00000000E+000   2.88364964E+003   2.88794552E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89165285E+003   0.00000000E+000   2.88405939E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      24   0.00000000E+000   2.88391186E+003   2.88832097E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89199734E+003   0.00000000E+000   2.88440687E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      25   0.00000000E+000   2.88417435E+003   2.88869744E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89234391E+003   0.00000000E+000   2.88475245E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      26   0.00000000E+000   2.88444030E+003   2.88907444E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89269280E+003   0.00000000E+000   2.88509651E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      27   0.00000000E+000   2.88470544E+003   2.88944838E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89304130E+003   0.00000000E+000   2.88543435E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      28   0.00000000E+000   2.88496995E+003   2.88981662E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89338742E+003   0.00000000E+000   2.88576462E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      29   0.00000000E+000   2.88523247E+003   2.89017628E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89372890E+003   0.00000000E+000   2.88608407E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      30   0.00000000E+000   2.88549613E+003   2.89052720E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89406572E+003   0.00000000E+000   2.88639503E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      31   0.00000000E+000   2.88576714E+003   2.89087357E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89440322E+003   0.00000000E+000   2.88670075E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      32   0.00000000E+000   2.88605084E+003   2.89121745E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89474382E+003   0.00000000E+000   2.88700500E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      33   0.00000000E+000   2.88634867E+003   2.89155958E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89508960E+003   0.00000000E+000   2.88730718E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      34   0.00000000E+000   2.88666209E+003   2.89189888E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89544025E+003   0.00000000E+000   2.88760601E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      35   0.00000000E+000   2.88698936E+003   2.89223073E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89579156E+003   0.00000000E+000   2.88789764E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      36   0.00000000E+000   2.88733443E+003   2.89255784E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89614649E+003   0.00000000E+000   2.88818410E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      37   0.00000000E+000   2.88770021E+003   2.89288170E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89650677E+003   0.00000000E+000   2.88846652E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      38   0.00000000E+000   2.88808931E+003   2.89320454E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89687462E+003   0.00000000E+000   2.88874733E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      39   0.00000000E+000   2.88852125E+003   2.89356707E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89730003E+003   0.00000000E+000   2.88902942E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      40   0.00000000E+000   2.88905899E+003   2.89402279E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89783281E+003   0.00000000E+000   2.88935346E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      41   0.00000000E+000   2.88968524E+003   2.89455016E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89844701E+003   0.00000000E+000   2.88971640E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      42   0.00000000E+000   2.89036148E+003   2.89512238E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89911275E+003   0.00000000E+000   2.89010111E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      43   0.00000000E+000   2.89105058E+003   2.89571441E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.89979825E+003   0.00000000E+000   2.89049728E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      44   0.00000000E+000   2.89170480E+003   2.89629327E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.90046792E+003   0.00000000E+000   2.89087886E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      45   0.00000000E+000   2.89229933E+003   2.89683968E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.90109966E+003   0.00000000E+000   2.89122964E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      46   0.00000000E+000   2.73292239E+003   2.78440998E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.72754342E+003   0.00000000E+000   2.85884314E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      47   0.00000000E+000   2.62888016E+003   2.75127115E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70469585E+003   0.00000000E+000   2.75812651E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      48   0.00000000E+000   2.62794512E+003   2.75058347E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70419459E+003   0.00000000E+000   2.75696549E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      49   0.00000000E+000   2.62861219E+003   2.75031813E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70406889E+003   0.00000000E+000   2.75609567E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      50   0.00000000E+000   2.62767792E+003   2.74978728E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70509675E+003   0.00000000E+000   2.75517491E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      51   0.00000000E+000   2.62539394E+003   2.75046994E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70526502E+003   0.00000000E+000   2.75484287E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      52   0.00000000E+000   2.62505099E+003   2.75244579E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70309501E+003   0.00000000E+000   2.75358599E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      53   0.00000000E+000   2.62415598E+003   2.75175522E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70265771E+003   0.00000000E+000   2.75314711E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      54   0.00000000E+000   2.62407754E+003   2.75115744E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70110857E+003   0.00000000E+000   2.75255813E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      55   0.00000000E+000   2.62176602E+003   2.74982240E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.70021175E+003   0.00000000E+000   2.75177578E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      56   0.00000000E+000   2.61996310E+003   2.74929391E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.69752400E+003   0.00000000E+000   2.75016421E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
