   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      20       1     1.19918695E+001   1.00002270E+000   9.41193041E-003   1.19999997E+001   0.00000000E+000  -1.43074618E-020  -1.70530127E-020  -1.19999997E+001  -1.32117132E-020  -8.67361738E-020  -1.30104261E-019   2.59223998E-003   2.82851507E-003  -5.42075505E-003   2.71037622E-003   2.54700079E-004   2.54436225E-004
      21       1     1.19914332E+001   1.00002270E+000   9.91708352E-003   1.19999997E+001   0.00000000E+000   1.37981481E-020  -4.34442418E-020  -1.19999997E+001   5.42141928E-021   1.30104261E-019   0.00000000E+000   2.73136345E-003   2.98033238E-003  -5.71169583E-003   2.85584654E-003   2.68369673E-004   2.68082918E-004
      22       1     1.19909941E+001   1.00002270E+000   1.04254824E-002   1.19999997E+001   0.00000000E+000   4.78030778E-021  -1.55323193E-020  -1.19999997E+001   7.38910101E-021  -8.67361738E-020   1.51788304E-019   2.87138020E-003   3.13312581E-003  -6.00450601E-003   3.00225156E-003   2.82127140E-004   2.81816461E-004
      23       1     1.19905522E+001   1.00002270E+000   1.09371268E-002   1.19999997E+001   0.00000000E+000   1.04827565E-020  -1.33374628E-020  -1.19999997E+001  -7.55200390E-021  -2.60208521E-019   0.00000000E+000   3.01229020E-003   3.28689528E-003  -6.29918549E-003   3.14959123E-003   2.95972470E-004   2.95636905E-004
      24       1     1.19901075E+001   1.00002270E+000   1.14520180E-002   1.19999997E+001   0.00000000E+000  -1.50178518E-020   1.12153594E-020  -1.19999997E+001   4.55639516E-021   2.16840434E-020   6.50521303E-020   3.15409376E-003   3.44164113E-003  -6.59573489E-003   3.29786586E-003   3.09905682E-004   3.09544365E-004
      25       1     1.19896600E+001   1.00002270E+000   1.19701571E-002   1.19999997E+001   0.00000000E+000   6.97755281E-021   3.72863138E-020  -1.19999997E+001  -6.05838454E-021  -1.73472348E-019  -2.16840434E-020   3.29679123E-003   3.59736378E-003  -6.89415500E-003   3.44707584E-003   3.23926816E-004   3.23538966E-004
      26       1     1.19892097E+001   1.00002270E+000   1.24915459E-002   1.19999997E+001   0.00000000E+000   1.44528150E-020  -1.35723226E-020  -1.19999997E+001   3.81209287E-021   2.16840434E-019  -4.33680869E-020   3.44038304E-003   3.75406371E-003  -7.19444675E-003   3.59722164E-003   3.38035920E-004   3.37620834E-004
      27       1     1.19887566E+001   1.00002270E+000   1.30161854E-002   1.19999997E+001   0.00000000E+000  -9.69713978E-021   1.68571047E-020  -1.19999997E+001  -1.19398946E-020  -1.30104261E-019   8.67361738E-020   3.58486947E-003   3.91174125E-003  -7.49661072E-003   3.74830355E-003   3.52233031E-004   3.51790080E-004
      28       1     1.19883007E+001   1.00002270E+000   1.35440759E-002   1.19999997E+001   0.00000000E+000  -7.98145022E-021   2.36879854E-020  -1.19999997E+001   2.94148011E-021  -1.08420217E-019  -4.33680869E-020   3.73025059E-003   4.07039648E-003  -7.80064707E-003   3.90032165E-003   3.66518190E-004   3.66046810E-004
      29       1     1.19878420E+001   1.00002270E+000   1.40752174E-002   1.19999997E+001   0.00000000E+000  -7.99644804E-021   1.77484383E-020  -1.19999997E+001  -7.20788642E-021   0.00000000E+000   6.50521303E-020   3.87652640E-003   4.23002941E-003  -8.10655580E-003   4.05327595E-003   3.80891448E-004   3.80391080E-004
      30       1     1.19873805E+001   1.00002270E+000   1.46096099E-002   1.19999997E+001   0.00000000E+000   4.15266381E-021  -3.18755277E-021  -1.19999997E+001  -1.08523046E-020   1.30104261E-019  -4.33680869E-020   4.02369687E-003   4.39064008E-003  -8.41433695E-003   4.20716644E-003   3.95352884E-004   3.94822945E-004
      31       1     1.19869162E+001   1.00002270E+000   1.51472540E-002   1.19999997E+001   0.00000000E+000   6.32562592E-021   5.48541618E-020  -1.19999997E+001  -8.84309325E-021  -1.08420217E-019  -4.33680869E-020   4.17176215E-003   4.55222868E-003  -8.72399082E-003   4.36199331E-003   4.09902587E-004   4.09342477E-004
      32       1     1.19864491E+001   1.00002269E+000   1.56881504E-002   1.19999997E+001   0.00000000E+000   1.49336616E-020   1.06321350E-020  -1.19999997E+001   1.35823315E-021   4.33680869E-020   1.30104261E-019   4.32072240E-003   4.71479541E-003  -9.03551781E-003   4.51775673E-003   4.24540662E-004   4.23949773E-004
      33       1     1.19859791E+001   1.00002269E+000   1.62323001E-002   1.19999997E+001   0.00000000E+000  -1.03624030E-020   3.80885368E-020  -1.19999997E+001  -1.54405152E-021   6.50521303E-020   6.50521303E-020   4.47057789E-003   4.87834063E-003  -9.34891851E-003   4.67445700E-003   4.39267228E-004   4.38644949E-004
      34       1     1.19855064E+001   1.00002269E+000   1.67797039E-002   1.19999997E+001   0.00000000E+000   9.25803806E-021  -2.29108079E-020  -1.19999997E+001   1.59991620E-020   0.00000000E+000   1.95156391E-019   4.62132877E-003   5.04286457E-003  -9.66419334E-003   4.83209434E-003   4.54082405E-004   4.53428117E-004
      35       1     1.19850309E+001   1.00002269E+000   1.73303614E-002   1.19999997E+001   0.00000000E+000  -2.25678394E-020  -2.17376499E-020  -1.19999997E+001  -1.51467265E-020  -6.50521303E-020  -4.33680869E-020   4.77297491E-003   5.20836714E-003  -9.98134205E-003   4.99066861E-003   4.68986266E-004   4.68299374E-004
      36       1     1.19845526E+001   1.00002269E+000   1.78842722E-002   1.19999997E+001   0.00000000E+000  -2.04503708E-020  -2.41761667E-020  -1.19999997E+001  -1.94141771E-020  -4.33680869E-020  -8.67361738E-020   4.92551615E-003   5.37484825E-003  -1.03003644E-002   5.15017971E-003   4.83978840E-004   4.83258808E-004
      37       1     1.19840714E+001   1.00002269E+000   1.84414365E-002   1.19999997E+001   0.00000000E+000   8.61513778E-021  -1.21583711E-020  -1.19999997E+001  -4.77505001E-021   6.50521303E-020   0.00000000E+000   5.07895254E-003   5.54230801E-003  -1.06212606E-002   5.31062771E-003   4.99060127E-004   4.98306482E-004
      38       1     1.19835875E+001   1.00002269E+000   1.90018551E-002   1.19999997E+001   0.00000000E+000  -1.06699837E-020  -5.24357545E-022  -1.19999997E+001  -1.46500304E-020   1.08420217E-019  -4.33680869E-020   5.23328424E-003   5.71074669E-003  -1.09440309E-002   5.47201282E-003   5.14230181E-004   5.13442409E-004
      39       1     1.19831008E+001   1.00002269E+000   1.95655292E-002   1.19999997E+001   0.00000000E+000  -7.30674484E-021  -1.91725331E-020  -1.19999997E+001   1.99864155E-020   8.67361738E-020  -4.33680869E-020   5.38851154E-003   5.88016468E-003  -1.12686762E-002   5.63433539E-003   5.29488937E-004   5.28666610E-004
      40       1     1.19826112E+001   1.00002269E+000   2.01324677E-002   1.19999997E+001   0.00000000E+000  -4.39563180E-021   2.62640262E-020  -1.19999997E+001  -7.48661527E-021   8.67361738E-020  -4.33680869E-020   5.54463712E-003   6.05056448E-003  -1.15952016E-002   5.79759800E-003   5.44836240E-004   5.43979244E-004
      41       1     1.19821188E+001   1.00002269E+000   2.07026813E-002   1.19999997E+001   0.00000000E+000  -1.06070637E-020  -2.15382555E-020  -1.19999997E+001   2.55812687E-020  -4.33680869E-020   6.50521303E-020   5.70166385E-003   6.22194943E-003  -1.19236133E-002   5.96180376E-003   5.60271924E-004   5.59380009E-004
      42       1     1.19816237E+001   1.00002269E+000   2.12761765E-002   1.19999997E+001   0.00000000E+000   9.82148247E-021   2.04014172E-020  -1.19999997E+001   7.10971042E-021   6.50521303E-020   2.16840434E-019   5.85959337E-003   6.39432165E-003  -1.22539150E-002   6.12695455E-003   5.75795809E-004   5.74868598E-004
      43       1     1.19811256E+001   1.00002269E+000   2.18529586E-002   1.19999997E+001   0.00000000E+000  -1.69789626E-020  -2.19948100E-021  -1.19999997E+001   3.97824244E-021   8.67361738E-020   6.50521303E-020   6.01842714E-003   6.56768278E-003  -1.25861099E-002   6.29305192E-003   5.91407369E-004   5.90445120E-004
      44       1     1.19806248E+001   1.00002269E+000   2.24330279E-002   1.19999997E+001   0.00000000E+000  -5.35171381E-021   1.36073085E-020  -1.19999997E+001   2.80306177E-021  -6.50521303E-020  -1.08420217E-019   6.17816476E-003   6.74203335E-003  -1.29201981E-002   6.46009593E-003   6.07106701E-004   6.06109515E-004
      45       1     1.19801211E+001   1.00002269E+000   2.30163807E-002   1.19999997E+001   0.00000000E+000  -6.98632609E-021  -2.89832196E-020  -1.19999997E+001   5.89079258E-021   6.50521303E-020  -1.08420217E-019   6.33880512E-003   6.91737240E-003  -1.32561775E-002   6.62808556E-003   6.22893599E-004   6.21861985E-004
      46       1     1.19796146E+001   1.00002269E+000   2.36030106E-002   1.19999997E+001   0.00000000E+000   2.75147155E-020  -1.86016273E-020  -1.19999997E+001   6.66155172E-021  -8.67361738E-020  -1.30104261E-019   6.50034642E-003   7.09369799E-003  -1.35940444E-002   6.79701892E-003   6.38767817E-004   6.37702231E-004
      47       1     1.19790353E+001   1.00002269E+000   2.42735281E-002   1.19999997E+001   0.00000000E+000   3.37551728E-021   9.80860431E-021  -1.19999997E+001   4.30899061E-022  -1.51788304E-019   8.67361738E-020   6.68691887E-003   7.29353323E-003  -1.39804521E-002   6.99022275E-003   6.52486579E-004   6.56246459E-004
      48       1     1.19784952E+001   1.00002269E+000   2.48988277E-002   1.19999997E+001   0.00000000E+000  -2.24683451E-021  -1.52240834E-020  -1.19999997E+001   1.13384697E-020   4.33680869E-020   1.30104261E-019   6.85682700E-003   7.48387432E-003  -1.43407013E-002   7.17034718E-003   6.70402382E-004   6.68684422E-004
      49       1     1.19779756E+001   1.00002269E+000   2.55003854E-002   1.19999997E+001   0.00000000E+000  -1.74079540E-020   9.25321456E-021  -1.19999997E+001   4.22736339E-021  -1.08420217E-019  -1.30104261E-019   7.02282793E-003   7.66449628E-003  -1.46873242E-002   7.34365856E-003   6.84540212E-004   6.83799923E-004
      50       1     1.19774486E+001   1.00002269E+000   2.61107290E-002   1.19999997E+001   0.00000000E+000  -5.98002986E-021   1.50909241E-020  -1.19999997E+001  -2.02123651E-020   3.03576608E-019  -1.08420217E-019   7.19135616E-003   7.84752424E-003  -1.50388804E-002   7.51943650E-003   7.03843108E-004   6.97008182E-004
      51       1     1.19769315E+001   1.00002269E+000   2.67094298E-002   1.19999997E+001   0.00000000E+000  -1.73558071E-020  -1.78029120E-020  -1.19999997E+001   3.59027405E-021  -1.51788304E-019   1.30104261E-019   7.35684984E-003   8.02698638E-003  -1.53838362E-002   7.69191434E-003   7.18233950E-004   7.12313914E-004
      52       1     1.19764056E+001   1.00002269E+000   2.73189045E-002   1.19999997E+001   0.00000000E+000   2.31770011E-020   5.50013069E-022  -1.19999997E+001   3.30839158E-021  -2.16840434E-020  -1.51788304E-019   7.52259358E-003   8.21208042E-003  -1.57346740E-002   7.86733317E-003   7.34499892E-004   7.32077171E-004
      53       1     1.19758989E+001   1.00002269E+000   2.79060942E-002   1.19999997E+001   0.00000000E+000   5.88419065E-021   5.33841187E-021  -1.19999997E+001   1.90002353E-020   4.33680869E-020   8.67361738E-020   7.68646855E-003   8.38624740E-003  -1.60727159E-002   8.03635402E-003   7.54889026E-004   7.47629229E-004
      54       1     1.19753916E+001   1.00002269E+000   2.84939048E-002   1.19999997E+001   0.00000000E+000   4.17849511E-021   4.15105469E-021  -1.19999997E+001   5.85700225E-021   0.00000000E+000  -1.73472348E-019   7.85164703E-003   8.55953461E-003  -1.64111816E-002   8.20558685E-003   7.71377501E-004   7.66216122E-004
      55       1     1.19748858E+001   1.00002269E+000   2.90802520E-002   1.19999997E+001   0.00000000E+000   3.82751979E-022   2.57479288E-020  -1.19999997E+001   2.23052354E-021   2.16840434E-019  -1.73472348E-019   8.01027008E-003   8.73829383E-003  -1.67485639E-002   8.37427789E-003   7.89381833E-004   7.85535689E-004
      56       1     1.19743792E+001   1.00002269E+000   2.96672402E-002   1.19999997E+001   0.00000000E+000  -1.22563145E-020  -4.65140202E-020  -1.19999997E+001  -2.92568613E-021   1.73472348E-019  -8.67361738E-020   8.17197486E-003   8.91458014E-003  -1.70865550E-002   8.54327337E-003   8.05837214E-004   8.02609905E-004
      57       1     1.19738700E+001   1.00002269E+000   3.02569510E-002   1.19999997E+001   0.00000000E+000  -9.17573876E-021   5.00918995E-020  -1.19999997E+001   1.28499510E-020  -2.16840434E-019   4.33680869E-020   8.33526226E-003   9.09100123E-003  -1.74262635E-002   8.71312751E-003   8.22150641E-004   8.17144845E-004
      58       1     1.19733582E+001   1.00002269E+000   3.08500589E-002   1.19999997E+001   0.00000000E+000   1.23861818E-020  -1.04946046E-020  -1.19999997E+001  -8.48065372E-021  -2.16840434E-019   4.33680869E-020   8.49888768E-003   9.26885994E-003  -1.77677476E-002   8.88386949E-003   8.40033158E-004   8.33903920E-004
      59       1     1.19728378E+001   1.00002269E+000   3.14530109E-002   1.19999997E+001   0.00000000E+000   3.29069250E-021  -3.55471537E-020  -1.19999997E+001   2.13817606E-020  -8.67361738E-020  -8.67361738E-020   8.66554810E-003   9.44938051E-003  -1.81149286E-002   9.05745991E-003   8.57382293E-004   8.51295044E-004
      60       1     1.19723177E+001   1.00002269E+000   3.20556099E-002   1.19999997E+001   0.00000000E+000  -1.92488961E-020  -1.37469421E-020  -1.19999997E+001   1.40958969E-020  -8.67361738E-020   1.30104261E-019   8.83164491E-003   9.63027666E-003  -1.84619216E-002   9.23095629E-003   8.75365920E-004   8.67481394E-004
      61       1     1.19718020E+001   1.00002269E+000   3.26532835E-002   1.19999997E+001   0.00000000E+000  -9.85404237E-021  -4.07055735E-020  -1.19999997E+001  -8.51653268E-021   0.00000000E+000   0.00000000E+000   8.99626688E-003   9.80978285E-003  -1.88060497E-002   9.40302028E-003   8.92518367E-004   8.84786646E-004
      62       1     1.19712845E+001   1.00002269E+000   3.32529083E-002   1.19999997E+001   0.00000000E+000  -1.13786862E-020  -4.30143845E-020  -1.19999997E+001  -1.74027169E-020  -1.30104261E-019   1.30104261E-019   9.16138922E-003   9.98992076E-003  -1.91513100E-002   9.57565033E-003   9.09594790E-004   9.02075757E-004
      63       1     1.19707637E+001   1.00002269E+000   3.38563864E-002   1.19999997E+001   0.00000000E+000   8.40096004E-021  -6.99624192E-022  -1.19999997E+001  -2.47887418E-020   8.67361738E-020  -3.46944695E-019   9.32733114E-003   1.01714666E-002  -1.94987977E-002   9.74939411E-003   9.26936526E-004   9.19018293E-004
      64       1     1.19702217E+001   1.00002269E+000   3.44847879E-002   1.19999997E+001   0.00000000E+000  -2.20872371E-020   8.67196509E-021  -1.19999997E+001   1.93407597E-020   0.00000000E+000  -4.33680869E-020   9.49772629E-003   1.03626784E-002  -1.98604047E-002   9.93019749E-003   9.45429090E-004   9.40079582E-004
      65       1     1.19696907E+001   1.00002269E+000   3.50998330E-002   1.19999997E+001   0.00000000E+000   1.06003971E-020  -5.35303200E-020  -1.19999997E+001  -1.34477544E-020  -1.73472348E-019   8.67361738E-020   9.66816325E-003   1.05465711E-002  -2.02147343E-002   1.01073623E-002   9.60621018E-004   9.56563970E-004
      66       1     1.19691606E+001   1.00002269E+000   3.57136956E-002   1.19999997E+001   0.00000000E+000  -2.77420351E-020   2.25534038E-020  -1.19999997E+001  -2.51406735E-020   3.03576608E-019  -3.03576608E-019   9.83923126E-003   1.07291798E-002  -2.05684111E-002   1.02842006E-002   9.74612897E-004   9.74018333E-004
      67       1     1.19686332E+001   1.00002269E+000   3.63249475E-002   1.19999997E+001   0.00000000E+000   1.13250538E-020  -1.81754044E-020  -1.19999997E+001   2.96674737E-020  -3.03576608E-019  -4.33680869E-020   1.00076332E-002   1.09126863E-002  -2.09203195E-002   1.04601548E-002   9.91479263E-004   9.93207912E-004
