    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850079E+003   7.24338518E-021  -2.84032615E-020  -1.19999997E+001   1.17227530E-020  -2.42009414E-020   2.07436640E-020  -6.98630206E+003  -6.98628348E+003  -1.41660938E+004  -2.04124388E+002  -6.01128288E-003   2.30900324E-003   4.34873979E-004   1.19996234E+001   0.00000000E+000   7.67603272E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828470E+003   9.24139580E-021   7.82471711E-021  -1.19999997E+001   1.07547196E-020   6.91455467E-021  -3.45727734E-021  -6.98638166E+003  -6.98635183E+003  -1.41659459E+004  -2.04189706E+002  -7.80848324E-003   2.50179508E-003   8.75992340E-004   1.19992417E+001   0.00000000E+000   7.73003922E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806554E+003   6.46758436E-021  -1.51881544E-020  -1.19999997E+001   7.73882063E-021  -2.07436640E-020   3.45727734E-021  -6.98646239E+003  -6.98642115E+003  -1.41657958E+004  -2.04255955E+002  -9.63286131E-003   2.69786045E-003   1.32339785E-003   1.19988545E+001   0.00000000E+000   7.78406058E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784477E+003  -1.22913292E-021   7.72427375E-021  -1.19999997E+001   3.70949357E-021   6.91455467E-021  -2.07436640E-020  -6.98654371E+003  -6.98649098E+003  -1.41656447E+004  -2.04322689E+002  -1.14702374E-002   2.89523754E-003   1.77408335E-003   1.19984645E+001   0.00000000E+000   7.83809984E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762237E+003  -4.84140688E-021   9.88908138E-021  -1.19999997E+001   3.32408701E-021  -1.03718320E-020   3.45727734E-021  -6.98662564E+003  -6.98656133E+003  -1.41654924E+004  -2.04389918E+002  -1.33220365E-002   3.09453127E-003   2.22810734E-003   1.19980716E+001   0.00000000E+000   7.89216314E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18739833E+003  -9.42633107E-021   1.81397332E-020  -1.19999997E+001  -3.69602814E-021  -1.72863867E-020  -6.91455467E-021  -6.98670816E+003  -6.98663220E+003  -1.41653390E+004  -2.04457643E+002  -1.51874182E-002   3.29531866E-003   2.68548273E-003   1.19976758E+001   0.00000000E+000   7.94625162E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18717269E+003   5.66547502E-021  -1.74029727E-020  -1.19999997E+001   1.14518091E-020  -2.07436640E-020  -3.11154960E-020  -6.98679128E+003  -6.98670358E+003  -1.41651845E+004  -2.04525852E+002  -1.70657480E-002   3.49757211E-003   3.14612702E-003   1.19972772E+001   0.00000000E+000   8.00035573E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18694541E+003   3.19019770E-021   1.07254939E-020  -1.19999997E+001   1.03866031E-020   3.45727734E-021   1.72863867E-020  -6.98687501E+003  -6.98677548E+003  -1.41650289E+004  -2.04594560E+002  -1.89575585E-002   3.70177813E-003   3.61014178E-003   1.19968756E+001   0.00000000E+000   8.05448693E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18671652E+003  -1.23392610E-020  -1.04564492E-020  -1.19999997E+001  -5.29010489E-021   0.00000000E+000  -6.91455467E-021  -6.98695932E+003  -6.98684789E+003  -1.41648722E+004  -2.04663753E+002  -2.08624906E-002   3.90755185E-003   4.07743040E-003   1.19964713E+001   0.00000000E+000   8.10863339E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18648602E+003   2.06594688E-021  -2.69192425E-021  -1.19999997E+001   1.35528901E-020   6.91455467E-021  -3.45727734E-021  -6.98704424E+003  -6.98692080E+003  -1.41647143E+004  -2.04733433E+002  -2.27802264E-002   4.11476336E-003   4.54800926E-003   1.19960641E+001   0.00000000E+000   8.16279680E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18625391E+003   1.01495800E-021  -2.25988592E-020  -1.19999997E+001   2.18999760E-020   6.91455467E-021   0.00000000E+000  -6.98712974E+003  -6.98699423E+003  -1.41645554E+004  -2.04803599E+002  -2.47110204E-002   4.32323856E-003   5.02187357E-003   1.19956541E+001   0.00000000E+000   8.21697626E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
