    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850031E+003  -9.79324043E-022   2.92169958E-021  -1.19999997E+001  -2.98138655E-021  -3.76459088E-020  -3.76459088E-020  -6.98629672E+003  -6.98628915E+003  -1.41660935E+004  -2.04124534E+002   6.75484215E-005   6.41801997E-003   4.35879458E-004   1.19996225E+001   0.00000000E+000   7.67615354E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828378E+003  -1.19541241E-020  -3.80740035E-022  -1.19999997E+001   5.83433391E-021  -3.76459088E-020   0.00000000E+000  -6.98637088E+003  -6.98636324E+003  -1.41659453E+004  -2.04189985E+002   4.43479435E-003   1.07766619E-002   8.77920941E-004   1.19992400E+001   0.00000000E+000   7.73026912E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806409E+003  -6.56216489E-021  -2.44499726E-020  -1.19999997E+001  -3.30031018E-021   3.76459088E-020  -3.76459088E-020  -6.98644612E+003  -6.98643841E+003  -1.41657948E+004  -2.04256394E+002   8.86604672E-003   1.51993044E-002   1.32643143E-003   1.19988519E+001   0.00000000E+000   7.78441613E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784278E+003   9.65367165E-021  -1.99699674E-020  -1.19999997E+001   3.27443610E-021   3.76459088E-020   0.00000000E+000  -6.98652192E+003  -6.98651414E+003  -1.41656433E+004  -2.04323290E+002   1.33297856E-002   1.96544429E-002   1.77823251E-003   1.19984610E+001   0.00000000E+000   7.83858068E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18761987E+003   7.49470871E-022  -3.89166578E-020  -1.19999997E+001   4.48452882E-021  -3.76459088E-020   0.00000000E+000  -6.98659826E+003  -6.98659042E+003  -1.41654907E+004  -2.04390673E+002   1.78259988E-002   2.41420449E-002   2.23332308E-003   1.19980672E+001   0.00000000E+000   7.89276217E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18739536E+003   1.21165378E-020   1.76022167E-020  -1.19999997E+001  -6.12128912E-021   0.00000000E+000   0.00000000E+000  -6.98667516E+003  -6.98666725E+003  -1.41653370E+004  -2.04458543E+002   2.23546416E-002   2.86620773E-002   2.69169702E-003   1.19976705E+001   0.00000000E+000   7.94695969E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18716923E+003  -5.61111363E-022  -1.35158225E-021  -1.19999997E+001   2.92141236E-021  -3.76459088E-020   0.00000000E+000  -6.98675261E+003  -6.98674463E+003  -1.41651821E+004  -2.04526897E+002   2.69156606E-002   3.32144825E-002   3.15334885E-003   1.19972711E+001   0.00000000E+000   8.00117225E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18694151E+003   3.56947821E-021   2.00121701E-020  -1.19999997E+001   3.96079137E-022   0.00000000E+000   3.76459088E-020  -6.98683060E+003  -6.98682255E+003  -1.41650262E+004  -2.04595737E+002   3.15090620E-002   3.77992638E-002   3.61827657E-003   1.19968688E+001   0.00000000E+000   8.05539928E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18671219E+003  -2.45251512E-021  -2.57513291E-020  -1.19999997E+001  -3.99150547E-021   7.52918175E-020  -3.76459088E-020  -6.98690915E+003  -6.98690103E+003  -1.41648692E+004  -2.04665062E+002   3.61348744E-002   4.24164217E-002   4.08648178E-003   1.19964636E+001   0.00000000E+000   8.10964068E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18648126E+003   1.29775806E-020   1.27869413E-020  -1.19999997E+001  -7.38910317E-021   3.76459088E-020   3.76459088E-020  -6.98698825E+003  -6.98698005E+003  -1.41647111E+004  -2.04734873E+002   4.07931383E-002   4.70659636E-002   4.55796639E-003   1.19960557E+001   0.00000000E+000   8.16389641E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18624872E+003   3.96895906E-022  -5.21285345E-021  -1.19999997E+001  -1.39078716E-021   0.00000000E+000  -3.76459088E-020  -6.98706790E+003  -6.98705963E+003  -1.41645518E+004  -2.04805169E+002   4.54838881E-002   5.17478933E-002   5.03273150E-003   1.19956449E+001   0.00000000E+000   8.21816636E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18601458E+003  -7.66992811E-021  -2.59399029E-020  -1.19999997E+001  -5.27675889E-021  -3.76459088E-020   0.00000000E+000  -6.98714810E+003  -6.98713975E+003  -1.41643915E+004  -2.04875952E+002   5.02071704E-002   5.64622208E-002   5.51078391E-003   1.19952313E+001   0.00000000E+000   8.27245103E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
