   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996226E+001   1.00002270E+000   4.37685835E-004   1.19999997E+001   0.00000000E+000  -5.23173643E-021  -2.30964337E-023  -1.19999997E+001  -5.22457615E-021  -5.42101086E-020   0.00000000E+000   1.36388540E-004   1.15001386E-004  -2.51389926E-004   1.25694804E-004   2.32665677E-005   1.93804212E-006
       2       1     1.19992402E+001   1.00002270E+000   8.81578878E-004   1.19999997E+001   0.00000000E+000  -1.09748514E-020   1.15888004E-021  -1.19999997E+001   5.91749501E-021   8.13151629E-020  -8.13151629E-020   2.74707996E-004   2.31637593E-004  -5.06345589E-004   2.53172474E-004   4.68590473E-005   3.90018352E-006
       3       1     1.19988522E+001   1.00002270E+000   1.33193764E-003   1.19999997E+001   0.00000000E+000  -6.56678332E-021   1.64624452E-021  -1.19999997E+001  -1.15490957E-020  -8.13151629E-020  -2.71050543E-020   4.15037088E-004   3.49978403E-004  -7.65015492E-004   3.82507262E-004   7.07909403E-005   5.89751067E-006
       4       1     1.19984614E+001   1.00002270E+000   1.78559504E-003   1.19999997E+001   0.00000000E+000  -1.01285681E-020   1.17669027E-021  -1.19999997E+001   5.91933031E-021  -8.13151629E-020   1.08420217E-019   5.56393275E-004   4.69186900E-004  -1.02558018E-003   5.12789439E-004   9.48966568E-005   7.90992938E-006
       5       1     1.19980677E+001   1.00002270E+000   2.24260272E-003   1.19999997E+001   0.00000000E+000   3.58810270E-021  -5.71526227E-021  -1.19999997E+001  -3.21561293E-021  -2.71050543E-020  -8.13151629E-020   6.98796686E-004   5.89271960E-004  -1.28806865E-003   6.44033507E-004   1.19184199E-004   9.93711632E-006
       6       1     1.19976711E+001   1.00002270E+000   2.70297849E-003   1.19999997E+001   0.00000000E+000   5.23266378E-021  -1.30787595E-021  -1.19999997E+001   1.76495786E-021  -5.42101086E-020  -5.42101086E-020   8.42249500E-004   7.10242122E-004  -1.55249162E-003   7.76244828E-004   1.43650734E-004   1.19795615E-005
       7       1     1.19972716E+001   1.00002270E+000   3.16662755E-003   1.19999997E+001   0.00000000E+000  -5.46642389E-021   2.65695583E-021  -1.19999997E+001  -1.14362890E-021   1.08420217E-019   5.42101086E-020   9.86723565E-004   8.32071060E-004  -1.81879462E-003   9.09396161E-004   1.68290988E-004   1.40360488E-005
       8       1     1.19968693E+001   1.00002270E+000   3.63370441E-003   1.19999997E+001   0.00000000E+000   3.02980749E-021   4.44389859E-021  -1.19999997E+001  -5.43421473E-021  -5.42101086E-020   0.00000000E+000   1.13226751E-003   9.54798477E-004  -2.08706599E-003   1.04353167E-003   1.93117197E-004   1.61089522E-005
       9       1     1.19964641E+001   1.00002270E+000   4.10407469E-003   1.19999997E+001   0.00000000E+000  -4.39710150E-021   4.07339923E-021  -1.19999997E+001   7.94695679E-021  -5.42101086E-020  -5.42101086E-020   1.27883747E-003   1.07839140E-003  -2.35722887E-003   1.17861294E-003   2.18119518E-004   1.81972189E-005
      10       1     1.19960560E+001   1.00002270E+000   4.57776064E-003   1.19999997E+001   0.00000000E+000   5.97556567E-021  -1.34675343E-021  -1.19999997E+001  -1.09166644E-020   5.42101086E-020  -1.08420217E-019   1.42644034E-003   1.20285584E-003  -2.62929618E-003   1.31464643E-003   2.43297829E-004   2.03009818E-005
