   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996246E+001   1.00002270E+000   4.34222234E-004   1.19999997E+001   0.00000000E+000   7.07079157E-021   1.98391463E-020  -1.19999997E+001   2.31420320E-021   2.16840434E-020   0.00000000E+000   1.19616626E-004   1.30471384E-004  -2.50088010E-004   1.25043945E-004   1.17426077E-005   1.17603781E-005
       2       1     1.19992440E+001   1.00002270E+000   8.74811424E-004   1.19999997E+001   0.00000000E+000  -1.01175563E-021   1.11240386E-020  -1.19999997E+001  -1.40714822E-020   0.00000000E+000   2.60208521E-019   2.40977700E-004   2.62865363E-004  -5.03843063E-004   2.51921411E-004   2.36553184E-005   2.36902744E-005
       3       1     1.19988577E+001   1.00002270E+000   1.32188717E-003   1.19999997E+001   0.00000000E+000  -4.94949723E-021   1.33677453E-020  -1.19999997E+001  -5.38547570E-021   2.16840434E-020  -4.33680869E-020   3.64126070E-004   3.97208009E-004  -7.61334079E-004   3.80666858E-004   3.57433551E-005   3.57947880E-005
       4       1     1.19984687E+001   1.00002270E+000   1.77221146E-003   1.19999997E+001   0.00000000E+000  -7.68779593E-021  -8.03143099E-021  -1.19999997E+001  -9.37710554E-021   0.00000000E+000   2.16840434E-020   4.88169302E-004   5.32526787E-004  -1.02069609E-003   5.10347801E-004   4.79194000E-005   4.79867205E-005
       5       1     1.19980769E+001   1.00002270E+000   2.22578432E-003   1.19999997E+001   0.00000000E+000   7.81222458E-021   3.31938791E-021  -1.19999997E+001   2.00912348E-021  -8.67361738E-020   1.51788304E-019   6.13107396E-004   6.68821725E-004  -1.28192912E-003   6.40964255E-004   6.01834419E-005   6.02660327E-005
       6       1     1.19976823E+001   1.00002270E+000   2.68260795E-003   1.19999997E+001   0.00000000E+000  -1.19151852E-020  -2.92511873E-020  -1.19999997E+001  -7.07798029E-021  -1.08420217E-019  -6.50521303E-020   7.38940927E-004   8.06093514E-004  -1.54503444E-003   7.72516851E-004   7.25355314E-005   7.26327347E-005
       7       1     1.19972848E+001   1.00002270E+000   3.14268393E-003   1.19999997E+001   0.00000000E+000  -1.40611398E-020  -6.26445333E-021  -1.19999997E+001   1.02159313E-020   1.30104261E-019   0.00000000E+000   8.65670303E-004   9.44342655E-004  -1.81001296E-003   9.05006047E-004   8.49756987E-005   8.50868207E-005
       8       1     1.19968846E+001   1.00002270E+000   3.60601214E-003   1.19999997E+001   0.00000000E+000   8.83998615E-021  -3.80743481E-020  -1.19999997E+001   6.10816272E-021   1.73472348E-019  -8.67361738E-020   9.93295470E-004   1.08356914E-003  -2.07686461E-003   1.03843181E-003   9.75039357E-005   9.76282465E-005
       9       1     1.19964815E+001   1.00002270E+000   4.07259185E-003   1.19999997E+001   0.00000000E+000   4.26618401E-021   1.56163144E-020  -1.19999997E+001  -4.25845246E-021   1.95156391E-019   0.00000000E+000   1.12181621E-003   1.22377275E-003  -2.34558897E-003   1.17279392E-003   1.10120213E-004   1.10256953E-004
      10       1     1.19960757E+001   1.00002270E+000   4.54242259E-003   1.19999997E+001   0.00000000E+000  -1.42143337E-020  -4.13969077E-020  -1.19999997E+001  -7.20343516E-021  -2.16840434E-020   1.30104261E-019   1.25123239E-003   1.36495338E-003  -2.61618577E-003   1.30809226E-003   1.22824513E-004   1.22972894E-004
      11       1     1.19956670E+001   1.00002270E+000   5.01550521E-003   1.19999997E+001   0.00000000E+000   6.63175513E-021  -8.18934656E-021  -1.19999997E+001   1.01689449E-020  -2.16840434E-020   1.30104261E-019   1.38154421E-003   1.50711130E-003  -2.88865551E-003   1.44432706E-003   1.35616842E-004   1.35776043E-004
      12       1     1.19952556E+001   1.00002270E+000   5.49183890E-003   1.19999997E+001   0.00000000E+000   8.39846816E-021  -1.01150747E-020  -1.19999997E+001  -7.48622753E-021   1.51788304E-019   0.00000000E+000   1.51275143E-003   1.65024630E-003  -3.16299773E-003   1.58149811E-003   1.48497147E-004   1.48666332E-004
      13       1     1.19948413E+001   1.00002270E+000   5.97142408E-003   1.19999997E+001   0.00000000E+000  -7.82598679E-021   1.51920301E-020  -1.19999997E+001  -4.31699951E-021  -2.16840434E-020  -1.95156391E-019   1.64485413E-003   1.79435853E-003  -3.43921265E-003   1.71960551E-003   1.61465409E-004   1.61643736E-004
