   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850147E+003   5.32316926E-002   2.84783105E+003   2.84777782E+003  -5.97213369E-002  -1.66697324E+002  -1.66637603E+002   2.84778738E+003  -5.01632859E-002   2.84783754E+003   4.36736416E-002  -1.66687766E+002  -1.66644092E+002
       2       1     1.19999997E+001   7.18828602E+003   5.12763961E-002   2.84771615E+003   2.84766487E+003  -5.37355587E-002  -1.66746528E+002  -1.66692792E+002   2.84766648E+003  -5.21271693E-002   2.84771861E+003   4.96680067E-002  -1.66744919E+002  -1.66695251E+002
       3       1     1.19999997E+001   7.18806739E+003   4.92921974E-002   2.84759955E+003   2.84755026E+003  -4.76616222E-002  -1.66796456E+002  -1.66748794E+002   2.84754380E+003  -5.41194737E-002   2.84759792E+003   5.57500489E-002  -1.66802914E+002  -1.66747164E+002
       4       1     1.19999997E+001   7.18784718E+003   4.72933696E-002   2.84748210E+003   2.84743481E+003  -4.15434179E-002  -1.66846747E+002  -1.66805203E+002   2.84742023E+003  -5.61260179E-002   2.84747635E+003   6.18759696E-002  -1.66861329E+002  -1.66799453E+002
       5       1     1.19999997E+001   7.18762538E+003   4.52798985E-002   2.84736381E+003   2.84731853E+003  -3.53809495E-002  -1.66897400E+002  -1.66862019E+002   2.84729577E+003  -5.81467985E-002   2.84735391E+003   6.80457475E-002  -1.66920166E+002  -1.66852120E+002
       6       1     1.19999997E+001   7.18740199E+003   4.32517514E-002   2.84724467E+003   2.84720142E+003  -2.91741892E-002  -1.66948417E+002  -1.66919243E+002   2.84717041E+003  -6.01818227E-002   2.84723060E+003   7.42593849E-002  -1.66979425E+002  -1.66905165E+002
       7       1     1.19999997E+001   7.18717702E+003   4.12088994E-002   2.84712469E+003   2.84708348E+003  -2.29231191E-002  -1.66999797E+002  -1.66976874E+002   2.84704417E+003  -6.22310964E-002   2.84710640E+003   8.05168767E-002  -1.67039105E+002  -1.66958588E+002
       8       1     1.19999997E+001   7.18695046E+003   3.91513243E-002   2.84700385E+003   2.84696470E+003  -1.66277412E-002  -1.67051540E+002  -1.67034912E+002   2.84691703E+003  -6.42946152E-002   2.84698132E+003   8.68181983E-002  -1.67099206E+002  -1.67012388E+002
       9       1     1.19999997E+001   7.18672231E+003   3.70790145E-002   2.84688216E+003   2.84684508E+003  -1.02880684E-002  -1.67103645E+002  -1.67093357E+002   2.84678900E+003  -6.63723720E-002   2.84685537E+003   9.31633181E-002  -1.67159730E+002  -1.67066566E+002
      10       1     1.19999997E+001   7.18649257E+003   3.49919599E-002   2.84675963E+003   2.84672464E+003  -3.90410713E-003  -1.67156114E+002  -1.67152210E+002   2.84666008E+003  -6.84643581E-002   2.84672854E+003   9.95522108E-002  -1.67220675E+002  -1.67121122E+002
