   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      24       1     1.19999997E+001   7.18311443E+003   4.39495683E-003   2.84495778E+003   2.84495339E+003   9.00089982E-002  -1.67927721E+002  -1.68017730E+002   2.84476419E+003  -9.91854649E-002   2.84486338E+003   1.93589420E-001  -1.68116916E+002  -1.67923326E+002
      25       1     1.19999997E+001   7.18286113E+003   2.09121308E-003   2.84482266E+003   2.84482057E+003   9.70520663E-002  -1.67985580E+002  -1.68082632E+002   2.84462203E+003  -1.01486272E-001   2.84472352E+003   2.00629552E-001  -1.68184118E+002  -1.67983489E+002
      26       1     1.19999997E+001   7.18260625E+003  -2.27740881E-004   2.84468669E+003   2.84468692E+003   1.04139302E-001  -1.68043801E+002  -1.68147941E+002   2.84447897E+003  -1.03801177E-001   2.84458278E+003   2.07712738E-001  -1.68251742E+002  -1.68044029E+002
      27       1     1.19999997E+001   7.18234979E+003  -2.56190668E-003   2.84454987E+003   2.84455243E+003   1.11270685E-001  -1.68102385E+002  -1.68213656E+002   2.84433503E+003  -1.06130197E-001   2.84444116E+003   2.14838975E-001  -1.68319786E+002  -1.68104947E+002
      28       1     1.19999997E+001   7.18209174E+003  -4.91127744E-003   2.84441220E+003   2.84441712E+003   1.18446190E-001  -1.68161331E+002  -1.68279777E+002   2.84419020E+003  -1.08473346E-001   2.84429867E+003   2.22008259E-001  -1.68388251E+002  -1.68166243E+002
      29       1     1.19999997E+001   7.18183211E+003  -7.27582820E-003   2.84427369E+003   2.84428097E+003   1.25665775E-001  -1.68220640E+002  -1.68346306E+002   2.84404447E+003  -1.10830664E-001   2.84415530E+003   2.29220611E-001  -1.68457136E+002  -1.68227916E+002
      30       1     1.19999997E+001   7.18157089E+003  -9.65550339E-003   2.84413433E+003   2.84414399E+003   1.32929375E-001  -1.68280311E+002  -1.68413240E+002   2.84389785E+003  -1.13202220E-001   2.84401106E+003   2.36476092E-001  -1.68526443E+002  -1.68289967E+002
      31       1     1.19999997E+001   7.18130809E+003  -1.20502519E-002   2.84399412E+003   2.84400617E+003   1.40236939E-001  -1.68340345E+002  -1.68480582E+002   2.84375035E+003  -1.15588087E-001   2.84386594E+003   2.43774774E-001  -1.68596170E+002  -1.68352395E+002
      32       1     1.19999997E+001   7.18104370E+003  -1.44600190E-002   2.84385307E+003   2.84386753E+003   1.47588431E-001  -1.68400742E+002  -1.68548330E+002   2.84360195E+003  -1.17988323E-001   2.84371994E+003   2.51116735E-001  -1.68666318E+002  -1.68415202E+002
      33       1     1.19999997E+001   7.18077773E+003  -1.68847484E-002   2.84371116E+003   2.84372805E+003   1.54983820E-001  -1.68461501E+002  -1.68616485E+002   2.84345266E+003  -1.20403001E-001   2.84357306E+003   2.58502072E-001  -1.68736888E+002  -1.68478386E+002
      34       1     1.19999997E+001   7.18051017E+003  -1.93243803E-002   2.84356841E+003   2.84358773E+003   1.62423082E-001  -1.68522624E+002  -1.68685047E+002   2.84330248E+003  -1.22832189E-001   2.84342531E+003   2.65930890E-001  -1.68807879E+002  -1.68541949E+002
      35       1     1.19999997E+001   7.18024102E+003  -2.17788601E-002   2.84342481E+003   2.84344659E+003   1.69906190E-001  -1.68584110E+002  -1.68754017E+002   2.84315140E+003  -1.25275933E-001   2.84327668E+003   2.73403263E-001  -1.68879293E+002  -1.68605889E+002
      36       1     1.19999997E+001   7.17997029E+003  -2.42481323E-002   2.84328036E+003   2.84330461E+003   1.77433127E-001  -1.68645960E+002  -1.68823393E+002   2.84299944E+003  -1.27734261E-001   2.84312717E+003   2.80919256E-001  -1.68951127E+002  -1.68670208E+002
      37       1     1.19999997E+001   7.17969797E+003  -2.67321380E-002   2.84313506E+003   2.84316179E+003   1.85003887E-001  -1.68708173E+002  -1.68893177E+002   2.84284658E+003  -1.30207190E-001   2.84297679E+003   2.88478939E-001  -1.69023384E+002  -1.68734905E+002
      38       1     1.19999997E+001   7.17942407E+003  -2.92307762E-002   2.84298891E+003   2.84301814E+003   1.92618491E-001  -1.68770749E+002  -1.68963368E+002   2.84269283E+003  -1.32694738E-001   2.84282552E+003   2.96082454E-001  -1.69096063E+002  -1.68799980E+002
      39       1     1.19999997E+001   7.17914857E+003  -3.17440905E-002   2.84284191E+003   2.84287366E+003   2.00277021E-001  -1.68833690E+002  -1.69033967E+002   2.84253818E+003  -1.35196890E-001   2.84267338E+003   3.03729821E-001  -1.69169164E+002  -1.68865434E+002
      40       1     1.19999997E+001   7.17887149E+003  -3.42722512E-002   2.84269406E+003   2.84272834E+003   2.07979705E-001  -1.68896994E+002  -1.69104974E+002   2.84238264E+003  -1.37713624E-001   2.84252036E+003   3.11421078E-001  -1.69242687E+002  -1.68931266E+002
      41       1     1.19999997E+001   7.17859281E+003  -3.68158602E-002   2.84254536E+003   2.84258218E+003   2.15726868E-001  -1.68960663E+002  -1.69176390E+002   2.84222621E+003  -1.40244917E-001   2.84236645E+003   3.19155925E-001  -1.69316635E+002  -1.68997479E+002
      42       1     1.19999997E+001   7.17831254E+003  -3.93754104E-002   2.84239581E+003   2.84243518E+003   2.23518841E-001  -1.69024697E+002  -1.69248216E+002   2.84206887E+003  -1.42790680E-001   2.84221166E+003   3.26934111E-001  -1.69391006E+002  -1.69064072E+002
      43       1     1.19999997E+001   7.17803066E+003  -4.19510993E-002   2.84224539E+003   2.84228735E+003   2.31355757E-001  -1.69089096E+002  -1.69320452E+002   2.84191064E+003  -1.45350859E-001   2.84205599E+003   3.34755517E-001  -1.69465803E+002  -1.69131047E+002
      44       1     1.19999997E+001   7.17774719E+003  -4.45433436E-002   2.84209413E+003   2.84213867E+003   2.39238196E-001  -1.69153861E+002  -1.69393099E+002   2.84175151E+003  -1.47925060E-001   2.84189943E+003   3.42619912E-001  -1.69541024E+002  -1.69198404E+002
      45       1     1.19999997E+001   7.17746213E+003  -4.71520956E-002   2.84194200E+003   2.84198916E+003   2.47166187E-001  -1.69218990E+002  -1.69466157E+002   2.84159148E+003  -1.50513198E-001   2.84174199E+003   3.50527289E-001  -1.69616670E+002  -1.69266142E+002
      46       1     1.19999997E+001   7.17716990E+003  -4.86507815E-002   2.84178658E+003   2.84183523E+003   2.54419088E-001  -1.69286409E+002  -1.69540828E+002   2.84142734E+003  -1.53474136E-001   2.84158081E+003   3.59242443E-001  -1.69694303E+002  -1.69335060E+002
      47       1     1.19999997E+001   7.17685451E+003  -5.11736474E-002   2.84161803E+003   2.84166920E+003   2.62514693E-001  -1.69359081E+002  -1.69621595E+002   2.84125108E+003  -1.55603992E-001   2.84140669E+003   3.66945037E-001  -1.69777199E+002  -1.69410254E+002
      48       1     1.19999997E+001   7.17654129E+003  -5.65186381E-002   2.84144944E+003   2.84150596E+003   2.72373676E-001  -1.69429599E+002  -1.69701973E+002   2.84107572E+003  -1.57863471E-001   2.84123358E+003   3.73718509E-001  -1.69859836E+002  -1.69486118E+002
      49       1     1.19999997E+001   7.17624913E+003  -5.95753888E-002   2.84129323E+003   2.84135280E+003   2.81135155E-001  -1.69496264E+002  -1.69777399E+002   2.84091245E+003  -1.59215697E-001   2.84107167E+003   3.80775464E-001  -1.69936615E+002  -1.69555840E+002
      50       1     1.19999997E+001   7.17596469E+003  -6.17811985E-002   2.84114169E+003   2.84120347E+003   2.88785124E-001  -1.69561390E+002  -1.69850175E+002   2.84075252E+003  -1.62173888E-001   2.84091469E+003   3.89177813E-001  -1.70012349E+002  -1.69623171E+002
      51       1     1.19999997E+001   7.17566844E+003  -6.63983983E-002   2.84098235E+003   2.84104875E+003   2.97921841E-001  -1.69628409E+002  -1.69926331E+002   2.84058698E+003  -1.63853050E-001   2.84075083E+003   3.95376493E-001  -1.70090184E+002  -1.69694807E+002
      52       1     1.19999997E+001   7.17536648E+003  -7.04747242E-002   2.84082034E+003   2.84089081E+003   3.05556091E-001  -1.69696955E+002  -1.70002511E+002   2.84041665E+003  -1.68603152E-001   2.84058526E+003   4.03684519E-001  -1.70171114E+002  -1.69767430E+002
      53       1     1.19999997E+001   7.17508078E+003  -7.20060124E-002   2.84066874E+003   2.84074074E+003   3.12960321E-001  -1.69762445E+002  -1.70075406E+002   2.84025525E+003  -1.72530964E-001   2.84042778E+003   4.13485273E-001  -1.70247937E+002  -1.69834451E+002
      54       1     1.19999997E+001   7.17479460E+003  -7.42905293E-002   2.84051660E+003   2.84059089E+003   3.21156514E-001  -1.69827568E+002  -1.70148724E+002   2.84009366E+003  -1.76074173E-001   2.84026974E+003   4.22940157E-001  -1.70324798E+002  -1.69901858E+002
      55       1     1.19999997E+001   7.17450759E+003  -7.62915028E-002   2.84036397E+003   2.84044026E+003   3.29126639E-001  -1.69893232E+002  -1.70222359E+002   2.83993213E+003  -1.78999951E-001   2.84011113E+003   4.31835087E-001  -1.70401359E+002  -1.69969524E+002
      56       1     1.19999997E+001   7.17421881E+003  -7.83007562E-002   2.84021042E+003   2.84028872E+003   3.37293352E-001  -1.69959275E+002  -1.70296568E+002   2.83976965E+003  -1.81772413E-001   2.83995143E+003   4.40765009E-001  -1.70478340E+002  -1.70037575E+002
      57       1     1.19999997E+001   7.17392771E+003  -8.00059803E-002   2.84005606E+003   2.84013607E+003   3.46319984E-001  -1.70025741E+002  -1.70372061E+002   2.83960602E+003  -1.83724972E-001   2.83978975E+003   4.50038976E-001  -1.70555786E+002  -1.70105747E+002
      58       1     1.19999997E+001   7.17363074E+003  -8.24628697E-002   2.83989747E+003   2.83997993E+003   3.53052081E-001  -1.70093957E+002  -1.70447009E+002   2.83943855E+003  -1.88321743E-001   2.83962688E+003   4.58910955E-001  -1.70635330E+002  -1.70176419E+002
      59       1     1.19999997E+001   7.17333400E+003  -8.51377260E-002   2.83973908E+003   2.83982422E+003   3.61004827E-001  -1.70161809E+002  -1.70522814E+002   2.83927173E+003  -1.91482880E-001   2.83946322E+003   4.67349981E-001  -1.70714296E+002  -1.70246946E+002
      60       1     1.19999997E+001   7.17304106E+003  -8.79801344E-002   2.83958272E+003   2.83967070E+003   3.69602064E-001  -1.70228593E+002  -1.70598195E+002   2.83910737E+003  -1.93724237E-001   2.83930110E+003   4.75346167E-001  -1.70791920E+002  -1.70316573E+002
      61       1     1.19999997E+001   7.17274539E+003  -9.01009686E-002   2.83942547E+003   2.83951557E+003   3.77778419E-001  -1.70296183E+002  -1.70673962E+002   2.83894080E+003  -1.96990428E-001   2.83913779E+003   4.84667878E-001  -1.70870952E+002  -1.70386284E+002
      62       1     1.19999997E+001   7.17245050E+003  -9.28055904E-002   2.83926847E+003   2.83936128E+003   3.87172649E-001  -1.70363161E+002  -1.70750333E+002   2.83877517E+003  -1.98935816E-001   2.83897411E+003   4.93302874E-001  -1.70949269E+002  -1.70455966E+002
      63       1     1.19999997E+001   7.17215478E+003  -9.48970280E-002   2.83911123E+003   2.83920613E+003   3.95590390E-001  -1.70430754E+002  -1.70826345E+002   2.83860874E+003  -2.01800095E-001   2.83881054E+003   5.02493456E-001  -1.71028145E+002  -1.70525651E+002
      64       1     1.19999997E+001   7.17184245E+003  -9.75270115E-002   2.83894416E+003   2.83904169E+003   4.03602566E-001  -1.70502714E+002  -1.70906317E+002   2.83843420E+003  -2.03883753E-001   2.83863808E+003   5.09959308E-001  -1.71110201E+002  -1.70600241E+002
      65       1     1.19999997E+001   7.17153749E+003  -9.93295470E-002   2.83878260E+003   2.83888193E+003   4.14338419E-001  -1.70572170E+002  -1.70986509E+002   2.83826351E+003  -2.04087350E-001   2.83846759E+003   5.19096222E-001  -1.71190596E+002  -1.70671500E+002
      66       1     1.19999997E+001   7.17124046E+003  -1.00557686E-001   2.83862502E+003   2.83872558E+003   4.22166378E-001  -1.70640576E+002  -1.71062742E+002   2.83809636E+003  -2.07052995E-001   2.83830341E+003   5.28661686E-001  -1.71269795E+002  -1.70741134E+002
      67       1     1.19999997E+001   7.17094132E+003  -1.03433350E-001   2.83846553E+003   2.83856896E+003   4.31186755E-001  -1.70708614E+002  -1.71139801E+002   2.83792823E+003  -2.09545036E-001   2.83813777E+003   5.37298442E-001  -1.71349346E+002  -1.70812047E+002
      68       1     1.19999997E+001   7.17064008E+003  -1.05645099E-001   2.83830548E+003   2.83841113E+003   4.40431787E-001  -1.70777246E+002  -1.71217678E+002   2.83775873E+003  -2.11960189E-001   2.83797069E+003   5.46746878E-001  -1.71429638E+002  -1.70882891E+002
      69       1     1.19999997E+001   7.17033804E+003  -1.07159947E-001   2.83814556E+003   2.83825272E+003   4.48902221E-001  -1.70846214E+002  -1.71295116E+002   2.83758776E+003  -2.16063898E-001   2.83780382E+003   5.57806172E-001  -1.71511180E+002  -1.70953374E+002
      70       1     1.19999997E+001   7.17003597E+003  -1.09391749E-001   2.83798497E+003   2.83809436E+003   4.57763968E-001  -1.70915123E+002  -1.71372887E+002   2.83741765E+003  -2.18944107E-001   2.83763660E+003   5.67316326E-001  -1.71591831E+002  -1.71024515E+002
      71       1     1.19999997E+001   7.16972991E+003  -1.11190446E-001   2.83782261E+003   2.83793380E+003   4.66355607E-001  -1.70985051E+002  -1.71451407E+002   2.83724478E+003  -2.22667512E-001   2.83746745E+003   5.77832673E-001  -1.71674074E+002  -1.71096241E+002
      72       1     1.19999997E+001   7.16942035E+003  -1.13355301E-001   2.83765811E+003   2.83777146E+003   4.75911467E-001  -1.71055723E+002  -1.71531635E+002   2.83707097E+003  -2.24579485E-001   2.83729555E+003   5.87135651E-001  -1.71756214E+002  -1.71169079E+002
      73       1     1.19999997E+001   7.16911136E+003  -1.15684334E-001   2.83749377E+003   2.83760945E+003   4.84545456E-001  -1.71126228E+002  -1.71610774E+002   2.83689663E+003  -2.28277997E-001   2.83712491E+003   5.97139119E-001  -1.71839052E+002  -1.71241913E+002
      74       1     1.19999997E+001   7.16880202E+003  -1.17791278E-001   2.83732935E+003   2.83744714E+003   4.93583357E-001  -1.71196939E+002  -1.71690522E+002   2.83672263E+003  -2.30928117E-001   2.83695355E+003   6.06720196E-001  -1.71921450E+002  -1.71314730E+002
      75       1     1.19999997E+001   7.16849068E+003  -1.20335147E-001   2.83716364E+003   2.83728397E+003   5.02829697E-001  -1.71267900E+002  -1.71770730E+002   2.83654744E+003  -2.33702420E-001   2.83678114E+003   6.16196970E-001  -1.72004432E+002  -1.71388236E+002
      76       1     1.19999997E+001   7.16817851E+003  -1.22623128E-001   2.83699769E+003   2.83712032E+003   5.12043321E-001  -1.71339111E+002  -1.71851154E+002   2.83637166E+003  -2.36615244E-001   2.83660827E+003   6.26035438E-001  -1.72087769E+002  -1.71461734E+002
      77       1     1.19999997E+001   7.16785977E+003  -1.25040922E-001   2.83682833E+003   2.83695337E+003   5.21001794E-001  -1.71411656E+002  -1.71932657E+002   2.83619129E+003  -2.41078615E-001   2.83643237E+003   6.37039488E-001  -1.72173736E+002  -1.71536697E+002
      78       1     1.19999997E+001   7.16753903E+003  -1.25925366E-001   2.83665848E+003   2.83678440E+003   5.28765121E-001  -1.71485640E+002  -1.72014405E+002   2.83600995E+003  -2.45684544E-001   2.83625564E+003   6.48524300E-001  -1.72260090E+002  -1.71611565E+002
      79       1     1.19999997E+001   7.16721859E+003  -1.28146196E-001   2.83648834E+003   2.83661649E+003   5.37797634E-001  -1.71558652E+002  -1.72096450E+002   2.83582868E+003  -2.50014941E-001   2.83607869E+003   6.59666380E-001  -1.72346465E+002  -1.71686798E+002
      80       1     1.19999997E+001   7.16690058E+003  -1.30690794E-001   2.83631914E+003   2.83644983E+003   5.47347506E-001  -1.71631127E+002  -1.72178474E+002   2.83564975E+003  -2.52733269E-001   2.83590248E+003   6.69389981E-001  -1.72431208E+002  -1.71761818E+002
      81       1     1.19999997E+001   7.16657891E+003  -1.33143890E-001   2.83614811E+003   2.83628125E+003   5.56962891E-001  -1.71704440E+002  -1.72261403E+002   2.83546860E+003  -2.55686041E-001   2.83572429E+003   6.79505042E-001  -1.72517089E+002  -1.71837584E+002
      82       1     1.19999997E+001   7.16625654E+003  -1.35687500E-001   2.83597661E+003   2.83611230E+003   5.66744245E-001  -1.71777911E+002  -1.72344655E+002   2.83528727E+003  -2.58284880E-001   2.83554556E+003   6.89341625E-001  -1.72602940E+002  -1.71913598E+002
      83       1     1.19999997E+001   7.16593308E+003  -1.38525325E-001   2.83580435E+003   2.83594288E+003   5.76553379E-001  -1.71851534E+002  -1.72428087E+002   2.83510532E+003  -2.61002269E-001   2.83536632E+003   6.99030322E-001  -1.72689089E+002  -1.71990059E+002
      84       1     1.19999997E+001   7.16560714E+003  -1.40910689E-001   2.83563091E+003   2.83577182E+003   5.85960331E-001  -1.71926057E+002  -1.72512017E+002   2.83492203E+003  -2.63828620E-001   2.83518586E+003   7.08878262E-001  -1.72775846E+002  -1.72066968E+002
      85       1     1.19999997E+001   7.16528078E+003  -1.43726387E-001   2.83545704E+003   2.83560077E+003   5.95602937E-001  -1.72000444E+002  -1.72596047E+002   2.83473844E+003  -2.66722565E-001   2.83500516E+003   7.18599115E-001  -1.72862770E+002  -1.72144170E+002
      86       1     1.19999997E+001   7.16495027E+003  -1.45978981E-001   2.83528119E+003   2.83542717E+003   6.05026793E-001  -1.72076150E+002  -1.72681177E+002   2.83455269E+003  -2.69447351E-001   2.83482214E+003   7.28495162E-001  -1.72950624E+002  -1.72222129E+002
