   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996229E+001   1.00002270E+000   4.36131977E-004   1.19999997E+001   0.00000000E+000  -5.23138333E-021  -4.99162347E-020  -1.19999997E+001  -7.97860399E-021  -1.88229544E-020  -1.88229544E-020   1.25485133E-004   1.25732597E-004  -2.51217730E-004   1.25608607E-004   2.86427092E-006  -1.68878022E-005
       2       1     1.19992407E+001   1.00002270E+000   8.78474288E-004   1.19999997E+001   0.00000000E+000  -1.13264236E-020  -3.02364312E-021  -1.19999997E+001  -1.30005399E-021  -1.88229544E-020   5.64688632E-020   2.52768756E-004   2.53244228E-004  -5.06012984E-004   2.53005973E-004   5.77194781E-006  -3.40113979E-005
       3       1     1.19988530E+001   1.00002270E+000   1.32726549E-003   1.19999997E+001   0.00000000E+000   7.74632743E-021   3.06460005E-020  -1.19999997E+001  -1.37327689E-020  -1.88229544E-020  -3.76459088E-020   3.81906882E-004   3.82616056E-004  -7.64522938E-004   3.82260685E-004   8.72144228E-006  -5.13839841E-005
       4       1     1.19984624E+001   1.00002270E+000   1.77934957E-003   1.19999997E+001   0.00000000E+000  -1.28087518E-020  -4.59118090E-020  -1.19999997E+001   6.19417902E-021   1.88229544E-020  -5.64688632E-020   5.11992442E-004   5.12937221E-004  -1.02492966E-003   5.12463780E-004   1.16925408E-005  -6.88836049E-005
       5       1     1.19980689E+001   1.00002270E+000   2.23472591E-003   1.19999997E+001   0.00000000E+000  -7.60210936E-021  -3.40003544E-020  -1.19999997E+001   1.72423537E-021  -7.52918175E-020   3.76459088E-020   6.43025232E-004   6.44207578E-004  -1.28723281E-003   6.43615084E-004   1.46852448E-005  -8.65102236E-005
       6       1     1.19976727E+001   1.00002270E+000   2.69338868E-003   1.19999997E+001   0.00000000E+000  -6.80848584E-021  -2.64585782E-020  -1.19999997E+001   3.75946229E-021  -1.88229544E-020  -1.88229544E-020   7.75003551E-004   7.76425455E-004  -1.55142901E-003   7.75712911E-004   1.76995172E-005  -1.04263685E-004
       7       1     1.19972736E+001   1.00002270E+000   3.15533331E-003   1.19999997E+001   0.00000000E+000  -1.32579209E-020  -2.80654053E-020  -1.19999997E+001  -3.75239858E-021  -5.64688632E-020  -3.76459088E-020   9.07926043E-004   9.09589584E-004  -1.81751563E-003   9.08755949E-004   2.07353486E-005  -1.22143810E-004
       8       1     1.19968716E+001   1.00002270E+000   3.62055797E-003   1.19999997E+001   0.00000000E+000  -3.51006051E-021   1.38425211E-020  -1.19999997E+001  -1.93585036E-021   0.00000000E+000   3.76459088E-020   1.04179217E-003   1.04369944E-003  -2.08549161E-003   1.04274367E-003   2.37927648E-005  -1.40150641E-004
       9       1     1.19964669E+001   1.00002270E+000   4.08906250E-003   1.19999997E+001   0.00000000E+000  -3.55504564E-021  -1.01433741E-020  -1.19999997E+001  -4.44771138E-022  -3.76459088E-020  -1.12937726E-019   1.17660201E-003   1.17875484E-003  -2.35535685E-003   1.17767601E-003   2.68718017E-005  -1.58284274E-004
      10       1     1.19960593E+001   1.00002270E+000   4.56085069E-003   1.19999997E+001   0.00000000E+000  -5.99919561E-021  -1.14802365E-020  -1.19999997E+001   4.52215404E-021   0.00000000E+000  -3.76459088E-020   1.31235666E-003   1.31475688E-003  -2.62711353E-003   1.31355407E-003   2.99725169E-005  -1.76544880E-004
      11       1     1.19956489E+001   1.00002270E+000   5.03592422E-003   1.19999997E+001   0.00000000E+000  -4.38936176E-021   4.81163136E-020  -1.19999997E+001   4.41568685E-021   0.00000000E+000   9.41147719E-020   1.44905669E-003   1.45170594E-003  -2.90076263E-003   1.45037834E-003   3.30949110E-005  -1.94932539E-004
      12       1     1.19952356E+001   1.00002270E+000   5.51428836E-003   1.19999997E+001   0.00000000E+000   8.15267453E-021   4.36330234E-020  -1.19999997E+001   7.93063002E-021   9.41147719E-020   7.52918175E-020   1.58670361E-003   1.58960356E-003  -3.17630717E-003   1.58815033E-003   3.62391305E-005  -2.13447390E-004
      13       1     1.19948195E+001   1.00002270E+000   5.99594138E-003   1.19999997E+001   0.00000000E+000  -1.33705991E-020   4.94723297E-021  -1.19999997E+001  -1.77848768E-020   5.64688632E-020   1.50583635E-019   1.72529714E-003   1.72844901E-003  -3.45374615E-003   1.72686953E-003   3.94051960E-005  -2.32089539E-004
