   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.81371730E+003   2.80646740E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.81190819E+003   0.00000000E+000   2.80414949E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.83333709E+003   2.82676947E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83176911E+003   0.00000000E+000   2.82470993E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.86541137E+003   2.85878037E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86390025E+003   0.00000000E+000   2.85668231E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.86625852E+003   2.85967650E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86479258E+003   0.00000000E+000   2.85759520E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.86708435E+003   2.86054879E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86566426E+003   0.00000000E+000   2.85848444E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.86785898E+003   2.86136645E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86647845E+003   0.00000000E+000   2.85931797E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.86859010E+003   2.86213674E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86724968E+003   0.00000000E+000   2.86010532E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.86929819E+003   2.86287897E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86798892E+003   0.00000000E+000   2.86086558E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.86999035E+003   2.86360803E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86870253E+003   0.00000000E+000   2.86161375E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.87069160E+003   2.86434411E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86942341E+003   0.00000000E+000   2.86237055E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.87138695E+003   2.86507872E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87013529E+003   0.00000000E+000   2.86312459E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.87209809E+003   2.86582532E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87086956E+003   0.00000000E+000   2.86389893E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.87278377E+003   2.86655292E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87156220E+003   0.00000000E+000   2.86465395E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.87345606E+003   2.86726878E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87223870E+003   0.00000000E+000   2.86539387E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.87411345E+003   2.86796966E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87289606E+003   0.00000000E+000   2.86612412E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.87476357E+003   2.86866437E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87354470E+003   0.00000000E+000   2.86684495E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.87538864E+003   2.86933688E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87415734E+003   0.00000000E+000   2.86754224E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.87600428E+003   2.86999978E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87475877E+003   0.00000000E+000   2.86823129E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.87660842E+003   2.87065108E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87534148E+003   0.00000000E+000   2.86890841E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.87720556E+003   2.87129682E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87591731E+003   0.00000000E+000   2.86957932E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.87775782E+003   2.87189759E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87644437E+003   0.00000000E+000   2.87020480E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
