   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.80585692E+003   2.80604236E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.81103518E+003   0.00000000E+000   2.80545531E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.82622999E+003   2.82644702E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83089243E+003   0.00000000E+000   2.82591628E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.85834504E+003   2.85859558E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86315516E+003   0.00000000E+000   2.85803558E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.85923483E+003   2.85946086E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86402843E+003   0.00000000E+000   2.85895438E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.86010041E+003   2.86030624E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86487465E+003   0.00000000E+000   2.85985063E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.86090564E+003   2.86110190E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86566526E+003   0.00000000E+000   2.86069513E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.86165597E+003   2.86185283E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86640204E+003   0.00000000E+000   2.86149447E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.86237186E+003   2.86258265E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86711074E+003   0.00000000E+000   2.86227037E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.86309079E+003   2.86329437E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86781922E+003   0.00000000E+000   2.86302876E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.86380407E+003   2.86402781E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86852543E+003   0.00000000E+000   2.86380020E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.86451268E+003   2.86476019E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86922666E+003   0.00000000E+000   2.86456852E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.86526489E+003   2.86551849E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86995574E+003   0.00000000E+000   2.86536061E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.86597299E+003   2.86624294E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87065236E+003   0.00000000E+000   2.86612010E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.86667361E+003   2.86695156E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87133848E+003   0.00000000E+000   2.86686840E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.86736973E+003   2.86764640E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87202269E+003   0.00000000E+000   2.86760548E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.86805427E+003   2.86833603E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87269250E+003   0.00000000E+000   2.86833436E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.86871210E+003   2.86899276E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87334230E+003   0.00000000E+000   2.86903722E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.86935584E+003   2.86964089E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87397773E+003   0.00000000E+000   2.86973175E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.86998926E+003   2.87027474E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87460508E+003   0.00000000E+000   2.87041330E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.87061585E+003   2.87090599E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87522430E+003   0.00000000E+000   2.87109095E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.87119816E+003   2.87149041E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87580071E+003   0.00000000E+000   2.87172214E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      22   0.00000000E+000   2.87174652E+003   2.87203838E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87634556E+003   0.00000000E+000   2.87231881E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      23   0.00000000E+000   2.87227773E+003   2.87257536E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87687568E+003   0.00000000E+000   2.87289991E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      24   0.00000000E+000   2.87280017E+003   2.87310368E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87739677E+003   0.00000000E+000   2.87347251E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      25   0.00000000E+000   2.87332047E+003   2.87363335E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87791652E+003   0.00000000E+000   2.87404285E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      26   0.00000000E+000   2.87384432E+003   2.87416651E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87843278E+003   0.00000000E+000   2.87461127E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      27   0.00000000E+000   2.87437362E+003   2.87470689E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87895496E+003   0.00000000E+000   2.87518500E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      28   0.00000000E+000   2.87490494E+003   2.87524266E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87947272E+003   0.00000000E+000   2.87576243E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      29   0.00000000E+000   2.87544080E+003   2.87577347E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87999101E+003   0.00000000E+000   2.87633498E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      30   0.00000000E+000   2.87596335E+003   2.87629612E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88049279E+003   0.00000000E+000   2.87690006E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      31   0.00000000E+000   2.87647073E+003   2.87680450E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88098527E+003   0.00000000E+000   2.87745131E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      32   0.00000000E+000   2.87697443E+003   2.87730789E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88147387E+003   0.00000000E+000   2.87799872E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      33   0.00000000E+000   2.87748012E+003   2.87781511E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88196328E+003   0.00000000E+000   2.87854916E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      34   0.00000000E+000   2.87802321E+003   2.87840006E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88249001E+003   0.00000000E+000   2.87914763E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      35   0.00000000E+000   2.87873685E+003   2.87921303E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88317527E+003   0.00000000E+000   2.87988184E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      36   0.00000000E+000   2.87962394E+003   2.88022329E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88401888E+003   0.00000000E+000   2.88073568E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      37   0.00000000E+000   2.88062949E+003   2.88136395E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88497098E+003   0.00000000E+000   2.88166724E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      38   0.00000000E+000   2.88167878E+003   2.88254231E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88596182E+003   0.00000000E+000   2.88261632E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      39   0.00000000E+000   2.88271141E+003   2.88370170E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88694069E+003   0.00000000E+000   2.88354501E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
