   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      20       1     1.19918319E+001   1.00002270E+000   9.44715330E-003   1.19999997E+001   0.00000000E+000   9.41684902E-021  -1.58089501E-020  -1.19999997E+001   9.98125887E-021   5.64688632E-020   0.00000000E+000   2.50808396E-003   2.93776675E-003  -5.44585071E-003   2.72292302E-003   1.50772666E-004   1.52977300E-004
      21       1     1.19913933E+001   1.00002270E+000   9.95444884E-003   1.19999997E+001   0.00000000E+000  -3.00554855E-021   1.53052288E-020  -1.19999997E+001  -3.39898665E-021   3.76459088E-020   1.88229544E-020   2.64276753E-003   3.09551575E-003  -5.73828329E-003   2.86913918E-003   1.58874819E-004   1.61193091E-004
      22       1     1.19909520E+001   1.00002270E+000   1.04650206E-002   1.19999997E+001   0.00000000E+000   1.37803928E-020  -4.76201488E-021  -1.19999997E+001   1.10023638E-020  -3.76459088E-020   3.76459088E-020   2.77832123E-003   3.25428321E-003  -6.03260444E-003   3.01629963E-003   1.67029951E-004   1.69462143E-004
      23       1     1.19905078E+001   1.00002270E+000   1.09788679E-002   1.19999997E+001   0.00000000E+000  -8.56946908E-021  -8.20475926E-021  -1.19999997E+001   9.89123252E-021   1.12937726E-019   0.00000000E+000   2.91474490E-003   3.41406885E-003  -6.32881375E-003   3.16440416E-003   1.75237997E-004   1.77784489E-004
      24       1     1.19900608E+001   1.00002270E+000   1.14959909E-002   1.19999997E+001   0.00000000E+000  -1.15470141E-020   6.30929858E-021  -1.19999997E+001   6.29339178E-021   0.00000000E+000  -7.52918175E-020   3.05203865E-003   3.57487275E-003  -6.62691140E-003   3.31345285E-003   1.83498979E-004   1.86160125E-004
      25       1     1.19896109E+001   1.00002270E+000   1.20163913E-002   1.19999997E+001   0.00000000E+000   1.78314371E-020   1.41735100E-020  -1.19999997E+001   3.10407973E-021   0.00000000E+000  -3.76459088E-020   3.19020292E-003   3.73669538E-003  -6.92689830E-003   3.46344618E-003   1.91812882E-004   1.94589094E-004
      26       1     1.19891582E+001   1.00002270E+000   1.25400710E-002   1.19999997E+001   0.00000000E+000  -6.41152934E-021   1.82235536E-020  -1.19999997E+001   1.05863669E-020   3.76459088E-020   0.00000000E+000   3.32923824E-003   3.89953729E-003  -7.22877553E-003   3.61438466E-003   2.00179692E-004   2.03071310E-004
      27       1     1.19887027E+001   1.00002270E+000   1.30670328E-002   1.19999997E+001   0.00000000E+000   8.19967914E-021   1.88655700E-022  -1.19999997E+001  -5.85294907E-021  -3.76459088E-020   0.00000000E+000   3.46914540E-003   4.06339938E-003  -7.53254478E-003   3.76626915E-003   2.08599440E-004   2.11606830E-004
      28       1     1.19882444E+001   1.00002270E+000   1.35972785E-002   1.19999997E+001   0.00000000E+000  -6.74852287E-021  -1.68061093E-020  -1.19999997E+001  -8.94982317E-021  -1.12937726E-019  -3.76459088E-020   3.60992490E-003   4.22828214E-003  -7.83820704E-003   3.91910015E-003   2.17072301E-004   2.20195536E-004
      29       1     1.19877832E+001   1.00002270E+000   1.41308099E-002   1.19999997E+001   0.00000000E+000   8.63880469E-021   6.44367953E-021  -1.19999997E+001  -6.87587153E-021   3.76459088E-020   7.52918175E-020   3.75157708E-003   4.39418624E-003  -8.14576332E-003   4.07287816E-003   2.25598311E-004   2.28837391E-004
      30       1     1.19873192E+001   1.00002270E+000   1.46676265E-002   1.19999997E+001   0.00000000E+000  -2.72120476E-020   2.61259821E-021  -1.19999997E+001   1.84905743E-021   3.76459088E-020   7.52918175E-020   3.89410198E-003   4.56111143E-003  -8.45521341E-003   4.22760307E-003   2.34177512E-004   2.37532305E-004
      31       1     1.19868523E+001   1.00002269E+000   1.52077278E-002   1.19999997E+001   0.00000000E+000  -1.07114953E-020  -1.75136108E-020  -1.19999997E+001   1.89041646E-021  -7.52918175E-020  -7.52918175E-020   4.03749941E-003   4.72905754E-003  -8.76655695E-003   4.38327471E-003   2.42809891E-004   2.46280370E-004
      32       1     1.19863827E+001   1.00002269E+000   1.57511147E-002   1.19999997E+001   0.00000000E+000  -1.28361494E-020  -1.44107051E-020  -1.19999997E+001   5.62782598E-021   7.52918175E-020  -3.76459088E-020   4.18176965E-003   4.89802488E-003  -9.07979452E-003   4.53989336E-003   2.51495490E-004   2.55081589E-004
      33       1     1.19859101E+001   1.00002269E+000   1.62977895E-002   1.19999997E+001   0.00000000E+000   1.78336047E-020  -4.94172741E-020  -1.19999997E+001   1.20213325E-020   0.00000000E+000   7.52918175E-020   4.32691331E-003   5.06801408E-003  -9.39492739E-003   4.69745966E-003   2.60234354E-004   2.63935966E-004
      34       1     1.19854348E+001   1.00002269E+000   1.68477631E-002   1.19999997E+001   0.00000000E+000   8.15452796E-021   1.44926782E-020  -1.19999997E+001   5.94868158E-022   7.52918175E-020  -3.76459088E-020   4.47293377E-003   5.23902810E-003  -9.71196187E-003   4.85597676E-003   2.69026293E-004   2.72843691E-004
      35       1     1.19849565E+001   1.00002269E+000   1.74010698E-002   1.19999997E+001   0.00000000E+000  -1.29201734E-020   8.93775114E-021  -1.19999997E+001   2.86315698E-021  -3.76459088E-020   7.52918175E-020   4.61984046E-003   5.41107740E-003  -1.00309179E-002   5.01545462E-003   2.77870580E-004   2.81805293E-004
      36       1     1.19844754E+001   1.00002269E+000   1.79577431E-002   1.19999997E+001   0.00000000E+000   9.35095550E-021   5.51100556E-021  -1.19999997E+001   9.58082663E-021   3.76459088E-020   7.52918175E-020   4.76764204E-003   5.58417257E-003  -1.03518146E-002   5.17590286E-003   2.86766619E-004   2.90821234E-004
      37       1     1.19839913E+001   1.00002269E+000   1.85178066E-002   1.19999997E+001   0.00000000E+000  -1.51697057E-020   6.37756611E-021  -1.19999997E+001  -1.30596884E-020  -7.52918175E-020   0.00000000E+000   4.91634459E-003   5.75832122E-003  -1.06746658E-002   5.33732832E-003   2.95713985E-004   2.99891857E-004
      38       1     1.19835043E+001   1.00002269E+000   1.90812702E-002   1.19999997E+001   0.00000000E+000  -1.15343946E-020   1.52251136E-020  -1.19999997E+001  -1.49446836E-020   1.88229544E-019   7.52918175E-020   5.06595042E-003   5.93352664E-003  -1.09994771E-002   5.49973381E-003   3.04712481E-004   3.09017297E-004
