   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.78323434E+003   2.78605584E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78291952E+003   0.00000000E+000   2.78769247E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.80566751E+003   2.80821044E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.80532340E+003   0.00000000E+000   2.80954896E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.83790176E+003   2.84052242E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83745463E+003   0.00000000E+000   2.84167160E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.83867073E+003   2.84128783E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83819919E+003   0.00000000E+000   2.84237226E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.83942394E+003   2.84203883E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83892848E+003   0.00000000E+000   2.84305786E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.84017793E+003   2.84279160E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83965919E+003   0.00000000E+000   2.84374450E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.84092800E+003   2.84354131E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84038633E+003   0.00000000E+000   2.84442749E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.84166451E+003   2.84427870E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84110051E+003   0.00000000E+000   2.84509724E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.84238302E+003   2.84499958E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84179741E+003   0.00000000E+000   2.84574994E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.84308555E+003   2.84570559E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84247876E+003   0.00000000E+000   2.84638718E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.84378189E+003   2.84640681E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84315590E+003   0.00000000E+000   2.84701926E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.84446126E+003   2.84709240E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84381840E+003   0.00000000E+000   2.84763642E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.84513228E+003   2.84777077E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84447428E+003   0.00000000E+000   2.84824660E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.84579772E+003   2.84844451E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84512547E+003   0.00000000E+000   2.84885215E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.84645747E+003   2.84911422E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84577216E+003   0.00000000E+000   2.84945283E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.84710940E+003   2.84977795E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84641323E+003   0.00000000E+000   2.85004885E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.84775112E+003   2.85043271E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84704567E+003   0.00000000E+000   2.85063604E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.84835555E+003   2.85105217E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84764208E+003   0.00000000E+000   2.85118837E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.84893603E+003   2.85165199E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84821655E+003   0.00000000E+000   2.85172098E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.84952217E+003   2.85225817E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84879975E+003   0.00000000E+000   2.85226237E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
