   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996259E+001   1.00002270E+000   4.31647858E-004   1.19999997E+001   0.00000000E+000   1.13365930E-020   3.08921973E-021  -1.19999997E+001  -8.75183971E-021   6.91655341E-021   6.36333502E-021   1.24523529E-004   1.24688457E-004  -2.49211986E-004   1.24605991E-004  -4.15907546E-009  -6.32143544E-008
       2       1     1.19992465E+001   1.00002270E+000   8.69749858E-004   1.19999997E+001   0.00000000E+000  -1.22491800E-020  -1.14349034E-020  -1.19999997E+001   7.09996003E-021   2.65227192E-021  -1.43519145E-020   2.50917625E-004   2.51232652E-004  -5.02150277E-004   2.51075135E-004  -8.09140122E-009  -1.21844569E-007
       3       1     1.19988616E+001   1.00002270E+000   1.31427911E-003   1.19999997E+001   0.00000000E+000  -1.57005084E-020  -4.54039438E-021  -1.19999997E+001  -8.44113000E-021  -1.49977771E-020  -1.07679063E-020   3.79167722E-004   3.79631618E-004  -7.58799340E-004   3.79399665E-004  -1.17487488E-008  -1.82160804E-007
       4       1     1.19984738E+001   1.00002270E+000   1.76202488E-003   1.19999997E+001   0.00000000E+000  -1.99755846E-021   9.79696174E-021  -1.19999997E+001  -5.73438824E-021  -1.69547210E-020  -1.14772964E-020   5.08346209E-004   5.08959260E-004  -1.01730547E-003   5.08652728E-004  -1.52246494E-008  -2.43472287E-007
       5       1     1.19980833E+001   1.00002270E+000   2.21298720E-003   1.19999997E+001   0.00000000E+000   1.05261214E-020   1.66091456E-020  -1.19999997E+001  -8.90505424E-021  -1.21138946E-020  -8.22680750E-021   6.38453109E-004   6.39215556E-004  -1.27766866E-003   6.38834324E-004  -1.85176621E-008  -3.05755571E-007
       6       1     1.19976900E+001   1.00002270E+000   2.66716859E-003   1.19999997E+001   0.00000000E+000  -1.65447703E-020   3.17042199E-020  -1.19999997E+001   5.91101198E-021  -2.34045791E-020   8.03622509E-021   7.69489194E-004   7.70401200E-004  -1.53989039E-003   7.69945187E-004  -2.16271418E-008  -3.68974932E-007
       7       1     1.19972939E+001   1.00002270E+000   3.12457083E-003   1.19999997E+001   0.00000000E+000  -2.04134527E-020   9.36463579E-021  -1.19999997E+001   1.54519406E-021  -8.74032122E-021   1.86876644E-020   9.01455013E-004   9.02516671E-004  -1.80397168E-003   9.01985831E-004  -2.45510781E-008  -4.33096237E-007
       8       1     1.19968950E+001   1.00002270E+000   3.58519418E-003   1.19999997E+001   0.00000000E+000  -1.73243880E-020  -7.63038960E-021  -1.19999997E+001   3.95735613E-021   3.49348151E-020   7.68682400E-021   1.03435067E-003   1.03556201E-003  -2.06991268E-003   1.03495633E-003  -2.72936749E-008  -4.98083788E-007
       9       1     1.19964933E+001   1.00002270E+000   4.04903815E-003   1.19999997E+001   0.00000000E+000  -1.13491248E-020   1.35248166E-020  -1.19999997E+001  -6.78186773E-021  -1.80470957E-020   6.98802181E-021   1.16817606E-003   1.16953704E-003  -2.33771311E-003   1.16885654E-003  -2.98599940E-008  -5.63904437E-007
      10       1     1.19960889E+001   1.00002270E+000   4.51610251E-003   1.19999997E+001   0.00000000E+000   1.70072470E-020   5.61579122E-021  -1.19999997E+001  -2.64701932E-021  -2.37328044E-020   1.95664611E-020   1.30293114E-003   1.30444168E-003  -2.60737282E-003   1.30368639E-003  -3.22565063E-008  -6.30530413E-007
      11       1     1.19956817E+001   1.00002270E+000   4.98638863E-003   1.19999997E+001   0.00000000E+000  -1.39197953E-021   7.29999298E-021  -1.19999997E+001   4.15778199E-021   1.65594941E-020   2.43521972E-021   1.43861635E-003   1.44027627E-003  -2.87889262E-003   1.43944629E-003  -3.44943999E-008  -6.97908180E-007
      12       1     1.19952716E+001   1.00002270E+000   5.45989616E-003   1.19999997E+001   0.00000000E+000   2.76866450E-020   2.97991816E-023  -1.19999997E+001   3.70440430E-021  -2.69779994E-020  -2.05829006E-020   1.57523158E-003   1.57704072E-003  -3.15227230E-003   1.57613613E-003  -3.65847623E-008  -7.65999712E-007
      13       1     1.19948588E+001   1.00002270E+000   5.93662606E-003   1.19999997E+001   0.00000000E+000  -1.85142873E-020   7.09911217E-021  -1.19999997E+001  -4.61453044E-021   1.31501865E-020  -2.08370105E-020   1.71277713E-003   1.71473529E-003  -3.42751242E-003   1.71375619E-003  -3.85380281E-008  -8.34764785E-007
      14       1     1.19944432E+001   1.00002270E+000   6.41657968E-003   1.19999997E+001   0.00000000E+000  -8.89715467E-022   1.63929620E-020  -1.19999997E+001   5.71178553E-021   2.24463731E-021  -1.76182853E-020   1.85125343E-003   1.85336033E-003  -3.70461375E-003   1.85230685E-003  -4.03658872E-008  -9.04162622E-007
      15       1     1.19940249E+001   1.00002270E+000   6.89975835E-003   1.19999997E+001   0.00000000E+000   5.80490538E-021  -1.43729042E-020  -1.19999997E+001  -7.85434875E-021  -1.81476809E-020   1.24937360E-020   1.99066090E-003   1.99291617E-003  -3.98357707E-003   1.99178851E-003  -4.20773689E-008  -9.74156350E-007
      16       1     1.19936037E+001   1.00002270E+000   7.38616322E-003   1.19999997E+001   0.00000000E+000  -1.15108800E-020   1.82671465E-020  -1.19999997E+001   2.89897853E-021  -3.27484113E-020   1.41030986E-020   2.13099992E-003   2.13340312E-003  -4.26440304E-003   2.13220149E-003  -4.36841702E-008  -1.04470343E-006
      17       1     1.19931797E+001   1.00002270E+000   7.87579480E-003   1.19999997E+001   0.00000000E+000   2.45551874E-020   1.31200358E-020  -1.19999997E+001  -3.46549386E-021   1.82112084E-020   1.21972744E-020   2.27227068E-003   2.27482127E-003  -4.54709195E-003   2.27354595E-003  -4.51972653E-008  -1.11575948E-006
      18       1     1.19927530E+001   1.00002270E+000   8.36864899E-003   1.19999997E+001   0.00000000E+000   3.42270794E-021   5.56103186E-021  -1.19999997E+001   8.76389587E-021  -6.75720534E-020   6.20451634E-021   2.41447201E-003   2.41716942E-003  -4.83164143E-003   2.41582068E-003  -4.66278903E-008  -1.18728970E-006
      19       1     1.19923235E+001   1.00002270E+000   8.86472418E-003   1.19999997E+001   0.00000000E+000  -8.21216640E-021   1.74448669E-020  -1.19999997E+001  -1.78735119E-021  -3.32460432E-020  -5.16690098E-021   2.55760347E-003   2.56044709E-003  -5.11805055E-003   2.55902525E-003  -4.79509444E-008  -1.25926975E-006
      20       1     1.19918912E+001   1.00002270E+000   9.36402339E-003   1.19999997E+001   0.00000000E+000   1.40649655E-020   1.42331107E-020  -1.19999997E+001  -7.99304626E-022   4.15046144E-020  -1.17525821E-020   2.70166591E-003   2.70465517E-003  -5.40632107E-003   2.70316050E-003  -4.91212820E-008  -1.33163565E-006
      21       1     1.19914561E+001   1.00002270E+000   9.86654891E-003   1.19999997E+001   0.00000000E+000  -7.09638248E-022   6.06110390E-021  -1.19999997E+001   1.32575132E-020  -3.26107685E-021  -2.11334720E-020   2.84666000E-003   2.84979430E-003  -5.69645430E-003   2.84822711E-003  -5.01081757E-008  -1.40433352E-006
      22       1     1.19910182E+001   1.00002270E+000   1.03723021E-002   1.19999997E+001   0.00000000E+000   2.15232395E-021  -8.36097620E-021  -1.19999997E+001  -4.07318209E-021  -5.30454383E-020   2.75920983E-020   2.99258616E-003   2.99586488E-003  -5.98845105E-003   2.99422549E-003  -5.08896522E-008  -1.47731913E-006
      23       1     1.19905775E+001   1.00002270E+000   1.08812836E-002   1.19999997E+001   0.00000000E+000   2.08705940E-021  -3.54029166E-021  -1.19999997E+001  -7.47913962E-021   4.63115264E-020   1.90158897E-020   3.13944459E-003   3.14286703E-003  -6.28231162E-003   3.14115577E-003  -5.14452354E-008  -1.55055224E-006
      24       1     1.19901340E+001   1.00002270E+000   1.13934951E-002   1.19999997E+001   0.00000000E+000  -6.46722890E-021  -1.28734532E-020  -1.19999997E+001   6.35191992E-021   2.49662961E-020   2.50721752E-020   3.28723581E-003   3.29080123E-003  -6.57803704E-003   3.28901848E-003  -5.17667416E-008  -1.62399173E-006
      25       1     1.19896878E+001   1.00002270E+000   1.19089385E-002   1.19999997E+001   0.00000000E+000   1.70841748E-020  -8.96705143E-021  -1.19999997E+001   7.38351755E-021   4.88949769E-020  -9.69852725E-021   3.43596043E-003   3.43966800E-003  -6.87562843E-003   3.43781417E-003  -5.18440163E-008  -1.69759785E-006
      26       1     1.19892387E+001   1.00002270E+000   1.24276163E-002   1.19999997E+001   0.00000000E+000  -3.21833642E-020  -4.80383073E-021  -1.19999997E+001  -6.92664501E-021   9.46559319E-021  -3.43048344E-021   3.58561915E-003   3.58946799E-003  -7.17508713E-003   3.58754352E-003  -5.16741725E-008  -1.77132978E-006
      27       1     1.19887869E+001   1.00002270E+000   1.29495304E-002   1.19999997E+001   0.00000000E+000   1.23013338E-020   1.81479290E-021  -1.19999997E+001  -2.21320445E-021  -4.11234496E-020  -9.91028548E-021   3.73621262E-003   3.74020177E-003  -7.47641438E-003   3.73820715E-003  -5.12550892E-008  -1.84514677E-006
      28       1     1.19883322E+001   1.00002270E+000   1.34746823E-002   1.19999997E+001   0.00000000E+000   9.58785048E-022  -3.69749734E-023  -1.19999997E+001   1.17131256E-020   2.68509444E-020   1.10961316E-020   3.88774130E-003   3.89186969E-003  -7.77961099E-003   3.88980545E-003  -5.05867764E-008  -1.91901451E-006
      29       1     1.19878748E+001   1.00002270E+000   1.40030731E-002   1.19999997E+001   0.00000000E+000  -1.15888004E-021  -2.00659955E-020  -1.19999997E+001   2.39582525E-021  -2.60039115E-020  -1.34678239E-020   4.04020553E-003   4.04447200E-003  -8.08467753E-003   4.04233872E-003  -4.96703548E-008  -1.99290962E-006
      30       1     1.19874145E+001   1.00002270E+000   1.45347033E-002   1.19999997E+001   0.00000000E+000   9.40388551E-021   7.70990234E-021  -1.19999997E+001   4.37268351E-021   4.23516474E-020  -2.44369005E-020   4.19360554E-003   4.19800882E-003  -8.39161436E-003   4.19580713E-003  -4.85163038E-008  -2.06679926E-006
      31       1     1.19869515E+001   1.00002270E+000   1.50695748E-002   1.19999997E+001   0.00000000E+000   1.78708235E-020  -6.62950106E-021  -1.19999997E+001   3.47353819E-022  -4.27751638E-020  -1.99052743E-020   4.34794193E-003   4.35248058E-003  -8.70042251E-003   4.35021120E-003  -4.71342157E-008  -2.14065290E-006
      32       1     1.19864856E+001   1.00002269E+000   1.56076896E-002   1.19999997E+001   0.00000000E+000  -8.25551067E-021  -8.84859917E-021  -1.19999997E+001   2.26337295E-022  -1.64324392E-020  -4.23516474E-022   4.50321543E-003   4.50788782E-003  -9.01110325E-003   4.50555157E-003  -4.55380876E-008  -2.21444908E-006
      33       1     1.19860170E+001   1.00002269E+000   1.61490509E-002   1.19999997E+001   0.00000000E+000   2.11800423E-020   1.28000823E-020  -1.19999997E+001   6.50013001E-021  -2.49451203E-020   1.22396261E-020   4.65942701E-003   4.66423133E-003  -9.32365834E-003   4.66182912E-003  -4.37384055E-008  -2.28816596E-006
      34       1     1.19855455E+001   1.00002269E+000   1.66936619E-002   1.19999997E+001   0.00000000E+000   2.00865095E-020  -5.95156451E-022  -1.19999997E+001  -1.04609810E-020   1.21972744E-020   3.20178454E-020   4.81657773E-003   4.82151190E-003  -9.63808963E-003   4.81904475E-003  -4.17441187E-008  -2.36178636E-006
      35       1     1.19850712E+001   1.00002269E+000   1.72415252E-002   1.19999997E+001   0.00000000E+000   1.76411155E-020   5.20106354E-021  -1.19999997E+001  -4.37748116E-021  -3.51518673E-020   3.73965046E-020   4.97466844E-003   4.97973016E-003  -9.95439860E-003   4.97719924E-003  -3.95666170E-008  -2.43529841E-006
      36       1     1.19845942E+001   1.00002269E+000   1.77926432E-002   1.19999997E+001   0.00000000E+000  -4.63907703E-021  -8.05673917E-021  -1.19999997E+001   5.25228670E-021   3.57447904E-020   8.76679100E-021   5.13370002E-003   5.13888673E-003  -1.02725868E-002   5.13629331E-003  -3.72171115E-008  -2.50869125E-006
      37       1     1.19841143E+001   1.00002269E+000   1.83470195E-002   1.19999997E+001   0.00000000E+000   1.62196056E-020  -2.70756480E-020  -1.19999997E+001  -8.68208771E-022  -3.98952518E-020   1.40607469E-020   5.29367356E-003   5.29898244E-003  -1.05926560E-002   5.29632794E-003  -3.47204227E-008  -2.58194721E-006
      38       1     1.19836315E+001   1.00002269E+000   1.89046582E-002   1.19999997E+001   0.00000000E+000   1.64860405E-020   5.34416578E-021  -1.19999997E+001  -3.28853924E-021   1.01643954E-020  -4.99749439E-021   5.45459045E-003   5.46001844E-003  -1.09146089E-002   5.45730438E-003  -3.20908335E-008  -2.65505435E-006
      39       1     1.19831460E+001   1.00002269E+000   1.94655683E-002   1.19999997E+001   0.00000000E+000  -3.19180874E-020   1.23338213E-020  -1.19999997E+001   6.52781988E-021   7.19978005E-021   4.95090758E-020   5.61645350E-003   5.62199697E-003  -1.12384505E-002   5.61922517E-003  -2.91796864E-008  -2.72809548E-006
      40       1     1.19826576E+001   1.00002269E+000   2.00297800E-002   1.19999997E+001   0.00000000E+000   1.61090943E-020   2.19211961E-020  -1.19999997E+001   1.37317772E-020   3.91329222E-020   1.52465931E-020   5.77927159E-003   5.78492661E-003  -1.15641982E-002   5.78209903E-003  -2.55375130E-008  -2.80101799E-006
      41       1     1.19821664E+001   1.00002269E+000   2.05973236E-002   1.19999997E+001   0.00000000E+000   7.54372175E-021   2.29227464E-020  -1.19999997E+001   1.22737059E-021  -8.94890309E-020   1.08420217E-020   5.94305306E-003   5.94881660E-003  -1.18918697E-002   5.94593476E-003  -2.07910649E-008  -2.87368647E-006
      42       1     1.19816722E+001   1.00002269E+000   2.11682189E-002   1.19999997E+001   0.00000000E+000   1.53901916E-020   6.53034278E-021  -1.19999997E+001  -1.58477466E-021   2.37169225E-021  -1.09267250E-020   6.10780316E-003   6.11367304E-003  -1.22214762E-002   6.11073803E-003  -1.47054994E-008  -2.94596944E-006
      43       1     1.19811751E+001   1.00002269E+000   2.17424764E-002   1.19999997E+001   0.00000000E+000  -1.31005557E-020  -1.63084034E-020  -1.19999997E+001  -3.59325190E-021  -3.87517573E-020  -3.72694497E-021   6.27352453E-003   6.27949937E-003  -1.25530239E-002   6.27651188E-003  -7.17281805E-009  -3.01776363E-006
